 Diffraction intensities for potential:-1x1pristine10001.in
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.6500E+02
#      1     0       6.8238152069E-002
#      1     1       1.6969235136E-002
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.6500E+02
 # Polar angle        theta =   0.450000E+02  0.300000E+01
#     -9     3       1.9866306526E-007
#     -9     4       3.8916929600E-007
#     -9     5       5.5991732357E-008
#     -9     6       3.1891749743E-008
#     -8     1       4.8632863331E-007
#     -8     2       4.0556590389E-006
#     -8     3       9.5824835063E-006
#     -8     4       6.0738796629E-006
#     -8     5       9.3817744732E-007
#     -8     6       4.8463187252E-007
#     -8     7       2.4101069403E-008
#     -7     0       1.9222953013E-006
#     -7     1       2.7674383010E-005
#     -7     2       1.0075794733E-004
#     -7     3       1.2932536846E-004
#     -7     4       3.3366258723E-005
#     -7     5       1.8056053958E-005
#     -7     6       2.3412813671E-006
#     -7     7       1.9714919874E-007
#     -6    -1       7.7768381196E-006
#     -6     0       1.0034504872E-004
#     -6     1       5.7667781063E-004
#     -6     2       8.7627833184E-004
#     -6     3       5.9097619957E-004
#     -6     4       2.2716178268E-004
#     -6     5       1.2358889457E-004
#     -6     6       8.2963024206E-006
#     -6     7       1.0933408766E-006
#     -5    -2       1.2864239926E-005
#     -5    -1       2.4134702671E-004
#     -5     0       1.7140496521E-003
#     -5     1       3.9416925852E-003
#     -5     2       3.5818622847E-003
#     -5     3       1.4317959733E-003
#     -5     4       1.6660242415E-003
#     -5     5       2.8729008091E-004
#     -5     6       4.5543764834E-005
#     -5     7       1.6239021166E-006
#     -4    -3       1.0486787681E-005
#     -4    -2       3.6191772435E-004
#     -4    -1       2.7025049477E-003
#     -4     0       1.1510853733E-002
#     -4     1       1.2028216738E-002
#     -4     2       6.8866164771E-003
#     -4     3       7.2736721226E-003
#     -4     4       4.0582872194E-003
#     -4     5       8.5908168480E-004
#     -4     6       5.4165399336E-005
#     -3    -3       2.1667176648E-004
#     -3    -2       3.9057088925E-003
#     -3    -1       1.3688610209E-002
#     -3     0       3.5216780924E-002
#     -3     1       1.7732748921E-002
#     -3     2       1.1102756626E-002
#     -3     3       2.4517946813E-002
#     -3     4       4.9596035152E-003
#     -3     5       1.9729771351E-003
#     -3     6       7.7302987993E-005
#     -2    -3       1.0837069255E-003
#     -2    -2       1.8019565483E-002
#     -2    -1       4.1179750417E-002
#     -2     0       3.8536153298E-002
#     -2     1       8.9401016093E-003
#     -2     2       4.8795617219E-002
#     -2     3       2.0215554677E-002
#     -2     4       1.7634546602E-002
#     -2     5       8.8492283621E-004
#     -1    -3       1.4807879757E-003
#     -1    -2       3.1119418077E-002
#     -1    -1       6.2851284720E-002
#     -1     0       3.9836959111E-003
#     -1     1       5.2508883135E-003
#     -1     2       6.0730418561E-002
