 Diffraction intensities for potential:x6x6_05D10001.in                        
#    -41    22       2.1186595096E-005
#    -41    23       5.0018390634E-005
#    -41    24       3.7209168781E-005
#    -41    25       7.1264173063E-005
#    -41    26       4.5092929819E-005
#    -41    27       9.9458181440E-005
#    -41    28       7.6586153111E-005
#    -41    29       3.2803316045E-005
#    -41    30       6.4975147904E-005
#    -41    31       5.7980101197E-005
#    -41    32       6.4217810937E-005
#    -41    33       1.3029942537E-005
#    -40   -14       1.2502307145E-005
#    -40   -13       3.2473284519E-007
#    -40   -12       7.4371644782E-006
#    -40   -11       8.3975419464E-005
#    -40   -10       7.5579138901E-005
#    -40    -9       1.0797410423E-004
#    -40    -8       7.3856744143E-006
#    -40    -7       4.3142419572E-006
#    -40    -6       7.9965068271E-006
#    -40    -5       1.0347899186E-004
#    -40    -4       1.0373944381E-004
#    -40    -3       1.6269544283E-004
#    -40    -2       4.5226692631E-006
#    -40    -1       1.6064716061E-005
#    -40     0       1.9029571972E-005
#    -40     1       2.2809356699E-004
#    -40     2       2.1680625190E-004
#    -40     3       2.1075474616E-004
#    -40     4       7.7363397879E-006
#    -40     5       8.4279588333E-006
#    -40     6       8.7225749230E-006
#    -40     7       9.4650057375E-005
#    -40     8       6.3493549557E-005
#    -40     9       3.4666781618E-005
#    -40    10       3.7373707760E-006
#    -40    11       2.9983945479E-006
#    -40    12       6.0078217943E-006
#    -40    13       6.9261419623E-005
#    -40    14       1.2852657614E-004
#    -40    15       1.6830348201E-004
#    -40    16       9.1985257848E-006
#    -40    17       1.3472308792E-005
#    -40    18       1.5247890878E-005
#    -40    19       1.8203095734E-004
#    -40    20       1.9137329161E-004
#    -40    21       1.6375613258E-004
#    -40    22       2.5250450604E-005
#    -40    23       9.4201546065E-006
#    -40    24       9.8531451144E-006
#    -40    25       1.5985194847E-004
#    -40    26       2.4911892117E-004
#    -40    27       2.6609452044E-004
#    -40    28       1.6033185360E-006
#    -40    29       7.2132837910E-006
#    -40    30       3.0554224335E-005
#    -40    31       3.1487891885E-004
#    -40    32       1.5433793238E-004
#    -40    33       1.1238365168E-004
#    -39   -15       6.3759384001E-005
#    -39   -14       2.9264365492E-008
#    -39   -13       8.4879702437E-007
#    -39   -12       6.3101086234E-005
#    -39   -11       6.7135451195E-007
#    -39   -10       2.0298452336E-007
#    -39    -9       1.1297208645E-004
#    -39    -8       1.0076385292E-006
#    -39    -7       2.0082215157E-006
#    -39    -6       6.7538826523E-005
#    -39    -5       3.5926739779E-007
#    -39    -4       8.1412042258E-007
#    -39    -3       1.1653547326E-004
#    -39    -2       1.5348443074E-006
#    -39    -1       1.8668843112E-007
#    -39     0       1.3988238564E-004
#    -39     1       4.3607578470E-006
#    -39     2       1.9344562472E-006
#    -39     3       1.4095394135E-004
#    -39     4       2.4053997793E-006
#    -39     5       5.0461497128E-007
#    -39     6       6.6160504441E-005
#    -39     7       1.0042253573E-006
