 Diffraction intensities for potential:pot10001.in                             
#     -1     2       9.0220292502E-003
#     -1     3       1.8975015339E-003
#     -1     4       1.2582513345E-002
#     -1     5       5.7051525634E-005
#     -1     6       5.3898226091E-003
#     -1     7       4.3867808704E-003
#      0    -6       1.2377820506E-003
#      0    -5       1.7239952471E-002
#      0    -4       1.9282258674E-002
#      0    -3       1.3116876850E-003
#      0    -2       3.7909475242E-003
#      0    -1       1.2571640243E-002
#      0     0       9.7473288275E-002
#      0     1       1.7722814198E-002
#      0     2       5.8586671753E-003
#      0     3       1.1063422191E-002
#      0     4       3.3205908844E-002
#      0     5       4.9056768194E-003
#      0     6       5.9867249341E-003
#      1    -7       2.6444991484E-003
#      1    -6       4.5687545833E-003
#      1    -5       2.1962890355E-003
#      1    -4       4.2418751320E-003
#      1    -3       1.9072793095E-003
#      1    -2       9.0220489270E-003
#      1    -1       1.7722716502E-002
#      1     0       1.2571633538E-002
#      1     1       9.0220702947E-003
#      1     2       1.8975656104E-003
#      1     3       1.2582500589E-002
#      1     4       5.7045512628E-005
#      1     5       5.3898498786E-003
#      1     6       4.3868484746E-003
#      2    -7       4.4658585525E-003
#      2    -6       2.0726847535E-004
#      2    -5       1.7082892473E-004
#      2    -4       4.3514023592E-003
#      2    -3       1.8974807915E-003
#      2    -2       5.8590553150E-003
#      2    -1       9.0220144265E-003
#      2     0       3.7909715246E-003
#      2     1       1.9072482174E-003
#      2     2       4.3515317960E-003
#      2     3       4.0300414929E-004
#      2     4       3.0060621260E-004
#      2     5       6.9768853240E-003
#      3    -7       1.3264917513E-003
#      3    -6       1.3839631161E-002
#      3    -5       4.0295516451E-004
#      3    -4       1.2582344645E-002
#      3    -3       1.1063212906E-002
#      3    -2       1.8975654808E-003
#      3    -1       1.9072533438E-003
#      3     0       1.3116165212E-003
#      3     1       4.2419131909E-003
#      3     2       1.7078883593E-004
#      3     3       1.3839393224E-002
#      3     4       2.3962377150E-003
#      4    -7       2.3963989679E-003
#      4    -6       3.0056042672E-004
#      4    -5       5.7067913383E-005
#      4    -4       3.3205610404E-002
#      4    -3       1.2582368417E-002
#      4    -2       4.3513510355E-003
#      4    -1       4.2420146694E-003
#      4     0       1.9282581767E-002
#      4     1       2.1961723920E-003
#      4     2       2.0730462143E-004
#      4     3       1.3263787059E-003
#      5    -7       6.9771652334E-003
#      5    -6       5.3898846444E-003
#      5    -5       4.9055454637E-003
#      5    -4       5.7063398662E-005
#      5    -3       4.0300323105E-004
#      5    -2       1.7077633124E-004
#      5    -1       2.1962329555E-003
#      5     0       1.7239903660E-002
#      5     1       4.5688555571E-003
#      5     2       4.4658441036E-003
#      6    -7       4.3867192285E-003
#      6    -6       5.9868243902E-003
#      6    -5       5.3898494954E-003
#      6    -4       3.0062023141E-004
#      6    -3       1.3839432304E-002
#      6    -2       2.0734308739E-004
#      6    -1       4.5689868475E-003
#      6     0       1.2378096476E-003
#      6     1       2.6445489272E-003
#      7    -6       4.3868244825E-003
