 Diffraction intensities for potential:ensembletest210006.in                   
#    -34     7       5.3830655067E-005
#    -34     8       3.6180001525E-006
#    -34     9       7.2369030038E-006
#    -34    10       4.5102995887E-005
#    -34    11       6.6171916879E-005
#    -34    12       3.1235331300E-005
#    -34    13       5.7746047734E-006
#    -34    14       5.1164976964E-006
#    -34    15       3.8283675147E-005
#    -34    16       1.0103747146E-004
#    -34    17       1.0846098629E-004
#    -34    18       2.9037836473E-005
#    -34    19       2.1898421982E-005
#    -34    20       1.1842161075E-004
#    -34    21       9.4530939843E-005
#    -34    22       8.0473562473E-005
#    -34    23       3.4899607145E-005
#    -34    24       3.6211878413E-005
#    -34    25       3.7713742498E-005
#    -34    26       2.1334193211E-004
#    -34    27       5.5363357128E-005
#    -33   -12       3.6898938939E-005
#    -33   -11       5.5753786507E-006
#    -33   -10       3.3575003057E-006
#    -33    -9       3.2973480513E-005
#    -33    -8       5.5748604391E-005
#    -33    -7       8.9246029868E-005
#    -33    -6       5.5951249375E-006
#    -33    -5       1.0163085412E-005
#    -33    -4       6.2777171951E-005
#    -33    -3       1.0672728911E-004
#    -33    -2       8.4369895096E-005
#    -33    -1       4.7803068171E-006
#    -33     0       1.9612757074E-005
#    -33     1       8.8043986474E-005
#    -33     2       1.5183703675E-004
#    -33     3       9.2880368919E-005
#    -33     4       9.7841219954E-006
#    -33     5       1.0623949799E-005
#    -33     6       4.9381759628E-005
#    -33     7       5.6394705509E-005
#    -33     8       3.2296614871E-005
#    -33     9       4.3298299908E-006
#    -33    10       1.1957474279E-005
#    -33    11       5.1602337317E-005
#    -33    12       6.5875953421E-005
#    -33    13       3.9096130087E-005
#    -33    14       9.7166890938E-006
#    -33    15       2.1085617543E-006
#    -33    16       5.0901307160E-005
#    -33    17       1.2974608543E-004
#    -33    18       6.7298356123E-005
#    -33    19       4.9809348597E-006
#    -33    20       2.1434884188E-005
#    -33    21       7.3480186902E-005
#    -33    22       1.4819442457E-004
#    -33    23       1.1755015450E-004
#    -33    24       4.5606030801E-005
#    -33    25       2.1893565520E-005
#    -33    26       8.9216623587E-005
#    -33    27       1.2121518554E-004
#    -32   -13       3.3697542552E-005
#    -32   -12       7.3392065237E-005
#    -32   -11       4.0809558603E-005
#    -32   -10       8.3094761158E-006
#    -32    -9       9.0777016484E-006
#    -32    -8       6.6189701307E-005
#    -32    -7       8.8099029458E-005
#    -32    -6       4.3135170399E-005
#    -32    -5       8.0241392358E-006
#    -32    -4       1.0033575391E-005
#    -32    -3       7.2217707515E-005
#    -32    -2       1.1888819965E-004
#    -32    -1       6.5834693127E-005
#    -32     0       6.7595996781E-006
#    -32     1       2.1396433329E-005
#    -32     2       8.7758347421E-005
#    -32     3       9.8487305376E-005
#    -32     4       4.6579654899E-005
#    -32     5       2.9724144928E-006
#    -32     6       8.4826789609E-006
#    -32     7       2.9543898818E-005
#    -32     8       4.7449737333E-005
#    -32     9       2.1700475949E-005
#    -32    10       4.9045067394E-007
#    -32    11       1.3497405964E-005
#    -32    12       4.1266284814E-005
#    -32    13       3.5800552770E-005
#    -32    14       1.6843744256E-005
#    -32    15       6.0001899172E-006
#    -32    16       2.7161564833E-006
#    -32    17       2.5608938757E-005
#    -32    18       8.5710630267E-005
#    -32    19       2.1747722917E-005
#    -32    20       1.3475513670E-006
#    -32    21       9.5113294764E-006
#    -32    22       6.9620136242E-005
#    -32    23       2.2602288143E-004
#    -32    24       1.9310660992E-004
#    -32    25       4.6258385712E-005
#    -32    26       1.2783364566E-005
#    -32    27       1.3260322268E-004
#    -32    28       9.0476812326E-005
#    -31   -14       8.8106570350E-006
#    -31   -13       2.4517085752E-006
#    -31   -12       5.9980605775E-005
#    -31   -11       7.6652004508E-005
#    -31   -10       4.8034977617E-005
#    -31    -9       3.4430640259E-006
#    -31    -8       7.8745775280E-006
#    -31    -7       5.7409764519E-005
#    -31    -6       6.7667803481E-005
#    -31    -5       6.2777187027E-005
#    -31    -4       1.0939079361E-005
#    -31    -3       1.2751112881E-005
#    -31    -2       9.9337833444E-005
#    -31    -1       1.2885628459E-004
#    -31     0       7.1506278457E-005
#    -31     1       3.5632063423E-006
#    -31     2       2.1355469962E-005
#    -31     3       6.6663535912E-005
#    -31     4       6.4875038082E-005
#    -31     5       2.6871906378E-005
#    -31     6       3.1607645870E-006
#    -31     7       4.7219781950E-006
#    -31     8       2.4641805513E-005
#    -31     9       2.0746771259E-005
#    -31    10       1.3691139224E-005
#    -31    11       1.5659529429E-006
