 Diffraction intensities for potential:smallensembletest10002.in               
#    -25    17       5.9530090182E-006
#    -25    18       3.3387688134E-004
#    -25    19       6.3434382862E-004
#    -25    20       1.9379288060E-004
#    -25    21       4.6108134615E-006
#    -25    22       1.1525266254E-004
#    -24   -12       1.7575097557E-004
#    -24   -11       8.5383843047E-005
#    -24   -10       8.1586441576E-007
#    -24    -9       1.4909188126E-004
#    -24    -8       4.2689548861E-004
#    -24    -7       1.1471189268E-004
#    -24    -6       5.5185240655E-007
#    -24    -5       7.3140120958E-005
#    -24    -4       6.8840581123E-005
#    -24    -3       1.2297199399E-004
#    -24    -2       1.4324015623E-006
#    -24    -1       1.0835058153E-004
#    -24     0       9.0665195065E-004
#    -24     1       8.5438089566E-005
#    -24     2       1.0564546889E-005
#    -24     3       1.0067860895E-004
#    -24     4       9.0366644869E-004
#    -24     5       3.2072515561E-005
#    -24     6       3.8571876816E-006
#    -24     7       1.0433350191E-006
#    -24     8       1.0044523918E-003
#    -24     9       1.0848195751E-005
#    -24    10       1.5938763349E-005
#    -24    11       3.2216569635E-006
#    -24    12       8.9482607168E-004
#    -24    13       3.3536567554E-005
#    -24    14       1.0484003049E-005
#    -24    15       6.0575477970E-006
#    -24    16       3.0709237377E-005
#    -24    17       1.2102697356E-004
#    -24    18       5.6201970072E-006
#    -24    19       4.4355891741E-004
#    -24    20       4.5546081578E-004
#    -24    21       2.6140976322E-004
#    -24    22       6.3383576533E-007
#    -23   -13       4.4634628332E-006
#    -23   -12       8.7923990838E-005
#    -23   -11       1.7057897274E-004
#    -23   -10       1.8416924949E-004
#    -23    -9       2.0589638876E-006
#    -23    -8       1.4252978959E-004
#    -23    -7       1.6198424382E-004
#    -23    -6       1.0212189168E-004
#    -23    -5       8.6284939173E-006
#    -23    -4       6.1218496922E-005
#    -23    -3       1.2705045340E-004
#    -23    -2       5.0191303251E-005
#    -23    -1       1.6867093838E-006
#    -23     0       1.1006312510E-004
#    -23     1       1.5799341750E-004
#    -23     2       3.8251872891E-005
#    -23     3       2.0459673083E-005
#    -23     4       9.7750434839E-005
#    -23     5       1.2844590274E-004
#    -23     6       5.6774967342E-005
#    -23     7       9.0462785423E-007
#    -23     8       9.4829983677E-005
#    -23     9       2.4734576454E-004
#    -23    10       1.8099996184E-004
#    -23    11       2.0893660704E-005
#    -23    12       4.8532398934E-005
#    -23    13       1.0589919107E-004
#    -23    14       1.9259475847E-005
#    -23    15       9.0060133109E-006
#    -23    16       1.6953691212E-004
#    -23    17       3.9885118315E-004
#    -23    18       2.2314784557E-004
#    -23    19       8.3038653530E-006
#    -23    20       1.4399273907E-004
#    -23    21       4.0407575156E-004
#    -23    22       9.6354514057E-005
#    -22   -13       8.3368931728E-005
#    -22   -12       3.1139867394E-006
#    -22   -11       1.9046388510E-004
#    -22   -10       4.6552585030E-004
#    -22    -9       2.6846912716E-004
#    -22    -8       2.6672655606E-006
#    -22    -7       9.7749039319E-005
#    -22    -6       2.0017239146E-004
#    -22    -5       8.6373968265E-005
#    -22    -4       2.9230842669E-006
#    -22    -3       3.0493524410E-005
#    -22    -2       1.1833621214E-004
#    -22    -1       6.7719855888E-005
#    -22     0       2.9656275488E-006
#    -22     1       1.1603578128E-004
#    -22     2       1.1085590863E-004
#    -22     3       6.1672425822E-005
#    -22     4       2.3136239878E-005
#    -22     5       4.9243712676E-005
#    -22     6       1.4231545627E-004
#    -22     7       1.0266513225E-004
#    -22     8       5.4981136495E-006
#    -22     9       2.2121717313E-004
#    -22    10       4.4561543637E-004
#    -22    11       2.7664182204E-004
#    -22    12       1.5591990210E-005
#    -22    13       7.1496800376E-005
#    -22    14       2.1833325489E-004
#    -22    15       8.4708021061E-005
#    -22    16       9.2370329284E-006
#    -22    17       2.3944526115E-004
#    -22    18       2.6534015612E-004
#    -22    19       1.2990151161E-004
#    -22    20       1.2677066293E-005
#    -22    21       1.0991347419E-004
#    -22    22       4.1031853679E-004
#    -21   -14       1.0533184119E-004
#    -21   -13       1.9859869834E-004
#    -21   -12       1.7620337162E-004
#    -21   -11       6.4541942188E-006
#    -21   -10       2.6473921140E-004
#    -21    -9       4.0935492329E-004
#    -21    -8       1.8438620677E-004
#    -21    -7       1.6396161490E-006
#    -21    -6       2.9726691005E-005
#    -21    -5       4.7578620357E-005
#    -21    -4       2.9721618531E-005
#    -21    -3       2.9308059807E-007
#    -21    -2       4.9692154425E-005
#    -21    -1       1.6795393263E-004
#    -21     0       6.6606027337E-005
#    -21     1       1.6626088221E-005
#    -21     2       4.8774346890E-005
#    -21     3       9.3331095565E-005
#    -21     4       1.5108571989E-004
#    -21     5       8.2601759605E-006
#    -21     6       1.3973619192E-004
#    -21     7       3.8782501538E-004
#    -21     8       2.2491928838E-004
#    -21     9       1.7649681928E-005
#    -21    10       1.6309938903E-004
#    -21    11       3.8558082988E-004
#    -21    12       1.5983705216E-004
#    -21    13       1.0479583711E-005
#    -21    14       8.8903431961E-005
#    -21    15       1.8804277337E-004
#    -21    16       9.0953003677E-005
#    -21    17       1.6181704353E-005
#    -21    18       2.4754720944E-004
#    -21    19       3.9679941846E-004
#    -21    20       2.5893045611E-004
#    -21    21       4.4173089553E-006
#    -21    22       1.0036340017E-004
#    -20   -15       6.6939218423E-005
#    -20   -14       1.9860081428E-007
#    -20   -13       1.5033083698E-004
#    -20   -12       4.2062565058E-004
#    -20   -11       3.0592567744E-004
