 Diffraction intensities for potential:3x3_wideDefect10001.in                  
#     -9   -12       1.6050548474E-005
#     -9   -11       3.3156718024E-005
#     -9   -10       1.9134057051E-004
#     -9    -9       3.8766899361E-004
#     -9    -8       3.9658770101E-004
#     -9    -7       6.3206643283E-004
#     -9    -6       1.5510439157E-003
#     -9    -5       4.8760260255E-004
#     -9    -4       1.5410281957E-003
#     -9    -3       4.2879101037E-003
#     -9    -2       5.4691174017E-004
#     -9    -1       2.9108489763E-003
#     -9     0       1.3984143783E-002
#     -9     1       2.4111111223E-003
#     -9     2       1.1654440549E-003
#     -9     3       1.3086527298E-002
#     -9     4       2.9537562943E-003
#     -9     5       1.3771049988E-003
#     -9     6       7.3950084502E-003
#     -9     7       1.0784359108E-003
#     -9     8       8.8711818385E-004
#     -9     9       8.2908460603E-003
#     -9    10       2.5602949071E-004
#     -9    11       7.1285773399E-005
#     -9    12       1.1380481745E-003
#     -9    13       5.7090066389E-004
#     -8   -15       5.8582986319E-007
#     -8   -14       3.8945862145E-006
#     -8   -13       3.5879151979E-006
#     -8   -12       4.4343084084E-006
#     -8   -11       6.1556495015E-005
#     -8   -10       2.4211039191E-004
#     -8    -9       3.0342852733E-004
#     -8    -8       6.7190842017E-004
#     -8    -7       1.0556371278E-003
#     -8    -6       1.1590299297E-003
#     -8    -5       1.9637233947E-003
#     -8    -4       2.4392126371E-003
#     -8    -3       2.8249042916E-003
#     -8    -2       6.9862769649E-004
#     -8    -1       2.4108141823E-003
#     -8     0       4.5740385584E-003
#     -8     1       7.0310286400E-004
#     -8     2       4.0467295571E-004
#     -8     3       2.8921297577E-003
#     -8     4       3.5184931854E-004
#     -8     5       9.8674856884E-004
#     -8     6       1.7482784658E-004
#     -8     7       6.4522547907E-004
#     -8     8       1.1359650892E-003
#     -8     9       2.4438600921E-004
#     -8    10       1.0122044724E-003
#     -8    11       6.1896876110E-004
#     -8    12       5.4148446324E-004
#     -8    13       6.1675942841E-004
#     -7   -15       1.9629937071E-006
#     -7   -14       6.5237211587E-007
#     -7   -13       3.4256562238E-006
#     -7   -12       2.6647412792E-005
#     -7   -11       9.1343587880E-005
#     -7   -10       1.2412647631E-004
#     -7    -9       2.4409001947E-004
#     -7    -8       4.7089314586E-004
#     -7    -7       4.3157425982E-004
#     -7    -6       1.5132566742E-003
#     -7    -5       2.4467059141E-003
#     -7    -4       2.9798614871E-004
#     -7    -3       5.7048890923E-004
#     -7    -2       1.1666038791E-003
#     -7    -1       7.0144061118E-004
#     -7     0       1.3201473200E-003
#     -7     1       1.6851249428E-003
#     -7     2       1.4168017259E-003
#     -7     3       6.4142515935E-004
#     -7     4       1.4899069004E-003
#     -7     5       1.6777539788E-003
#     -7     6       1.2629228617E-003
#     -7     7       2.1932616237E-003
#     -7     8       7.7951776747E-004
#     -7     9       2.4773530420E-003
#     -7    10       1.6118171882E-003
#     -7    11       3.7420252222E-004
#     -7    12       1.5598129251E-003
#     -6   -16       1.4841776046E-006
#     -6   -15       3.9335824379E-006
#     -6   -14       2.0094594497E-006
#     -6   -13       1.5966923702E-005
#     -6   -12       1.0628170459E-004
#     -6   -11       1.6309307397E-004
#     -6   -10       2.5354627486E-004
#     -6    -9       8.5985399433E-004
#     -6    -8       5.9781684180E-004
#     -6    -7       1.9056246163E-003
#     -6    -6       3.8522234054E-003
#     -6    -5       1.6241186494E-003
#     -6    -4       9.1234193581E-004
#     -6    -3       1.3084098662E-002
#     -6    -2       4.0493572125E-004
#     -6    -1       1.6852591907E-003
#     -6     0       2.3084909310E-002
#     -6     1       1.9101268416E-003
#     -6     2       2.7998806741E-003
#     -6     3       1.0171011714E-002
#     -6     4       4.8507204749E-003
#     -6     5       1.0496373533E-003
#     -6     6       6.5442247313E-003
#     -6     7       1.2826199103E-003
#     -6     8       9.9491356495E-004
#     -6     9       1.2527098497E-002
#     -6    10       1.8020018382E-003
#     -6    11       2.0005687891E-003
#     -5   -16       5.6686541286E-008
#     -5   -15       1.9801508231E-006
#     -5   -14       1.1246092853E-005
#     -5   -13       1.0509109169E-005
#     -5   -12       3.5133455272E-005
#     -5   -11       1.2492745707E-004
#     -5   -10       2.1968834702E-004
#     -5    -9       4.1770450066E-005
#     -5    -8       1.0601162986E-003
#     -5    -7       3.1265583890E-003
#     -5    -6       2.2119819908E-003
#     -5    -5       2.5312522274E-003
#     -5    -4       2.9531682690E-003
#     -5    -3       2.8952515207E-003
#     -5    -2       1.4169310026E-003
#     -5    -1       1.9079411685E-003
#     -5     0       3.4921162417E-003
#     -5     1       9.1091129916E-004
#     -5     2       2.1162253061E-003
#     -5     3       3.5449283370E-003
#     -5     4       1.5081316341E-003
#     -5     5       2.6948258766E-003
#     -5     6       9.1197631098E-004
#     -5     7       6.8471073448E-004
#     -5     8       5.6986702416E-004
#     -5     9       3.4545106552E-003
#     -5    10       3.5074542699E-003
#     -5    11       1.3980255898E-003
#     -4   -16       1.4089857094E-006
#     -4   -15       9.4117144170E-006
#     -4   -14       7.3469613963E-006
#     -4   -13       1.0420293989E-005
#     -4   -12       4.5143561930E-005
#     -4   -11       2.1468991102E-005
#     -4   -10       1.0016477647E-004
#     -4    -9       5.7816638814E-004
#     -4    -8       8.8017859359E-004
#     -4    -7       4.7108565764E-004
#     -4    -6       3.1216279922E-004
#     -4    -5       1.3761128280E-003
#     -4    -4       3.5233243029E-004
#     -4    -3       6.4187652132E-004
#     -4    -2       2.7992981833E-003
#     -4    -1       9.1185171267E-004
#     -4     0       5.9402379139E-004
#     -4     1       8.5535432174E-005
#     -4     2       1.5317749817E-003
#     -4     3       9.1448813053E-004
#     -4     4       4.7296685942E-004
#     -4     5       6.1448179572E-004
#     -4     6       4.2588289325E-003
#     -4     7       2.8935204743E-003
#     -4     8       9.4064161382E-005
#     -4     9       4.6993657371E-003
#     -4    10       1.9100520026E-003
#     -3   -16       1.5041737737E-005
#     -3   -15       4.0464353574E-005
#     -3   -14       3.8206972855E-005
#     -3   -13       5.5505879476E-005
#     -3   -12       2.8350221266E-004
#     -3   -11       1.2206959702E-004
#     -3   -10       5.5271236949E-004
#     -3    -9       1.8378514215E-003
#     -3    -8       1.4123012377E-003
#     -3    -7       7.0823947532E-004
#     -3    -6       7.3981356002E-003
#     -3    -5       9.8610092468E-004
#     -3    -4       1.4920388588E-003
#     -3    -3       1.0168328901E-002
#     -3    -2       2.1160612306E-003
#     -3    -1       8.5302853795E-005
#     -3     0       7.9419863970E-003
#     -3     1       6.9329898237E-004
#     -3     2       1.2942987244E-003
#     -3     3       2.1541091419E-003
#     -3     4       6.7518152165E-004
#     -3     5       2.0264351207E-003
#     -3     6       4.3014130300E-002
#     -3     7       2.8379524105E-003
#     -3     8       2.1802716862E-003
#     -3     9       1.5482883387E-002
#     -2   -16       1.2817429145E-005
#     -2   -15       2.2897327445E-005
#     -2   -14       4.2824183654E-005
#     -2   -13       1.6487773857E-005
#     -2   -12       2.3629347665E-005
#     -2   -11       1.6321218437E-004
#     -2   -10       2.0598770922E-004
#     -2    -9       9.3589928370E-005
#     -2    -8       2.6151405320E-004
#     -2    -7       1.0777349419E-003
#     -2    -6       1.7478280097E-004
#     -2    -5       1.6779841848E-003
#     -2    -4       4.8528351715E-003
#     -2    -3       3.5465848882E-003
#     -2    -2       1.5302899214E-003
#     -2    -1       6.9166442085E-004
#     -2     0       2.0373825230E-003
#     -2     1       1.2598785899E-003
#     -2     2       1.0624579730E-003
#     -2     3       3.1375463621E-004
#     -2     4       6.0204322999E-004
#     -2     5       6.0667522654E-004
#     -2     6       5.6125091142E-003
#     -2     7       3.1496187868E-003
#     -2     8       2.4392874617E-003
#     -1   -16       8.9206598681E-006
#     -1   -15       2.1866263629E-005
#     -1   -14       3.3523549431E-006
#     -1   -13       1.0479414136E-004
#     -1   -12       4.1661817442E-004
#     -1   -11       2.2557263954E-004
#     -1   -10       2.9677297125E-004
#     -1    -9       1.6560685289E-003
#     -1    -8       8.8830623882E-004
#     -1    -7       6.4498302657E-004
#     -1    -6       1.2619211165E-003
#     -1    -5       1.0493320099E-003
#     -1    -4       1.5085989136E-003
#     -1    -3       9.1395158482E-004
#     -1    -2       1.2919292971E-003
#     -1    -1       1.2591454342E-003
#     -1     0       7.2569389128E-004
#     -1     1       4.0870000767E-004
#     -1     2       6.1621063658E-004
#     -1     3       1.0955725387E-003
#     -1     4       3.3251279834E-003
#     -1     5       2.4612609723E-004
#     -1     6       5.4706457083E-004
#     -1     7       3.3143651027E-003
#      0   -16       4.3985616633E-005
#      0   -15       8.2222858183E-005
#      0   -14       3.2157730782E-005
#      0   -13       4.6877531962E-004
#      0   -12       7.8838920355E-004
#      0   -11       2.5288079908E-004
#      0   -10       9.4934356227E-004
#      0    -9       8.2912256336E-003
#      0    -8       1.1364195027E-003
#      0    -7       2.1938496923E-003
#      0    -6       6.5436846539E-003
#      0    -5       2.6928463960E-003
#      0    -4       4.7212859285E-004
#      0    -3       2.1578260852E-003
#      0    -2       1.0604158458E-003
#      0    -1       4.0927773215E-004
#      0     0       5.4881224528E-002
#      0     1       4.8283814611E-004
#      0     2       1.0572815750E-003
#      0     3       1.2730952201E-002
#      0     4       8.8075603161E-004
#      0     5       1.4158618687E-003
#      0     6       1.0854525570E-002
#      1   -16       2.1855712355E-005
#      1   -15       2.7029231560E-005
#      1   -14       1.2799658802E-004
#      1   -13       5.0531532567E-004
#      1   -12       6.0165182207E-004
#      1   -11       1.3030730635E-004
#      1   -10       2.5650641367E-004
#      1    -9       2.4489132802E-004
#      1    -8       7.7889022937E-004
#      1    -7       1.2819761242E-003
#      1    -6       9.1123042588E-004
#      1    -5       6.1426831102E-004
#      1    -4       6.7375803907E-004
#      1    -3       3.1307664748E-004
#      1    -2       6.1644296653E-004
#      1    -1       4.8281090006E-004
#      1     0       8.5410345137E-004
#      1     1       5.1328265260E-003
#      1     2       3.7215265264E-003
#      1     3       2.2077622743E-003
#      1     4       2.3123930631E-003
#      1     5       4.5574562882E-003
#      2   -16       1.6967254611E-005
#      2   -15       6.6127399420E-005
#      2   -14       5.0400343534E-005
#      2   -13       3.5731185683E-005
#      2   -12       7.9054748141E-006
#      2   -11       7.1052586442E-005
#      2   -10       1.0110790297E-003
#      2    -9       2.4753496473E-003
#      2    -8       9.9433068128E-004
#      2    -7       6.8524329546E-004
#      2    -6       4.2617522431E-003
#      2    -5       2.0297318197E-003
#      2    -4       6.0199099617E-004
#      2    -3       1.0945166568E-003
#      2    -2       1.0544222192E-003
#      2    -1       5.1293250959E-003
#      2     0       5.6000733031E-003
#      2     1       2.6354958452E-003
#      2     2       3.9369887996E-003
#      2     3       6.1442974406E-003
#      3   -15       1.2641554912E-004
#      3   -14       1.3266695123E-005
#      3   -13       1.7473441979E-004
