 Diffraction intensities for potential:restest_32_2510001.in                   
#    -32    12       1.3694449913E-005
#    -32    13       1.0892086879E-005
#    -32    14       1.7145956145E-005
#    -32    15       1.3848263259E-005
#    -32    16       1.4521196275E-005
#    -32    17       1.0023618432E-005
#    -32    18       2.4658218666E-005
#    -32    19       7.4189080012E-006
#    -32    20       1.0782235951E-005
#    -32    21       1.3945433714E-005
#    -32    22       1.9179297695E-005
#    -32    23       1.1745430251E-004
#    -32    24       3.8755655249E-005
#    -32    25       4.1960026717E-005
#    -32    26       3.8982940793E-005
#    -32    27       4.8378001508E-005
#    -32    28       5.4170772718E-005
#    -31   -14       8.3288665032E-006
#    -31   -13       1.2826901623E-005
#    -31   -12       3.3238572078E-005
#    -31   -11       2.0758597174E-005
#    -31   -10       2.0989589564E-005
#    -31    -9       9.8543502482E-006
#    -31    -8       2.6711814004E-005
#    -31    -7       3.0707511526E-005
#    -31    -6       2.2007832769E-005
#    -31    -5       2.7251819011E-005
#    -31    -4       3.3943548792E-005
#    -31    -3       3.2357224687E-005
#    -31    -2       4.0774172519E-005
#    -31    -1       3.4553596897E-005
#    -31     0       3.2546831553E-005
#    -31     1       3.0167539027E-005
#    -31     2       2.5558997239E-005
#    -31     3       1.5631581929E-005
#    -31     4       9.5537748650E-006
#    -31     5       5.3070226938E-006
#    -31     6       5.2455599468E-006
#    -31     7       6.2726068044E-006
#    -31     8       6.2869547463E-006
#    -31     9       5.6932662539E-006
#    -31    10       4.4971437406E-006
#    -31    11       4.3925832024E-006
#    -31    12       3.4331858804E-006
#    -31    13       6.1954757680E-006
#    -31    14       2.9340844972E-006
#    -31    15       5.9465578486E-006
#    -31    16       6.2123887286E-006
#    -31    17       3.9724983218E-006
#    -31    18       2.2641180496E-006
#    -31    19       2.4081602981E-006
#    -31    20       8.1412022640E-006
#    -31    21       2.6062287919E-005
#    -31    22       3.9964005030E-005
#    -31    23       2.8529626040E-005
#    -31    24       6.8807399267E-005
