Diffraction intensities for potential:_5x5_05D10003.in                        
#    -34     6       5.9084744657E-006
#    -34     7       1.7558418180E-004
#    -34     8       2.7560031525E-005
#    -34     9       1.7773328678E-005
#    -34    10       1.5373448860E-006
#    -34    11       4.9038937326E-006
#    -34    12       1.7363023663E-004
#    -34    13       3.7746735248E-005
#    -34    14       2.2090861301E-005
#    -34    15       3.2370715217E-005
#    -34    16       8.7143521469E-005
#    -34    17       4.8248395165E-004
#    -34    18       3.5010201861E-005
#    -34    19       4.3539498897E-005
#    -34    20       1.4674811770E-005
#    -34    21       1.9796538055E-005
#    -34    22       3.8994363278E-004
#    -34    23       8.3629789145E-005
#    -34    24       3.0299509772E-005
#    -34    25       3.0033580213E-005
#    -34    26       1.0935346854E-004
#    -34    27       1.6631255568E-004
#    -33   -12       1.1711762675E-005
#    -33   -11       1.3522081302E-005
#    -33   -10       2.6376900126E-005
#    -33    -9       2.9488006592E-004
#    -33    -8       3.0008784853E-004
#    -33    -7       2.9304677454E-005
#    -33    -6       1.7223821499E-005
#    -33    -5       3.0359736903E-005
#    -33    -4       4.2251996020E-004
#    -33    -3       5.1145036611E-004
#    -33    -2       2.0332260767E-005
#    -33    -1       1.5524428346E-005
#    -33     0       2.2154892520E-005
#    -33     1       4.1055858417E-004
#    -33     2       4.6858478026E-004
#    -33     3       2.5707581904E-005
#    -33     4       2.1515518508E-005
#    -33     5       1.3067813899E-005
#    -33     6       1.6858691870E-004
#    -33     7       2.3705618025E-004
#    -33     8       9.4601150025E-006
#    -33     9       5.8850558442E-005
#    -33    10       1.8435462410E-006
#    -33    11       4.0734360092E-004
#    -33    12       3.6576431640E-004
#    -33    13       8.4353841933E-005
#    -33    14       1.0321021044E-004
#    -33    15       7.1903357707E-005
#    -33    16       2.2023837199E-004
#    -33    17       3.7831653068E-004
#    -33    18       3.2967188291E-006
#    -33    19       1.5984181612E-004
#    -33    20       2.0800712449E-005
#    -33    21       5.5805877845E-004
#    -33    22       9.8520162969E-004
#    -33    23       1.0764719423E-004
#    -33    24       1.1166044178E-005
#    -33    25       5.7514234560E-005
#    -33    26       5.8464870747E-004
#    -33    27       4.6968206744E-004
#    -32   -13       9.9366518062E-006
#    -32   -12       2.2531542629E-004
#    -32   -11       3.1006209991E-004
#    -32   -10       2.9461783053E-005
#    -32    -9       4.1811202014E-005
#    -32    -8       3.6159543813E-005
#    -32    -7       3.3945332476E-004
#    -32    -6       3.5004381085E-004
#    -32    -5       2.6988447282E-005
#    -32    -4       2.6330385310E-005
#    -32    -3       2.8176629414E-005
#    -32    -2       4.9225474614E-004
#    -32    -1       4.4302417727E-004
#    -32     0       4.2009997999E-005
#    -32     1       5.2869372574E-005
#    -32     2       4.1377158249E-005
#    -32     3       2.7238668101E-004
#    -32     4       1.9429205836E-004
#    -32     5       8.6997188092E-006
#    -32     6       1.5756678925E-005
#    -32     7       1.2228224646E-005
#    -32     8       1.5335510056E-004
#    -32     9       2.2041993176E-004
#    -32    10       1.3838816766E-005
#    -32    11       7.4639770795E-005
#    -32    12       3.6201340050E-005
#    -32    13       2.4224881724E-004
#    -32    14       2.7957653952E-004
#    -32    15       4.8503048565E-007
#    -32    16       3.3166635942E-005
#    -32    17       1.8045462872E-005
#    -32    18       1.2129570245E-004
#    -32    19       1.7436120153E-004
#    -32    20       1.6562068366E-005
#    -32    21       2.0937450214E-005
#    -32    22       3.9861838972E-005
#    -32    23       1.4663292484E-003
#    -32    24       1.0049960468E-003
#    -32    25       4.9880987191E-005
#    -32    26       4.2274640986E-005
#    -32    27       9.4697466406E-006
#    -32    28       1.4899825171E-005
#    -31   -14       1.2904781204E-005
#    -31   -13       2.0167401494E-005
#    -31   -12       2.3958667490E-004
#    -31   -11       3.4632702096E-006
#    -31   -10       2.9625796366E-005
#    -31    -9       2.4904681568E-005
#    -31    -8       2.9916572748E-005
#    -31    -7       2.2359536194E-004
#    -31    -6       8.6674000353E-006
#    -31    -5       6.3914589647E-005
#    -31    -4       2.1065926570E-005
#    -31    -3       1.7771296707E-005
#    -31    -2       2.7863691216E-004
#    -31    -1       4.4419795299E-005
#    -31     0       1.0025014533E-004
#    -31     1       3.6815070054E-005
#    -31     2       5.6679185736E-006
#    -31     3       6.3552528903E-005
#    -31     4       5.2384247689E-005
#    -31     5       2.5680016833E-006
#    -31     6       3.2542626145E-006
#    -31     7       1.0635998155E-005
#    -31     8       1.2932540451E-004
#    -31     9       1.0032145202E-006
#    -31    10       2.3245060873E-005
#    -31    11       6.6632029336E-006
#    -31    12       5.8759239501E-005
#    -31    13       1.6474270405E-004
#    -31    14       3.0699122940E-005
#    -31    15       5.5641799878E-005
#    -31    16       1.4259930714E-005
#    -31    17       5.8676549875E-006
#    -31    18       3.5742129330E-005
#    -31    19       7.4290435893E-006
#    -31    20       1.4581544813E-004
#    -31    21       1.1229926017E-005
#    -31    22       8.5579608614E-006
#    -31    23       3.7698054648E-004
#    -31    24       1.0942794032E-004
#    -31    25       1.7366739453E-005
#    -31    26       7.1944800693E-005
#    -31    27       6.7996089748E-005
#    -31    28       5.4547008647E-004
#    -30   -15       5.4018572700E-004
#    -30   -14       5.3490846566E-005
#    -30   -13       8.8580907525E-005
#    -30   -12       1.1841238254E-004
#    -30   -11       4.8909453442E-005
#    -30   -10       1.1468496063E-003
#    -30    -9       5.8722121308E-005
#    -30    -8       7.7183047633E-005
#    -30    -7       1.1440372543E-004
#    -30    -6       5.1704739547E-005
#    -30    -5       6.2922777957E-004
#    -30    -4       4.8435555353E-005
#    -30    -3       1.2375708057E-004
#    -30    -2       1.6877094846E-004
#    -30    -1       9.6641530532E-005
#    -30     0       1.5242036596E-003
#    -30     1       2.2065002740E-005
#    -30     2       3.9469124618E-005
#    -30     3       4.2687469890E-005
#    -30     4       4.9598718358E-006
#    -30     5       1.3393264530E-003
#    -30     6       2.6100919259E-005
#    -30     7       1.0897222082E-004
#    -30     8       3.3204171286E-005
#    -30     9       5.7319379400E-006
#    -30    10       8.0238204743E-004
#    -30    11       4.2693109558E-005
#    -30    12       7.4905074050E-005
#    -30    13       6.1544417956E-005
#    -30    14       2.0948595321E-005
