 Diffraction intensities for potential:6x6MoS2_ikbt_4_mu_half10001.in          
#    -44    22       8.9423139906E-007
#    -44    23       7.3741524736E-007
#    -44    24       5.9134194001E-007
#    -44    25       6.1050266298E-007
#    -44    26       4.4334121608E-007
#    -44    27       3.9671531777E-007
#    -44    28       1.6853944561E-007
#    -44    29       1.0778637921E-007
#    -44    30       6.4264466221E-008
#    -44    31       7.6978399038E-008
#    -44    32       4.3379213038E-008
#    -43   -10       1.3853227770E-008
#    -43    -9       7.0295358651E-008
#    -43    -8       1.4472517700E-007
#    -43    -7       1.5014449011E-007
#    -43    -6       2.5093886935E-007
#    -43    -5       1.1999669557E-007
#    -43    -4       1.8242139032E-007
#    -43    -3       3.9884334723E-007
#    -43    -2       7.3896216206E-007
#    -43    -1       1.2822234988E-006
#    -43     0       1.5630821560E-006
#    -43     1       2.1409521116E-006
#    -43     2       1.7893506224E-006
#    -43     3       1.2553448937E-006
#    -43     4       1.2510254432E-006
#    -43     5       2.4185719109E-006
#    -43     6       3.9675732696E-006
#    -43     7       4.6135270251E-006
#    -43     8       2.8544592371E-006
#    -43     9       1.1057030167E-006
#    -43    10       3.3653298277E-007
#    -43    11       5.4259046849E-007
#    -43    12       1.3930368263E-006
#    -43    13       1.4129667252E-006
#    -43    14       3.8166709735E-007
#    -43    15       5.9232150922E-008
#    -43    16       6.1461586756E-007
#    -43    17       1.2003641367E-006
#    -43    18       1.8289008785E-006
#    -43    19       2.2917288254E-006
#    -43    20       1.6152207919E-006
#    -43    21       1.0652562008E-006
#    -43    22       6.1020823312E-007
#    -43    23       5.8066799219E-007
#    -43    24       5.4326605049E-007
#    -43    25       7.3085279470E-007
#    -43    26       5.1712586411E-007
#    -43    27       3.3580607909E-007
#    -43    28       1.3074330941E-007
#    -43    29       6.8307921093E-008
#    -43    30       3.7047534153E-007
#    -43    31       9.0660678328E-008
#    -43    32       3.8160365858E-008
#    -42   -11       5.0238597970E-008
#    -42   -10       2.8269032067E-008
#    -42    -9       1.3311689024E-007
#    -42    -8       1.7443467688E-007
#    -42    -7       1.7325431020E-007
#    -42    -6       4.6697662519E-007
#    -42    -5       1.7798426417E-007
#    -42    -4       2.6419805623E-007
#    -42    -3       5.8182541817E-007
#    -42    -2       1.2951779356E-006
#    -42    -1       2.1401671486E-006
#    -42     0       3.4295276541E-006
#    -42     1       3.0500268220E-006
#    -42     2       2.2978737883E-006
#    -42     3       1.5588215782E-006
#    -42     4       2.6460446027E-006
#    -42     5       5.5920356336E-006
#    -42     6       3.4914153875E-005
#    -42     7       7.7744257312E-006
#    -42     8       4.4580993134E-006
#    -42     9       1.8592310127E-006
#    -42    10       1.0787546311E-006
#    -42    11       2.7571427551E-006
#    -42    12       7.6749029877E-005
#    -42    13       3.5198440781E-006
#    -42    14       9.1803497438E-007
#    -42    15       3.5421064919E-008
#    -42    16       2.2666790176E-007
#    -42    17       1.6216804319E-006
#    -42    18       6.7017197050E-005
#    -42    19       3.2386647915E-006
#    -42    20       1.3043552542E-006
#    -42    21       4.0457135857E-007
#    -42    22       3.2388431451E-007
#    -42    23       8.8419025072E-007
#    -42    24       1.5878469049E-005
#    -42    25       6.2980463391E-007
#    -42    26       2.4965214953E-007
#    -42    27       8.9724465197E-008
#    -42    28       2.8580333182E-007
#    -42    29       9.0448910576E-008
#    -42    30       3.0387092269E-006
#    -42    31       3.0078632749E-007
#    -42    32       2.1211745673E-008
#    -42    33       2.2581831423E-008
#    -41   -12       2.0433349733E-008
#    -41   -11       6.3205475120E-008
#    -41   -10       1.3276547003E-007
#    -41    -9       1.7766481225E-007
#    -41    -8       1.7760088920E-007
#    -41    -7       1.5885392705E-007
#    -41    -6       1.7147587722E-007
#    -41    -5       1.1162097941E-007
#    -41    -4       3.6853954724E-007
#    -41    -3       8.5455086201E-007
#    -41    -2       1.7882021063E-006
#    -41    -1       3.0480894333E-006
#    -41     0       4.2517272783E-006
#    -41     1       3.1285383990E-006
#    -41     2       1.9322632643E-006
#    -41     3       1.6627731847E-006
#    -41     4       4.0936650725E-006
#    -41     5       8.7010915949E-006
#    -41     6       1.1754879234E-005
#    -41     7       9.6002059367E-006
#    -41     8       6.1195649944E-006
#    -41     9       3.3505862956E-006
#    -41    10       2.6290685261E-006
#    -41    11       5.3084974643E-006
#    -41    12       6.9689063438E-006
#    -41    13       4.7671383834E-006
#    -41    14       2.3743654312E-006
#    -41    15       1.1013357430E-006
#    -41    16       6.5056846767E-007
#    -41    17       2.0371260188E-006
#    -41    18       3.2808543376E-006
#    -41    19       1.7513282372E-006
#    -41    20       9.6185282978E-007
#    -41    21       9.9736948005E-007
#    -41    22       1.0231086469E-006
#    -41    23       9.3580691886E-007
#    -41    24       4.1893821811E-007
#    -41    25       1.7058177197E-007
#    -41    26       3.3409402205E-008
#    -41    27       2.2465472606E-008
#    -41    28       6.6079208438E-008
#    -41    29       2.8359624608E-007
#    -41    30       2.5613598137E-007
#    -41    31       2.5572802999E-008
#    -41    32       7.5955969931E-008
#    -41    33       1.5541340159E-007
#    -40   -14       9.7092308851E-009
#    -40   -13       7.1093415295E-008
#    -40   -12       9.2082904501E-008
#    -40   -11       1.5367715330E-007
#    -40   -10       2.2550207783E-007
#    -40    -9       2.4476201459E-007
#    -40    -8       1.9443754538E-007
#    -40    -7       1.5584862504E-007
#    -40    -6       9.3985878222E-008
#    -40    -5       2.0408808049E-007
#    -40    -4       6.2991117261E-007
