 Diffraction intensities for potential:pot10001.in                             
#     -8   -11       2.8887971843E-004
#     -8   -10       1.5569115872E-004
#     -8    -9       9.8649461312E-006
#     -8    -8       2.3882286096E-004
#     -8    -7       1.6072622851E-004
#     -8    -6       1.0977745200E-003
#     -8    -5       1.4071502878E-004
#     -8    -4       3.8128409508E-004
#     -8    -3       1.8804839566E-004
#     -8    -2       5.7185676323E-004
#     -8    -1       5.2146003222E-004
#     -8     0       3.2750883562E-003
#     -8     1       2.7335948602E-003
#     -8     2       1.0325410470E-003
#     -8     3       2.8530648164E-004
#     -8     4       2.7005412558E-004
#     -8     5       2.1800779789E-004
#     -8     6       9.3578468943E-004
#     -8     7       3.1478274613E-004
#     -8     8       2.6280735090E-005
#     -8     9       1.7582815629E-003
#     -8    10       2.0640554976E-004
#     -8    11       1.3471689469E-003
#     -8    12       3.5952133064E-004
#     -8    13       8.0010626022E-004
#     -7   -15       1.5816386983E-004
#     -7   -14       1.7244006657E-004
#     -7   -13       6.3797218026E-005
#     -7   -12       1.9621595672E-005
#     -7   -11       4.0644952288E-005
#     -7   -10       2.0691947763E-004
#     -7    -9       1.1291854115E-003
#     -7    -8       7.2941531538E-004
#     -7    -7       2.0353291897E-003
#     -7    -6       4.0149947173E-004
#     -7    -5       6.1628832317E-004
#     -7    -4       1.9220656483E-004
#     -7    -3       3.7036904577E-003
#     -7    -2       1.5120974695E-003
#     -7    -1       2.7570838764E-003
#     -7     0       3.3962586423E-004
#     -7     1       1.6214907725E-003
#     -7     2       2.0737504669E-004
#     -7     3       2.1273219619E-003
#     -7     4       2.6818512910E-003
#     -7     5       7.6294103197E-005
#     -7     6       9.6561372139E-004
#     -7     7       1.2256021407E-003
#     -7     8       8.5718764286E-004
#     -7     9       1.9068420918E-003
#     -7    10       2.0613575441E-003
#     -7    11       6.3236332192E-004
#     -7    12       2.3498447591E-004
#     -6   -16       5.5652892728E-004
#     -6   -15       1.2645508773E-003
#     -6   -14       2.1065737994E-003
#     -6   -13       2.8509387882E-004
#     -6   -12       1.1528060076E-004
#     -6   -11       4.1613156228E-005
#     -6   -10       3.9733250695E-004
#     -6    -9       2.4041302446E-003
#     -6    -8       2.1985915263E-003
#     -6    -7       2.6145773523E-003
#     -6    -6       5.4452508012E-003
#     -6    -5       8.6410379939E-004
#     -6    -4       4.2205982312E-003
#     -6    -3       1.0616009143E-002
#     -6    -2       1.0285049289E-003
#     -6    -1       1.6053008251E-003
#     -6     0       1.1774339177E-002
#     -6     1       8.4523284380E-004
#     -6     2       1.0848536491E-003
#     -6     3       3.2732404814E-003
#     -6     4       3.1214830999E-003
#     -6     5       4.1733307793E-003
#     -6     6       5.9007216565E-003
#     -6     7       3.9645988818E-003
#     -6     8       1.0617141416E-003
#     -6     9       3.3022649357E-003
#     -6    10       5.0183960365E-003
#     -6    11       1.3830415543E-003
#     -5   -16       1.5371174371E-004
#     -5   -15       1.5018364837E-003
#     -5   -14       3.5161812134E-004
#     -5   -13       2.4234645311E-004
#     -5   -12       8.5847545692E-005
#     -5   -11       6.9935764719E-005
#     -5   -10       2.9614755842E-004
#     -5    -9       3.3604764811E-004
#     -5    -8       9.7465754386E-005
#     -5    -7       5.5628614882E-005
#     -5    -6       7.5442487665E-004
#     -5    -5       3.0723586887E-004
#     -5    -4       3.5261378836E-003
#     -5    -3       2.9025388844E-004
#     -5    -2       2.0445443664E-004
#     -5    -1       8.5270481491E-004
#     -5     0       3.1637562124E-004
#     -5     1       1.7267441843E-003
#     -5     2       1.6077259172E-003
#     -5     3       6.1354108537E-003
#     -5     4       2.0527744964E-004
#     -5     5       4.0908287017E-003
#     -5     6       2.1058177526E-003
#     -5     7       4.0495958107E-005
#     -5     8       4.1314447600E-005
#     -5     9       3.5779015560E-003
#     -5    10       1.2420894611E-003
#     -5    11       2.1473028305E-003
#     -4   -16       8.7777673445E-004
#     -4   -15       1.5807167600E-004
#     -4   -14       1.5236146225E-003
#     -4   -13       1.8130833296E-003
#     -4   -12       1.9734511692E-004
#     -4   -11       9.7633852048E-005
#     -4   -10       9.9033484792E-004
#     -4    -9       1.3361766378E-003
#     -4    -8       1.3924504033E-003
#     -4    -7       1.4388005813E-003
#     -4    -6       1.3851040613E-003
#     -4    -5       9.9152940822E-004
#     -4    -4       2.7456798481E-004
#     -4    -3       2.1324885750E-003
#     -4    -2       1.0918837788E-003
#     -4    -1       1.7192650472E-003
#     -4     0       7.3737075563E-004
#     -4     1       1.4881150804E-003
#     -4     2       8.1552481049E-005
#     -4     3       1.0650085636E-003
#     -4     4       8.0093930015E-004
#     -4     5       7.7508936445E-004
#     -4     6       5.1986247802E-003
#     -4     7       9.7284989032E-004
#     -4     8       2.6394158089E-003
#     -4     9       2.5287982840E-003
#     -4    10       2.6359861223E-003
#     -3   -16       3.3353150024E-004
#     -3   -15       1.0947524671E-003
#     -3   -14       3.6622071341E-003
#     -3   -13       1.5937957260E-003
#     -3   -12       1.0884817188E-003
#     -3   -11       1.4923394603E-003
#     -3   -10       1.1432664270E-003
#     -3    -9       5.5451863915E-004
#     -3    -8       5.9426636250E-004
#     -3    -7       7.4016122898E-005
#     -3    -6       6.2037338716E-003
#     -3    -5       2.1521825714E-004
#     -3    -4       2.6830788185E-003
#     -3    -3       3.2948245001E-003
#     -3    -2       1.6044207681E-003
#     -3    -1       1.4961647442E-003
#     -3     0       7.6465294121E-003
#     -3     1       5.3916727321E-004
#     -3     2       9.1757230392E-004
#     -3     3       1.8243401686E-003
#     -3     4       3.1637978854E-004
#     -3     5       3.5221320921E-003
#     -3     6       1.8879836893E-002
#     -3     7       2.6270043466E-003
#     -3     8       2.0900513082E-003
#     -3     9       1.1735230537E-002
#     -2   -16       1.3288420837E-004
#     -2   -15       4.1717097321E-004
#     -2   -14       3.2439882842E-004
#     -2   -13       5.5881430845E-004
#     -2   -12       5.9934998448E-004
#     -2   -11       4.5476515908E-004
#     -2   -10       1.2577368417E-003
#     -2    -9       8.2924813224E-004
#     -2    -8       7.3685770079E-005
#     -2    -7       7.1238029718E-004
#     -2    -6       9.4231362682E-004
#     -2    -5       7.8250684116E-005
#     -2    -4       3.1077046870E-003
#     -2    -3       6.1450587503E-003
#     -2    -2       8.2193227786E-005
#     -2    -1       5.3722762113E-004
#     -2     0       5.9674359390E-003
#     -2     1       1.6318128677E-003
#     -2     2       2.8114756124E-004
#     -2     3       3.1449173444E-004
#     -2     4       5.4445377924E-004
#     -2     5       1.5994314492E-003
#     -2     6       4.3918473918E-003
#     -2     7       2.6464043987E-004
#     -2     8       6.8716554107E-004
#     -1   -16       6.7667144417E-004
#     -1   -15       7.0808954136E-004
#     -1   -14       4.0387761841E-003
#     -1   -13       2.2293115670E-003
#     -1   -12       1.9561528785E-004
#     -1   -11       5.3092785004E-005
#     -1   -10       9.8578076173E-005
#     -1    -9       7.8586718174E-004
#     -1    -8       9.0276995360E-004
#     -1    -7       3.1110536049E-004
#     -1    -6       9.6056707716E-004
#     -1    -5       4.1773483984E-003
#     -1    -4       2.0568470072E-004
#     -1    -3       1.0617584739E-003
#     -1    -2       9.1661423412E-004
#     -1    -1       1.6327489335E-003
#     -1     0       3.4208577671E-003
#     -1     1       1.0949444773E-003
#     -1     2       1.6557243582E-003
#     -1     3       8.7787039333E-004
#     -1     4       2.5476585849E-005
#     -1     5       3.7671690288E-004
#     -1     6       4.6129834872E-003
#     -1     7       2.3024215257E-003
#      0   -16       1.9359061163E-004
#      0   -15       1.0620312860E-003
#      0   -14       4.1649739731E-003
#      0   -13       2.0737993652E-003
#      0   -12       1.5523704603E-003
#      0   -11       3.7742316698E-004
#      0   -10       1.6829144807E-003
#      0    -9       1.7097549083E-002
#      0    -8       2.6646987509E-005
#      0    -7       1.2220841967E-003
#      0    -6       5.9015528363E-003
#      0    -5       4.0816530546E-003
#      0    -4       7.9941496596E-004
#      0    -3       1.8213107656E-003
#      0    -2       2.8306324668E-004
#      0    -1       1.0996832723E-003
#      0     0       1.6567107534E-002
#      0     1       5.1685937209E-004
#      0     2       1.8148377911E-003
#      0     3       4.4084131826E-003
#      0     4       4.6765184105E-003
#      0     5       3.2438624395E-004
#      0     6       7.4842667364E-003
#      1   -16       8.3061345665E-004
#      1   -15       3.4938607068E-004
#      1   -14       9.2871153376E-004
#      1   -13       1.9935924948E-005
#      1   -12       7.3184154549E-004
#      1   -11       8.8483914174E-004
#      1   -10       3.0797034278E-005
#      1    -9       1.7402540820E-003
#      1    -8       8.5034926009E-004
#      1    -7       3.9559898657E-003
#      1    -6       2.1049761085E-003
#      1    -5       7.7073448072E-004
#      1    -4       3.1753612157E-004
#      1    -3       3.1498362049E-004
#      1    -2       1.6505587160E-003
#      1    -1       5.1740897088E-004
#      1     0       7.1844220321E-003
#      1     1       4.6173403134E-004
#      1     2       9.5405166857E-004
#      1     3       1.3448244391E-003
#      1     4       3.6658127984E-003
#      1     5       1.3390606279E-003
#      2   -16       1.1685474302E-004
#      2   -15       7.8458896971E-004
#      2   -14       4.2200579416E-005
#      2   -13       1.2730771465E-003
#      2   -12       2.0937708175E-005
#      2   -11       1.5420176128E-004
#      2   -10       2.0916140556E-004
#      2    -9       1.9004186999E-003
#      2    -8       1.0706817868E-003
#      2    -7       3.8226622705E-005
#      2    -6       5.2026012549E-003
#      2    -5       3.5210132251E-003
#      2    -4       5.4094316532E-004
#      2    -3       8.7923849662E-004
#      2    -2       1.8140264180E-003
#      2    -1       4.6005776464E-004
#      2     0       1.2233449198E-003
#      2     1       4.7601702427E-003
#      2     2       3.4342613224E-004
#      2     3       1.1460688843E-003
#      3   -15       2.5960493838E-003
#      3   -14       2.4546919534E-003
#      3   -13       7.5185560446E-005
#      3   -12       1.0182013100E-003
#      3   -11       1.3400824470E-003
#      3   -10       2.0510091431E-003
#      3    -9       3.2958272622E-003
#      3    -8       4.1080987815E-005
#      3    -7       9.8141910782E-004
#      3    -6       1.8870202054E-002
#      3    -5       1.6029036470E-003
#      3    -4       2.5226883103E-005
#      3    -3       4.4044406439E-003
#      3    -2       9.5140113206E-004
#      3    -1       4.7611165857E-003
#      3     0       1.9397681321E-002
#      3     1       8.4440951653E-004
#      3     2       7.0353514719E-003
#      4   -14       5.8049079624E-004
#      4   -13       1.6334198801E-004
#      4   -12       3.5880652283E-004
#      4   -11       6.2137948751E-004
#      4   -10       4.9914186399E-003
#      4    -9       3.5649775676E-003
#      4    -8       2.6366480597E-003
#      4    -7       2.6277315150E-003
#      4    -6       4.3861061147E-003
#      4    -5       3.7696993942E-004
#      4    -4       4.6739728050E-003
#      4    -3       1.3461326445E-003
#      4    -2       3.4379916142E-004
#      4    -1       8.4391801556E-004
#      4     0       2.3468655384E-003
#      5   -13       7.9808275943E-004
#      5   -12       2.3342547160E-004
#      5   -11       1.3829445441E-003
#      5   -10       1.2409273222E-003
#      5    -9       2.5310872376E-003
#      5    -8       2.0917867588E-003
#      5    -7       2.6498132239E-004
#      5    -6       4.6155485527E-003
#      5    -5       3.2603821870E-004
#      5    -4       3.6669116168E-003
#      5    -3       1.1453565669E-003
#      5    -2       7.0324645972E-003
#      6   -11       2.1544526099E-003
#      6   -10       2.6421035573E-003
#      6    -9       1.1723205535E-002
#      6    -8       6.8604751226E-004
#      6    -7       2.2976650348E-003
#      6    -6       7.4922695078E-003
#      6    -5       1.3379768480E-003
