 Diffraction intensities for potential:4x4MoS210001.in                         
#    -25    21       8.2685028216E-005
#    -25    22       8.3005166258E-005
#    -24   -12       3.8652787552E-005
#    -24   -11       4.0522765705E-005
#    -24   -10       4.4552022555E-005
#    -24    -9       5.5051599530E-005
#    -24    -8       1.1336728915E-004
#    -24    -7       5.7134373183E-005
#    -24    -6       4.0653448386E-005
#    -24    -5       4.8510697999E-005
#    -24    -4       3.2382776081E-006
#    -24    -3       7.0695781478E-005
#    -24    -2       7.4245133898E-005
#    -24    -1       6.7766070986E-005
#    -24     0       5.7253905223E-004
#    -24     1       5.6007250711E-005
#    -24     2       4.5220555496E-005
#    -24     3       2.5412562707E-005
#    -24     4       7.8134462424E-004
#    -24     5       8.9837889606E-006
#    -24     6       6.0888526625E-006
#    -24     7       1.7783649482E-006
#    -24     8       8.1348913592E-004
#    -24     9       9.3773714990E-007
#    -24    10       2.3959926766E-007
#    -24    11       3.6133608707E-006
#    -24    12       8.1343132074E-004
#    -24    13       9.0776568904E-006
#    -24    14       4.1498592719E-006
#    -24    15       2.5304399121E-006
#    -24    16       2.3609649183E-005
#    -24    17       7.8115484418E-005
#    -24    18       1.7471285148E-004
#    -24    19       1.9653770305E-004
#    -24    20       8.0997581469E-005
#    -24    21       9.7207945082E-005
#    -24    22       2.0880709176E-005
#    -23   -13       9.6094781406E-006
#    -23   -12       5.2445921589E-005
#    -23   -11       4.2117124496E-005
#    -23   -10       7.0213419981E-005
#    -23    -9       6.1668321903E-005
#    -23    -8       6.9162808545E-005
#    -23    -7       3.7621783138E-005
#    -23    -6       3.6161735803E-005
#    -23    -5       3.5793118458E-005
#    -23    -4       4.9154479491E-005
#    -23    -3       4.8419039174E-005
#    -23    -2       4.9904901268E-005
#    -23    -1       5.6120446609E-005
#    -23     0       6.4135690261E-005
#    -23     1       6.3733142584E-005
#    -23     2       4.2408455776E-005
#    -23     3       2.3020869558E-005
#    -23     4       1.9369148102E-005
#    -23     5       2.0501307869E-005
#    -23     6       2.4426996548E-005
#    -23     7       2.9494430175E-005
#    -23     8       3.1262472242E-005
#    -23     9       3.2507729383E-005
#    -23    10       2.2591554625E-005
#    -23    11       2.5300238528E-005
#    -23    12       2.2439818583E-005
#    -23    13       2.1757722633E-005
#    -23    14       4.8450833764E-006
#    -23    15       1.4744997762E-005
#    -23    16       8.8666062465E-005
#    -23    17       7.9206195178E-005
#    -23    18       1.0146553764E-004
#    -23    19       1.3681180844E-004
#    -23    20       3.7765846134E-005
#    -23    21       1.3206699432E-004
#    -23    22       6.4715843620E-005
#    -22   -13       4.5008136295E-005
#    -22   -12       6.3854289583E-005
#    -22   -11       9.2015720707E-005
#    -22   -10       9.0775578034E-005
#    -22    -9       9.8093593108E-005
#    -22    -8       6.7224279891E-005
#    -22    -7       4.7539899211E-005
#    -22    -6       3.4415061004E-005
#    -22    -5       2.3467789099E-005
#    -22    -4       2.5972765072E-005
#    -22    -3       2.7764018244E-005
#    -22    -2       4.5442121302E-005
#    -22    -1       6.3719509142E-005
#    -22     0       8.4592503984E-005
#    -22     1       7.3165429508E-005
#    -22     2       3.9163962666E-005
#    -22     3       1.3950895063E-005
#    -22     4       2.2197850717E-005
#    -22     5       3.9899487585E-005
#    -22     6       5.1488781651E-005
#    -22     7       7.2246776150E-005
#    -22     8       8.1684603995E-005
#    -22     9       6.9242363257E-005
#    -22    10       6.2479986722E-005
#    -22    11       6.9820321041E-005
#    -22    12       5.2153810363E-005
#    -22    13       3.4372322500E-005
#    -22    14       3.9735423962E-005
#    -22    15       2.9210364477E-005
#    -22    16       5.2224812406E-005
#    -22    17       1.0256414294E-004
#    -22    18       5.3079895397E-005
#    -22    19       1.0204346350E-004
#    -22    20       1.0746515442E-004
#    -22    21       5.1832802483E-005
#    -22    22       2.3018570376E-004
#    -21   -14       4.9103564797E-005
#    -21   -13       6.4711782628E-005
#    -21   -12       9.2833288987E-005
#    -21   -11       9.9403785026E-005
#    -21   -10       1.1235426292E-004
#    -21    -9       8.3254787279E-005
#    -21    -8       5.8686959434E-005
#    -21    -7       2.6292771170E-005
#    -21    -6       1.0779345122E-005
#    -21    -5       8.8848647841E-006
