 Diffraction intensities for potential:-1x1interp10001.in                      
#     -6     0       1.3482427571E-004
#     -6     1       4.1294344029E-004
#     -6     2       6.8962961379E-004
#     -6     3       4.0736189104E-004
#     -6     4       2.5982923686E-004
#     -6     5       7.6484167011E-005
#     -6     6       2.6312877432E-005
#     -6     7       1.6525202714E-007
#     -5    -2       1.3204614726E-005
#     -5    -1       2.6267463303E-004
#     -5     0       8.1561629462E-004
#     -5     1       2.6538734413E-003
#     -5     2       2.7953630163E-003
#     -5     3       1.3642766058E-003
#     -5     4       9.0156736995E-004
#     -5     5       1.2081033002E-004
#     -5     6       2.5936666663E-005
#     -4    -3       3.9617209932E-005
#     -4    -2       3.7953337326E-004
#     -4    -1       1.7609625448E-003
#     -4     0       9.4454496312E-003
#     -4     1       1.1900672409E-002
#     -4     2       7.8128852684E-003
#     -4     3       5.9730799835E-003
#     -4     4       3.5171238493E-003
#     -4     5       3.6005670758E-004
#     -4     6       5.4956786160E-005
#     -3    -3       3.0170282193E-004
#     -3    -2       2.3087348252E-003
#     -3    -1       1.2626782624E-002
#     -3     0       3.0685975290E-002
#     -3     1       1.9708546623E-002
#     -3     2       1.1347515869E-002
#     -3     3       2.0207574087E-002
#     -3     4       4.0240198511E-003
#     -3     5       1.0843577444E-003
#     -2    -3       9.3472992053E-004
#     -2    -2       1.5685167412E-002
#     -2    -1       4.1670170604E-002
#     -2     0       4.1955384079E-002
#     -2     1       1.3214268297E-002
#     -2     2       4.0372984143E-002
#     -2     3       2.2050837174E-002
#     -2     4       1.2860065379E-002
#     -2     5       2.2999118045E-004
#     -1    -3       3.0636575519E-003
#     -1    -2       3.1001239247E-002
#     -1    -1       7.1249916489E-002
#     -1     0       6.1186039865E-003
#     -1     1       4.7527603305E-003
#     -1     2       6.3889062826E-002
#     -1     3       4.6921716791E-002
#     -1     4       2.2505888267E-003
#      0    -3       6.5757796519E-003
#      0    -2       1.8678561724E-002
#      0    -1       3.2394221110E-002
#      0     0       6.7545299748E-002
#      0     1       4.5656469583E-002
#      0     2       3.7248253061E-002
#      0     3       3.0846967452E-003
#      1    -3       1.3968952038E-002
#      1    -2       4.5195420139E-002
#      1    -1       4.9346798139E-002
#      1     0       5.2393988015E-002
#      1     1       5.4292257389E-002
#     -9     3       2.2276419329E-005
#     -9     4       2.8747261990E-005
#     -9     5       1.1033397893E-005
#     -9     6       1.3104790600E-005
#     -8     1       4.4659976978E-006
#     -8     2       1.7681784963E-005
#     -8     3       3.0042240961E-005
#     -8     4       1.8670991656E-004
#     -8     5       5.5606128581E-005
#     -8     6       3.6572247894E-006
#     -7     0       3.8384294063E-006
#     -7     1       1.8423620015E-005
#     -7     2       1.3640255164E-004
#     -7     3       2.6368933956E-004
#     -7     4       7.4992594570E-005
#     -7     5       6.0918898735E-005
#     -7     6       4.1383575030E-006
#     -7     7       2.0225725578E-007
#     -6    -1       5.8508380468E-006
#     -6     0       1.4581611819E-004
#     -6     1       4.0425011309E-004
#     -6     2       7.0939602586E-004
#     -6     3       4.0474308772E-004
#     -6     4       2.5174336682E-004
#     -6     5       8.9465047646E-005
#     -6     6       1.7417228516E-005
#     -6     7       4.7617377327E-006
#     -5    -2       5.5882405448E-006
#     -5    -1       3.0568035589E-004
#     -5     0       8.2370270215E-004
#     -5     1       2.6517806701E-003
#     -5     2       2.8138371247E-003
#     -5     3       1.3508101253E-003
#     -5     4       8.8797652888E-004
#     -5     5       1.0617976131E-004
#     -5     6       1.6715383763E-005
#     -4    -3       4.3942425505E-005
#     -4    -2       4.2577336786E-004
#     -4    -1       1.8369151332E-003
#     -4     0       9.4908571714E-003
#     -4     1       1.1942244614E-002
#     -4     2       8.0471654086E-003
#     -4     3       5.7763722768E-003
#     -4     4       3.5100760170E-003
#     -4     5       2.5942840141E-004
#     -4     6       1.1330802370E-004
#     -3    -3       3.4293833376E-004
#     -3    -2       2.1827084753E-003
#     -3    -1       1.2902056337E-002
#     -3     0       3.0239716497E-002
#     -3     1       1.9964560166E-002
#     -3     2       1.1625703556E-002
#     -3     3       1.9827126203E-002
#     -3     4       3.8222834725E-003
#     -3     5       9.1797751817E-004
#     -2    -3       5.7480011660E-004
#     -2    -2       1.4882293829E-002
#     -2    -1       4.1314883646E-002
#     -2     0       4.0036328336E-002
#     -2     1       1.4571961716E-002
#     -2     2       4.0739733405E-002
#     -2     3       2.1120153604E-002
#     -2     4       1.3857077622E-002
#     -2     5       9.9047253327E-005
#     -1    -3       2.0938045546E-003
#     -1    -2       2.8035825641E-002
#     -1    -1       6.2705868896E-002
#     -1     0       8.8693820395E-003
#     -1     1       4.9656889612E-003
#     -1     2       7.0019559047E-002
#     -1     3       4.2076140046E-002
#     -1     4       3.1056053478E-003
#      0    -3       1.7177843924E-003
#      0    -2       1.5786579080E-002
#      0    -1       1.8120742564E-002
#      0     0       7.7220262417E-002
#      0     1       5.7825417380E-002
#      0     2       2.8951089171E-002
#      0     3       4.1692908907E-003
#      1    -3       1.0645838496E-002
#      1    -2       7.6622057409E-002
#      1    -1       4.6041747580E-002
#      1     0       4.6211847843E-002
#      1     1       5.2416392362E-002
#     -9     2       2.3246018454E-006
#     -9     3       2.0706879606E-005
#     -9     4       2.9334478740E-005
#     -9     5       1.2857616990E-005
#     -9     6       1.0129938878E-005
#     -8     1       5.1234537574E-006
#     -8     2       2.5240252351E-005
#     -8     3       2.3354555445E-005
#     -8     4       1.6272925517E-004
#     -8     5       5.6372794165E-005
#     -8     6       2.7924097678E-006
#     -7     0       4.4233924489E-006
#     -7     1       1.6835632323E-005
#     -7     2       1.3797801658E-004
#     -7     3       2.5830365373E-004
#     -7     4       6.7554213429E-005
#     -7     5       6.6717254894E-005
#     -7     6       1.1269920443E-006
#     -7     7       7.6009048538E-007
#     -6    -1       1.2650810618E-005
#     -6     0       1.5988959834E-004
#     -6     1       4.1361858614E-004
#     -6     2       7.2449031713E-004
#     -6     3       4.1632632162E-004
#     -6     4       2.5895811035E-004
#     -6     5       8.3055884595E-005
#     -6     6       1.8776390910E-005
#     -6     7       2.0670631961E-007
#     -5    -2       2.0509947148E-005
#     -5    -1       3.2607429850E-004
#     -5     0       8.8333896628E-004
#     -5     1       2.7969381609E-003
#     -5     2       2.8251408748E-003
#     -5     3       1.3455228602E-003
#     -5     4       9.0565554106E-004
#     -5     5       9.9633690353E-005
#     -5     6       9.9660524037E-006
#     -4    -3       3.9962630231E-005
#     -4    -2       5.0190231108E-004
#     -4    -1       1.9596179748E-003
#     -4     0       1.0222443442E-002
#     -4     1       1.2084624500E-002
#     -4     2       7.8741135248E-003
#     -4     3       5.9638593268E-003
#     -4     4       3.6442178165E-003
#     -4     5       1.6062056621E-004
#     -4     6       2.5846406245E-005
#     -3    -3       3.6793782664E-004
#     -3    -2       2.3623908030E-003
#     -3    -1       1.4279410538E-002
