 Diffraction intensities for potential:3x3ikbt_0410001.in                      
#    -13    11       1.5012604522E-004
#    -13    12       4.2177450780E-004
#    -13    13       4.6013476472E-004
#    -13    14       1.1474727710E-004
#    -13    15       6.3824700400E-005
#    -12   -13       8.0684544971E-007
#    -12   -12       1.0824816731E-005
#    -12   -11       1.3850531006E-005
#    -12   -10       2.7244785515E-005
#    -12    -9       4.7917347698E-005
#    -12    -8       3.6182406860E-005
#    -12    -7       3.3097689915E-004
#    -12    -6       2.3581568900E-004
#    -12    -5       1.1287727877E-004
#    -12    -4       6.1492687133E-004
#    -12    -3       1.8608358218E-003
#    -12    -2       5.5162451894E-004
#    -12    -1       9.1789948594E-004
#    -12     0       4.3825809147E-003
#    -12     1       8.3181677906E-004
#    -12     2       1.4844338415E-003
#    -12     3       4.4813730353E-003
#    -12     4       2.4357086109E-003
#    -12     5       2.2955038610E-003
#    -12     6       4.3315209219E-003
#    -12     7       2.9026676483E-003
#    -12     8       8.5955391775E-004
#    -12     9       2.0265267464E-003
#    -12    10       1.8968435388E-004
#    -12    11       2.3048657506E-004
#    -12    12       8.8293342073E-004
#    -12    13       5.0706023145E-004
#    -12    14       3.8433229855E-005
#    -12    15       1.2225950294E-004
#    -11   -14       1.7258281520E-007
#    -11   -13       2.5847908713E-006
#    -11   -12       7.5112549387E-006
#    -11   -11       1.6299590795E-005
#    -11   -10       1.8178757572E-005
#    -11    -9       3.9882807504E-005
#    -11    -8       2.2676935403E-004
#    -11    -7       4.7292610878E-004
#    -11    -6       5.0900378883E-004
#    -11    -5       2.6030563282E-004
#    -11    -4       8.2404265577E-004
#    -11    -3       1.8863981566E-003
#    -11    -2       1.0641603673E-003
#    -11    -1       8.3120671112E-004
#    -11     0       2.5497592727E-003
#    -11     1       8.7965041965E-004
#    -11     2       5.6338744601E-004
#    -11     3       2.8378701893E-003
#    -11     4       3.3302862265E-004
#    -11     5       1.5511656895E-003
#    -11     6       2.0666484703E-003
#    -11     7       4.8329986704E-004
#    -11     8       1.4075683371E-003
#    -11     9       9.5237148885E-005
#    -11    10       2.7291999824E-004
#    -11    11       2.5527294578E-004
#    -11    12       5.9772103978E-004
#    -11    13       2.2665992396E-005
#    -11    14       1.5905131673E-005
#    -10   -14       1.0714319861E-006
#    -10   -13       5.2835300947E-006
#    -10   -12       9.1222414658E-006
#    -10   -11       9.4193321329E-006
#    -10   -10       3.6017535523E-005
#    -10    -9       2.1332131926E-004
#    -10    -8       3.5491483663E-004
#    -10    -7       2.6287006357E-004
#    -10    -6       4.8146808903E-004
#    -10    -5       4.6540992168E-004
#    -10    -4       5.4540769225E-004
#    -10    -3       1.7991839041E-003
#    -10    -2       1.4863540749E-003
#    -10    -1       8.7748125065E-004
#    -10     0       3.0798085084E-003
#    -10     1       2.8392394517E-003
#    -10     2       6.9813080711E-004
#    -10     3       6.6186969642E-004
#    -10     4       1.0388680490E-003
#    -10     5       2.5931728787E-003
#    -10     6       4.0893471197E-004
#    -10     7       8.1613235394E-004
#    -10     8       3.0672261769E-004
#    -10     9       1.5242132447E-003
#    -10    10       9.0118460547E-004
#    -10    11       1.5996060148E-004
#    -10    12       1.0058411037E-005
#    -10    13       1.8805305658E-004
#    -10    14       1.0688316558E-004
#     -9   -15       8.3394557619E-008
#     -9   -14       2.0279406650E-006
#     -9   -13       5.5287584868E-006
#     -9   -12       1.5959742806E-005
#     -9   -11       2.7614835901E-005
#     -9   -10       1.7570939717E-004
#     -9    -9       4.3046194832E-004
#     -9    -8       3.6993462010E-004
#     -9    -7       6.4541083656E-004
#     -9    -6       1.6515490308E-003
#     -9    -5       4.0755730088E-004
#     -9    -4       1.6313716159E-003
#     -9    -3       4.4800726507E-003
#     -9    -2       5.6372107330E-004
#     -9    -1       2.8376986850E-003
#     -9     0       1.4705418234E-002
#     -9     1       2.2472720364E-003
#     -9     2       1.1118819184E-003
#     -9     3       1.3220213937E-002
#     -9     4       2.9263951436E-003
#     -9     5       1.3775461475E-003
#     -9     6       7.3706201611E-003
#     -9     7       1.1422279925E-003
#     -9     8       7.6843071183E-004
#     -9     9       8.5435747049E-003
#     -9    10       2.0739873998E-004
#     -9    11       8.3948004723E-005
#     -9    12       1.1264501040E-003
#     -9    13       5.9846869729E-004
#     -8   -15       4.8040122014E-007
#     -8   -14       3.9035230675E-006
#     -8   -13       3.5636781273E-006
#     -8   -12       3.1053582827E-006
#     -8   -11       5.2109228225E-005
#     -8   -10       2.1469062861E-004
#     -8    -9       2.7810604608E-004
#     -8    -8       6.4719818205E-004
#     -8    -7       9.9870709787E-004
#     -8    -6       1.0349108382E-003
#     -8    -5       1.8363827855E-003
#     -8    -4       2.4356383731E-003
#     -8    -3       2.8392103626E-003
#     -8    -2       6.9906989928E-004
#     -8    -1       2.2470983277E-003
#     -8     0       4.3354905988E-003
#     -8     1       8.1187692786E-004
#     -8     2       3.4156917051E-004
#     -8     3       2.7181221960E-003
#     -8     4       3.1803266329E-004
#     -8     5       9.2000466942E-004
#     -8     6       1.6657827512E-004
#     -8     7       6.7928290932E-004
#     -8     8       9.6029199995E-004
#     -8     9       1.9180721545E-004
#     -8    10       1.0224016159E-003
#     -8    11       5.6444751255E-004
#     -8    12       5.2128400398E-004
#     -8    13       5.5674619557E-004
#     -7   -15       2.0717347363E-006
#     -7   -14       6.2836103127E-007
#     -7   -13       2.9936252761E-006
#     -7   -12       2.4639209316E-005
#     -7   -11       8.2668625737E-005
#     -7   -10       1.2259073372E-004
#     -7    -9       2.5305209080E-004
#     -7    -8       4.3853267503E-004
#     -7    -7       4.0577412956E-004
#     -7    -6       1.5112992546E-003
#     -7    -5       2.2977429087E-003
#     -7    -4       3.3265814595E-004
