 Diffraction intensities for potential:ensembletest10002.in                    
#    -36    25       2.8107478534E-005
#    -36    26       3.7897510865E-006
#    -36    27       6.4643963215E-006
#    -35    -9       1.4583210976E-005
#    -35    -8       8.4008228000E-005
#    -35    -7       3.6348816795E-005
#    -35    -6       9.0834218686E-006
#    -35    -5       1.3244102017E-004
#    -35    -4       2.5143994815E-005
#    -35    -3       1.4026101079E-004
#    -35    -2       1.0040978587E-004
#    -35    -1       1.9059600599E-005
#    -35     0       2.2571231051E-004
#    -35     1       3.3669513252E-005
#    -35     2       1.8441340163E-004
#    -35     3       1.4232551258E-004
#    -35     4       6.0841592327E-005
#    -35     5       7.9055744394E-005
#    -35     6       7.3350981354E-005
#    -35     7       1.4697190165E-004
#    -35     8       1.6276358437E-004
#    -35     9       6.0327406220E-005
#    -35    10       5.1550188824E-004
#    -35    11       4.4662889218E-005
#    -35    12       2.2222300728E-004
#    -35    13       1.5931114382E-004
#    -35    14       4.0453623475E-005
#    -35    15       4.9619955527E-004
#    -35    16       5.9538912626E-005
#    -35    17       1.4227014487E-004
#    -35    18       2.7342722283E-004
#    -35    19       8.2961271303E-005
#    -35    20       4.5382436990E-004
#    -35    21       1.2004083829E-004
#    -35    22       1.4087159440E-004
#    -35    23       2.1278167319E-004
#    -35    24       7.8627329453E-005
#    -35    25       2.3428430469E-004
#    -35    26       1.3554212096E-004
#    -35    27       2.9183662356E-004
#    -34   -11       1.7711676123E-006
#    -34   -10       1.3702873220E-005
#    -34    -9       1.8029708609E-005
#    -34    -8       1.9389840738E-005
#    -34    -7       4.7627714230E-006
#    -34    -6       3.9305540450E-005
#    -34    -5       1.5955265127E-005
#    -34    -4       4.2989999859E-005
#    -34    -3       4.1347297897E-005
#    -34    -2       4.7805290561E-006
#    -34    -1       6.1320648833E-005
#    -34     0       1.5141757087E-005
#    -34     1       4.6856032993E-005
#    -34     2       6.1022509727E-005
#    -34     3       7.7850822544E-006
#    -34     4       6.7797591135E-005
#    -34     5       1.6871368246E-005
#    -34     6       1.2458572490E-005
#    -34     7       2.6666815170E-005
#    -34     8       2.9546838851E-006
#    -34     9       3.1569542658E-005
#    -34    10       4.6268508319E-007
#    -34    11       4.3729061555E-005
#    -34    12       2.2493620268E-005
#    -34    13       2.7010235493E-005
#    -34    14       5.5289405534E-005
#    -34    15       4.5862019441E-005
#    -34    16       3.9042595527E-005
#    -34    17       1.0706626002E-004
#    -34    18       9.8728030448E-006
#    -34    19       7.3196064147E-005
#    -34    20       7.2083271864E-006
#    -34    21       1.8858847785E-005
#    -34    22       1.1067564686E-004
#    -34    23       4.1056146178E-006
#    -34    24       1.1806829102E-004
#    -34    25       4.5411040807E-005
#    -34    26       7.5028244069E-005
#    -34    27       9.4703343022E-006
#    -33   -12       8.6226322771E-006
#    -33   -11       6.7125199732E-005
#    -33   -10       4.7666897821E-005
#    -33    -9       3.4431645209E-005
#    -33    -8       1.0988801069E-004
#    -33    -7       8.9410364716E-006
#    -33    -6       1.1497051282E-004
#    -33    -5       5.9641414330E-005
#    -33    -4       6.4623239246E-005
#    -33    -3       1.7084807208E-004
#    -33    -2       3.3428022047E-006
#    -33    -1       1.2759131160E-004
#    -33     0       5.9076941142E-005
#    -33     1       5.8957855261E-005
#    -33     2       1.8439409976E-004
#    -33     3       8.7317779359E-006
#    -33     4       1.3226305742E-004
#    -33     5       5.3536479021E-005
#    -33     6       3.4606335991E-005
#    -33     7       6.9636935868E-005
#    -33     8       1.6377812223E-005
#    -33     9       9.2540206770E-005
#    -33    10       6.2617433801E-005
#    -33    11       5.8159184706E-005
#    -33    12       1.3367187402E-004
#    -33    13       7.5621413800E-006
#    -33    14       1.7041674592E-004
#    -33    15       5.6276587975E-005
#    -33    16       2.8903977329E-005
#    -33    17       2.0544935545E-004
#    -33    18       3.8301672950E-005
#    -33    19       1.3202989117E-004
#    -33    20       6.4621430862E-005
#    -33    21       1.1925318678E-004
#    -33    22       3.1765588815E-004
#    -33    23       2.0599386445E-005
#    -33    24       2.0251913316E-004
#    -33    25       1.0758814361E-004
#    -33    26       7.3981155453E-005
#    -33    27       1.2675977493E-004
#    -32   -13       5.3331189205E-006
#    -32   -12       1.3807760443E-004
#    -32   -11       4.9020336001E-005
#    -32   -10       5.2116203123E-005
#    -32    -9       1.4848263238E-004
#    -32    -8       7.9966252551E-006
#    -32    -7       1.1759866361E-004
#    -32    -6       5.0262914381E-005
#    -32    -5       5.0571454135E-005
#    -32    -4       1.6337702621E-004
#    -32    -3       5.8222287084E-006
#    -32    -2       1.6948332914E-004
#    -32    -1       8.1372197130E-005
#    -32     0       7.3090590034E-005
#    -32     1       1.8575315881E-004
#    -32     2       6.4314431942E-006
#    -32     3       1.2536279463E-004
#    -32     4       5.1656612084E-005
#    -32     5       2.0288073018E-005
#    -32     6       3.8417384496E-005
#    -32     7       6.2002458435E-006
#    -32     8       6.0653644022E-005
#    -32     9       4.6273799787E-005
#    -32    10       4.4686664767E-005
#    -32    11       8.6340161535E-005
#    -32    12       1.0164237810E-005
#    -32    13       7.4279299715E-005
#    -32    14       1.3982326244E-005
#    -32    15       9.6686412252E-006
#    -32    16       7.2230613883E-005
#    -32    17       1.6725522926E-005
#    -32    18       9.3457167527E-005
#    -32    19       3.7042686717E-005
#    -32    20       2.9829969298E-005
#    -32    21       9.4815504435E-005
#    -32    22       7.9393525956E-006
#    -32    23       5.2538241661E-004
#    -32    24       6.2913022784E-005
#    -32    25       8.5437925250E-005
#    -32    26       2.9195108634E-004
#    -32    27       1.7649245054E-005
#    -32    28       9.2781341823E-005
#    -31   -14       4.5508676626E-005
#    -31   -13       5.7278158242E-006
#    -31   -12       4.4626755697E-005
#    -31   -11       3.7673775205E-005
#    -31   -10       6.5967362340E-006
#    -31    -9       5.1218676302E-005
#    -31    -8       1.0844051192E-005
#    -31    -7       5.8744350611E-005
#    -31    -6       5.5889410294E-005
#    -31    -5       8.5251218489E-006
#    -31    -4       8.2289589851E-005
#    -31    -3       2.1861736543E-005
#    -31    -2       7.7026301977E-005
#    -31    -1       3.9273815865E-005
#    -31     0       3.7553374267E-005
#    -31     1       3.2691445690E-005
#    -31     2       8.8153887336E-006
#    -31     3       2.3419478363E-005
#    -31     4       8.5044902704E-006
#    -31     5       2.5730242817E-006
#    -31     6       1.2634635639E-005
#    -31     7       9.7506672265E-007
#    -31     8       1.1201808831E-005
#    -31     9       1.5421335145E-005
#    -31    10       2.8519837810E-006
#    -31    11       3.2311674981E-005
#    -31    12       4.1850523258E-006
#    -31    13       1.8961048025E-005
#    -31    14       8.8363721540E-006
#    -31    15       1.0567949337E-005
#    -31    16       1.0019647852E-005
#    -31    17       2.0599660923E-005
#    -31    18       1.7505917439E-006
#    -31    19       1.2560975854E-005
#    -31    20       1.9385201018E-005
#    -31    21       5.4980645390E-005
#    -31    22       1.1125384473E-005
#    -31    23       6.4103228117E-005
#    -31    24       1.7641449833E-004
#    -31    25       6.6213673548E-006
#    -31    26       1.5964812699E-004
#    -31    27       2.8059250762E-005
#    -31    28       9.8990182009E-005
#    -30   -15       1.0716220545E-004
#    -30   -14       2.8714864059E-005
#    -30   -13       1.1052954254E-004
#    -30   -12       1.8577060935E-004
#    -30   -11       4.6489003287E-005
#    -30   -10       3.0120496106E-004
#    -30    -9       5.6948589888E-005
#    -30    -8       1.0819969037E-004
#    -30    -7       1.6962600764E-004
#    -30    -6       2.9005452289E-005
#    -30    -5       1.1288582984E-004
#    -30    -4       7.4612737529E-005
#    -30    -3       1.7923493053E-004
#    -30    -2       1.6634654997E-004
#    -30    -1       1.7178635308E-005
#    -30     0       7.1838127603E-004
#    -30     1       1.5833252300E-005
#    -30     2       9.3751390109E-005
#    -30     3       5.4285296320E-005
#    -30     4       9.7278864011E-006
#    -30     5       9.3412808621E-004
#    -30     6       1.7493735921E-005
#    -30     7       8.0081082362E-005
#    -30     8       4.5889005277E-005
#    -30     9       3.4169938470E-005
#    -30    10       9.4830526684E-004
