Diffraction intensities for potential:pot10001.in                             
#    -42    22       2.2303636868E-005
#    -42    23       1.8936262541E-005
#    -42    24       2.0374609057E-005
#    -42    25       1.1475492690E-005
#    -42    26       9.4423823900E-006
#    -42    27       6.4175418764E-006
#    -42    28       3.8281581173E-006
#    -42    29       1.9430801739E-006
#    -42    30       3.2713751538E-005
#    -42    31       1.1552928545E-006
#    -42    32       1.9818999010E-006
#    -42    33       3.8334709237E-006
#    -42    34       6.1740464123E-006
#    -42    35       7.8719036266E-006
#    -42    36       6.8559401301E-006
#    -42    37       7.9119694831E-006
#    -42    38       8.3215959880E-006
#    -42    39       8.3075238121E-006
#    -42    40       9.4820313976E-006
#    -42    41       1.0527941647E-005
#    -42    42       4.4981586585E-006
#    -42    43       6.3120988249E-006
#    -42    44       4.8407744205E-006
#    -42    45       3.2167383823E-006
#    -42    46       2.7319773580E-006
#    -42    47       3.3099055644E-006
#    -42    48       3.0293639717E-006
#    -42    49       2.2898698105E-006
#    -42    50       1.6094830339E-006
#    -42    51       1.1289234260E-006
#    -42    52       2.8471667977E-007
#    -42    53       2.9308251736E-007
#    -41     8       9.7248059768E-007
#    -41     9       6.0903416093E-007
#    -41    10       8.8594636692E-007
#    -41    11       6.0837505104E-006
#    -41    12       3.8388397690E-006
#    -41    13       1.5140516599E-006
#    -41    14       5.0942668145E-006
#    -41    15       8.5457191578E-006
#    -41    16       1.5987942390E-005
#    -41    17       1.7542977085E-005
#    -41    18       2.0237815100E-005
#    -41    19       2.0639204545E-005
#    -41    20       1.5880527888E-005
#    -41    21       1.1956079219E-005
#    -41    22       1.1066109955E-005
#    -41    23       8.2239740473E-006
#    -41    24       6.3885901365E-006
#    -41    25       3.8330612089E-006
#    -41    26       2.9497542600E-006
#    -41    27       3.4998600355E-006
#    -41    28       3.2146560433E-006
#    -41    29       3.8303198854E-006
#    -41    30       4.4888011723E-006
#    -41    31       5.2605554523E-006
#    -41    32       6.9071466723E-006
#    -41    33       9.7562537214E-006
#    -41    34       1.1947934406E-005
#    -41    35       1.3215628750E-005
#    -41    36       1.1920868349E-005
#    -41    37       9.9369521988E-006
#    -41    38       9.6396404774E-006
#    -41    39       1.1691441520E-005
#    -41    40       1.2574096107E-005
#    -41    41       1.3205152305E-005
#    -41    42       1.0528055581E-005
#    -41    43       6.5562664686E-006
#    -41    44       4.0347322789E-006
#    -41    45       3.4427535922E-006
#    -41    46       2.7375942330E-006
#    -41    47       4.0025595252E-006
#    -41    48       2.8920676591E-006
#    -41    49       2.6877182644E-006
#    -41    50       1.7879239131E-006
#    -41    51       9.9678682080E-007
#    -41    52       4.3667454770E-007
#    -41    53       2.9212913473E-007
#    -40     7       5.9702394355E-007
#    -40     8       1.0960540311E-006
#    -40     9       1.5193696377E-007
#    -40    10       1.0264591680E-006
#    -40    11       4.8571694198E-006
#    -40    12       3.5843496469E-006
#    -40    13       2.1298147427E-006
#    -40    14       3.8278046459E-006
#    -40    15       5.5725410605E-006
#    -40    16       1.0535341414E-005
#    -40    17       9.0691595958E-006
#    -40    18       9.3923497190E-006
#    -40    19       8.2436642143E-006
#    -40    20       4.8901729894E-006
#    -40    21       3.7817789989E-006
#    -40    22       2.6309464920E-006
#    -40    23       8.5172899238E-007
#    -40    24       3.8696521438E-007
#    -40    25       1.1761807187E-006
#    -40    26       4.8699595679E-006
#    -40    27       8.4254404546E-006
#    -40    28       1.1097285636E-005
#    -40    29       1.1198660150E-005
#    -40    30       1.1038102804E-005
#    -40    31       1.1858765099E-005
#    -40    32       1.4860478826E-005
#    -40    33       1.7207749098E-005
#    -40    34       1.7867359916E-005
#    -40    35       1.5327607902E-005
#    -40    36       1.1992029968E-005
#    -40    37       8.9127358427E-006
#    -40    38       9.6545584524E-006
#    -40    39       1.1494969552E-005
#    -40    40       1.3135678622E-005
#    -40    41       1.2573175793E-005
#    -40    42       9.4827850866E-006
#    -40    43       6.4255092608E-006
#    -40    44       3.8421391612E-006
#    -40    45       2.7631200570E-006
#    -40    46       3.4292890983E-006
#    -40    47       3.7354557638E-006
#    -40    48       3.3922165157E-006
#    -40    49       3.0000541108E-006
#    -40    50       1.6774615788E-006
#    -40    51       6.3440511790E-007
#    -40    52       4.8621284420E-007
#    -40    53       6.4213394751E-007
#    -40    54       1.2357234792E-007
#    -39     6       1.4222273684E-006
#    -39     7       3.1324884725E-006
#    -39     8       1.0733602577E-006
#    -39     9       2.8504722229E-007
#    -39    10       1.9555706690E-006
#    -39    11       3.6625122265E-006
#    -39    12       4.8324697601E-006
#    -39    13       5.3517275310E-007
#    -39    14       1.0107532522E-006
#    -39    15       3.5164932268E-006
#    -39    16       4.5737968704E-006
#    -39    17       7.2907716603E-006
#    -39    18       7.4548239795E-006
#    -39    19       6.8718468568E-006
#    -39    20       6.4619418712E-006
#    -39    21       5.6495932034E-006
#    -39    22       2.3467010057E-006
#    -39    23       1.4541693415E-006
#    -39    24       3.6101527788E-006
#    -39    25       9.3176979949E-006
#    -39    26       1.6406480663E-005
#    -39    27       2.1584698134E-005
#    -39    28       2.0004252665E-005
#    -39    29       1.6643352501E-005
#    -39    30       1.6931610926E-005
#    -39    31       1.7336497780E-005
#    -39    32       1.8939903870E-005
#    -39    33       1.9937622947E-005
#    -39    34       1.6971603962E-005
#    -39    35       1.1264726848E-005
#    -39    36       6.4462438112E-006
#    -39    37       5.2719858631E-006
#    -39    38       7.6467701991E-006
#    -39    39       9.5245586684E-006
#    -39    40       1.1494722199E-005
#    -39    41       1.1690598185E-005
#    -39    42       8.3069591758E-006
#    -39    43       5.2264135942E-006
#    -39    44       3.4071923422E-006
#    -39    45       2.9664741965E-006
#    -39    46       3.5953380220E-006
#    -39    47       4.3691537742E-006
#    -39    48       4.9642500272E-006
#    -39    49       2.7776333499E-006
#    -39    50       1.4731312470E-006
#    -39    51       1.0346103305E-006
#    -39    52       5.0565885214E-007
#    -39    53       1.9796799817E-007
#    -39    54       2.7152829854E-007
#    -38     5       5.6813552462E-006
#    -38     6       7.4121571217E-006
#    -38     7       3.7905516375E-006
#    -38     8       8.1093267707E-007
#    -38     9       2.1272170181E-007
#    -38    10       1.3817644680E-006
#    -38    11       2.4716172299E-006
#    -38    12       4.4007358224E-006
#    -38    13       5.9520161798E-006
#    -38    14       5.6147334692E-006
#    -38    15       7.0587985794E-006
#    -38    16       1.4579258590E-005
#    -38    17       2.1800690344E-005
#    -38    18       2.7603091671E-005
#    -38    19       2.5484737432E-005
#    -38    20       2.0437437952E-005
#    -38    21       1.5942046124E-005
#    -38    22       1.2446192364E-005
#    -38    23       1.2147755802E-005
#    -38    24       1.7275120432E-005
#    -38    25       2.5631887242E-005
#    -38    26       3.2043884694E-005
#    -38    27       3.0044816538E-005
#    -38    28       2.4598911309E-005
#    -38    29       2.0134625404E-005
#    -38    30       1.8755751790E-005
#    -38    31       1.9002410593E-005
#    -38    32       1.8771572452E-005
#    -38    33       1.5108783465E-005
#    -38    34       9.2634091654E-006
#    -38    35       3.7454028463E-006
#    -38    36       2.0053411674E-006
#    -38    37       2.1915271468E-006
#    -38    38       4.1616121129E-006
#    -38    39       7.6466436375E-006
#    -38    40       9.6534597941E-006
#    -38    41       9.6382576075E-006
#    -38    42       8.3196653248E-006
#    -38    43       5.2226020711E-006
#    -38    44       2.9316445163E-006
#    -38    45       3.6070681281E-006
#    -38    46       4.8316818869E-006
#    -38    47       4.9567064733E-006
#    -38    48       3.9385101727E-006
#    -38    49       3.2900599424E-006
#    -38    50       1.6447026244E-006
#    -38    51       8.5288051670E-007
#    -38    52       3.8469745102E-007
#    -38    53       5.3659196811E-007
#    -38    54       2.4524782792E-007
#    -37     4       1.8748174900E-006
#    -37     5       6.1109736487E-006
#    -37     6       5.1935560469E-006
#    -37     7       4.5710008410E-006
#    -37     8       2.1419954421E-006
#    -37     9       5.0699160897E-008
#    -37    10       4.4556221939E-006
#    -37    11       1.0506676339E-005
#    -37    12       1.7928624711E-005
#    -37    13       2.3570162250E-005
#    -37    14       2.2970350062E-005
#    -37    15       3.0196238396E-005
#    -37    16       4.1029307531E-005
#    -37    17       4.9928922366E-005
#    -37    18       6.2071926026E-005
#    -37    19       4.9918614564E-005
#    -37    20       4.3307853726E-005
#    -37    21       3.1956549792E-005
#    -37    22       2.4078754329E-005
#    -37    23       2.8485361716E-005
#    -37    24       3.8361460318E-005
#    -37    25       4.1959904737E-005
#    -37    26       4.0451930384E-005
#    -37    27       3.0668073359E-005
#    -37    28       2.1783295086E-005
#    -37    29       1.7507605146E-005
#    -37    30       1.7400736174E-005
#    -37    31       1.6110919033E-005
#    -37    32       1.2864269121E-005
#    -37    33       6.5194719239E-006
#    -37    34       2.1023852125E-006
#    -37    35       3.0358834826E-007
#    -37    36       4.7680948578E-008
#    -37    37       3.7128633681E-007
#    -37    38       2.1916749048E-006
#    -37    39       5.2718537991E-006
#    -37    40       8.9109969053E-006
#    -37    41       9.9340257821E-006
#    -37    42       7.9103011566E-006
#    -37    43       4.3809469765E-006
#    -37    44       3.4174256123E-006
#    -37    45       4.2615497230E-006
#    -37    46       5.2197734584E-006
#    -37    47       6.2297275067E-006
#    -37    48       4.5987496486E-006
#    -37    49       4.1686359839E-006
#    -37    50       1.5580699426E-006
#    -37    51       8.4833389576E-007
#    -37    52       5.3428581541E-007
#    -37    53       6.1851745659E-007
#    -37    54       3.4194670211E-007
