 Diffraction intensities for potential:gv5x5_30D10002.in                       
#    -12    -4       2.8899386253E-005
#    -12    -3       4.7421841915E-004
#    -12    -2       8.7701072149E-004
#    -12    -1       1.1238606390E-003
#    -12     0       5.1950674498E-004
#    -12     1       4.9802980019E-004
#    -12     2       2.8592202236E-004
#    -12     3       2.1632629950E-004
#    -12     4       6.3654762179E-005
#    -12     5       1.9645386528E-004
#    -12     6       1.6992299644E-005
#    -12     7       1.9788959561E-004
#    -12     8       1.5063303076E-004
#    -12     9       5.1677544890E-004
#    -12    10       2.1983651717E-005
#    -12    11       3.6741927313E-005
#    -12    12       1.1134181797E-003
#    -12    13       4.9336112050E-004
#    -12    14       6.4763418206E-004
#    -12    15       1.3052522846E-003
#    -12    16       1.4045560682E-004
#    -12    17       3.1409267213E-004
#    -12    18       2.4908934720E-004
#    -12    19       6.0351654473E-004
#    -12    20       1.3794484512E-003
#    -12    21       1.3032811474E-004
#    -12    22       1.4805816302E-005
#    -12    23       3.5013291240E-004
#    -12    24       6.9900839596E-005
#    -12    25       1.4475716781E-004
#    -12    26       2.6595098680E-006
#    -12    27       5.5534730965E-005
#    -11   -16       8.4401172980E-005
#    -11   -15       4.3053521623E-005
#    -11   -14       1.4648704322E-004
#    -11   -13       4.4401170319E-005
#    -11   -12       5.9701379406E-005
#    -11   -11       1.2238470764E-004
#    -11   -10       4.4853918650E-005
#    -11    -9       4.8749900802E-005
#    -11    -8       7.5046576699E-004
#    -11    -7       2.6523595303E-004
#    -11    -6       6.7356836628E-004
#    -11    -5       9.1415308680E-005
#    -11    -4       5.7725009847E-004
#    -11    -3       1.5664569537E-004
#    -11    -2       6.3072501881E-004
#    -11    -1       4.7596980823E-004
#    -11     0       1.5207459381E-004
#    -11     1       3.4126885830E-005
#    -11     2       5.8375296769E-004
#    -11     3       1.8499435757E-004
#    -11     4       2.7699278162E-004
#    -11     5       4.3076143341E-004
#    -11     6       1.4784956020E-004
#    -11     7       3.2407900219E-004
#    -11     8       2.3848080755E-005
#    -11     9       3.9572888586E-004
#    -11    10       9.6020355819E-005
#    -11    11       1.2811895110E-004
#    -11    12       4.6031422572E-004
#    -11    13       3.4187603069E-004
#    -11    14       3.0939506872E-004
