 Diffraction intensities for potential:ga5x5_06D10002.in                       
#    -15    15       2.0584480552E-002
#    -15    16       9.5688036152E-005
#    -15    17       4.8679522464E-005
#    -15    18       1.6435803394E-004
#    -15    19       1.5245602324E-005
#    -15    20       5.0169876179E-003
#    -15    21       7.1694089903E-005
#    -15    22       1.7009239968E-005
#    -15    23       1.2044586984E-004
#    -15    24       1.0620453949E-004
#    -15    25       1.5738542033E-004
#    -15    26       2.6793893587E-005
#    -15    27       3.9513509243E-005
#    -15    28       4.0365497081E-005
#    -14   -14       1.0811428134E-005
#    -14   -13       1.4471875655E-004
#    -14   -12       5.3654888454E-005
#    -14   -11       1.1732488671E-004
#    -14   -10       3.4529508804E-005
#    -14    -9       1.9906677577E-005
#    -14    -8       5.6205433271E-005
#    -14    -7       1.2736698673E-004
#    -14    -6       2.2577344429E-004
#    -14    -5       1.2806320149E-004
#    -14    -4       2.9721709840E-004
#    -14    -3       9.0446893870E-006
#    -14    -2       7.8554949447E-005
#    -14    -1       1.6698894679E-005
#    -14     0       2.4418569808E-004
#    -14     1       8.8039631250E-005
#    -14     2       3.2595502682E-004
#    -14     3       6.5211656688E-005
#    -14     4       1.0904805346E-004
#    -14     5       1.2741593456E-004
#    -14     6       1.5548345963E-004
#    -14     7       2.7460842306E-005
#    -14     8       3.6722509323E-005
#    -14     9       9.8724123111E-005
#    -14    10       2.6120141098E-007
#    -14    11       6.2916487198E-005
#    -14    12       1.5723329479E-004
#    -14    13       1.4376775745E-004
#    -14    14       1.2805080649E-004
#    -14    15       6.0492707365E-004
#    -14    16       8.3935113534E-005
#    -14    17       1.0440030330E-004
#    -14    18       7.2172489841E-008
#    -14    19       2.9104396132E-004
#    -14    20       1.0901894898E-004
#    -14    21       1.7969876550E-005
#    -14    22       4.7743950748E-005
#    -14    23       5.0533539492E-005
#    -14    24       1.0739848027E-004
#    -14    25       2.5960376245E-006
#    -14    26       2.8996419526E-005
#    -14    27       9.3058041066E-005
#    -14    28       4.7074880198E-005
#    -13   -15       7.6399735194E-005
#    -13   -14       6.1410666559E-005
#    -13   -13       2.8642276052E-005
#    -13   -12       6.8728443858E-005
#    -13   -11       1.4511882078E-004
#    -13   -10       1.7437094720E-004
#    -13    -9       1.2660042489E-004
#    -13    -8       7.1710257867E-005
#    -13    -7       2.6065349295E-005
#    -13    -6       2.3385031937E-004
#    -13    -5       1.3603856859E-005
#    -13    -4       5.1778299245E-004
#    -13    -3       7.9706531680E-005
#    -13    -2       2.9617246609E-004
#    -13    -1       1.8168448048E-004
#    -13     0       1.4928545109E-004
#    -13     1       4.0895788316E-004
#    -13     2       3.5184869670E-005
#    -13     3       1.3692048981E-005
#    -13     4       4.4590207451E-005
#    -13     5       1.3375805259E-004
#    -13     6       2.2200857971E-004
#    -13     7       3.6229063966E-006
#    -13     8       3.0352036001E-004
#    -13     9       1.0792908590E-004
#    -13    10       4.6189469134E-004
#    -13    11       3.9549058896E-004
#    -13    12       4.9292132152E-005
#    -13    13       1.1203773042E-005
#    -13    14       2.1947628427E-005
#    -13    15       4.6434206988E-004
#    -13    16       2.1122432842E-004
#    -13    17       1.3049419780E-005
#    -13    18       1.0227660687E-004
#    -13    19       8.1289770949E-005
#    -13    20       2.6903088574E-004
#    -13    21       3.8424594581E-005
#    -13    22       2.8819861496E-005
#    -13    23       1.6797446885E-004
#    -13    24       6.0156042071E-005
#    -13    25       1.1324083855E-004
#    -13    26       8.8769830902E-006
#    -13    27       1.1895887496E-005
#    -13    28       8.0555189810E-005
#    -12   -15       6.7669352553E-005
#    -12   -14       3.0280615112E-005
#    -12   -13       3.8479061102E-005
#    -12   -12       1.0662158742E-004
#    -12   -11       1.9072735258E-004
#    -12   -10       1.9783178015E-004
#    -12    -9       3.1175829689E-005
#    -12    -8       1.1709281619E-004
#    -12    -7       2.2163452376E-005
#    -12    -6       2.9229634749E-004
#    -12    -5       1.2364151914E-006
#    -12    -4       2.9065620817E-004
#    -12    -3       2.1436908368E-005
#    -12    -2       8.7901546993E-005
#    -12    -1       7.6485632894E-005
#    -12     0       1.6604582185E-004
#    -12     1       3.6463740277E-004
#    -12     2       2.7608852648E-004
#    -12     3       6.8232165171E-006
#    -12     4       1.8288506052E-004
#    -12     5       1.2462730014E-004
#    -12     6       3.1490099792E-005
#    -12     7       2.1310477865E-005
#    -12     8       7.1180353932E-005
#    -12     9       1.5522860394E-004
#    -12    10       4.7021632471E-004
#    -12    11       4.6141542030E-004
#    -12    12       1.7817794633E-004
#    -12    13       4.9325684183E-005
#    -12    14       4.7760378597E-004
#    -12    15       6.6377524141E-004
#    -12    16       6.6765965191E-006
#    -12    17       1.7811454194E-004
#    -12    18       3.0642910017E-005
#    -12    19       1.5135232301E-004
#    -12    20       2.5260577562E-004
#    -12    21       7.6879986909E-007
#    -12    22       5.2390800856E-006
#    -12    23       4.0475185237E-005
#    -12    24       1.6889920583E-004
#    -12    25       5.4285776440E-005
#    -12    26       3.2086836436E-005
#    -12    27       1.8790479277E-005
#    -11   -16       8.7785621357E-005
#    -11   -15       1.0605046807E-005
#    -11   -14       5.0399531189E-005
#    -11   -13       2.0960749938E-005
#    -11   -12       7.5135450020E-006
#    -11   -11       1.3268780253E-004
#    -11   -10       1.7849021599E-004
#    -11    -9       1.4417216332E-005
#    -11    -8       6.7499032198E-005
#    -11    -7       2.2288339995E-005
#    -11    -6       1.1692432329E-004
#    -11    -5       1.8604942179E-004
#    -11    -4       1.9559410763E-004
#    -11    -3       2.8478309513E-004
#    -11    -2       4.6809785586E-005
#    -11    -1       6.2761810939E-005
#    -11     0       1.4782033166E-004
#    -11     1       2.6750827732E-004
#    -11     2       1.6414206974E-004
#    -11     3       3.6772846846E-005
#    -11     4       1.2384408993E-004
#    -11     5       2.0303697464E-004
#    -11     6       1.4914728354E-004
#    -11     7       1.0866088092E-004
#    -11     8       1.2089667220E-004
#    -11     9       1.1196437474E-004
#    -11    10       2.3098677044E-004
#    -11    11       9.8459412358E-005
#    -11    12       1.6636649511E-005
#    -11    13       2.4913303033E-005
#    -11    14       2.2734808894E-004
#    -11    15       2.1544654708E-004
#    -11    16       1.4881908401E-004
#    -11    17       2.4061208757E-007
#    -11    18       1.4383340761E-005
#    -11    19       8.5343572502E-005
#    -11    20       1.8374625171E-004
#    -11    21       4.9075693024E-005
#    -11    22       8.0035813882E-006
#    -11    23       1.5103474698E-004
#    -11    24       7.0326755336E-005
#    -11    25       6.0309011482E-005
#    -11    26       2.1725742626E-006
#    -11    27       1.1843454894E-005
#    -10   -17       4.1824023538E-005
#    -10   -16       5.9359200634E-006
#    -10   -15       6.3109990391E-004
#    -10   -14       4.2897458313E-006
#    -10   -13       4.4344305824E-005
#    -10   -12       4.0776073427E-005
#    -10   -11       3.7918861482E-005
#    -10   -10       5.2823930978E-003
#    -10    -9       2.5642019474E-006
#    -10    -8       2.4811915534E-004
#    -10    -7       1.5175304511E-006
#    -10    -6       5.1694923182E-005
#    -10    -5       1.4578986840E-002
#    -10    -4       2.8163154118E-005
#    -10    -3       1.8809874498E-004
#    -10    -2       4.6723242154E-005
#    -10    -1       2.1169066041E-005
#    -10     0       1.3641488073E-002
#    -10     1       2.5720055891E-004
#    -10     2       1.8070710356E-005
#    -10     3       1.1627225606E-004
#    -10     4       4.3282330752E-005
#    -10     5       4.0302565418E-003
#    -10     6       4.2175487807E-005
#    -10     7       7.3268998063E-005
#    -10     8       1.7675147591E-004
#    -10     9       6.6501775660E-005
#    -10    10       3.8199076179E-002
#    -10    11       1.1856582138E-005
#    -10    12       4.1679355548E-004
#    -10    13       3.4845195233E-005
#    -10    14       7.4282384694E-005
#    -10    15       1.2105427455E-002
#    -10    16       1.5986534428E-005
#    -10    17       1.8222084241E-004
#    -10    18       1.4248049869E-006
#    -10    19       9.7763121722E-005
#    -10    20       4.4186876284E-003
#    -10    21       2.5224801189E-005
#    -10    22       2.5412126457E-005
#    -10    23       1.3765628366E-004
#    -10    24       1.6289617782E-004
#    -10    25       6.0731158794E-004
#    -10    26       8.8177858692E-005
#    -10    27       2.4141526172E-005
#     -9   -18       3.0471589649E-006
#     -9   -17       1.4087600616E-005
#     -9   -16       2.8045740088E-005
#     -9   -15       2.4289096219E-005
#     -9   -14       1.1381605993E-004
#     -9   -13       2.5017641690E-005
#     -9   -12       1.0447738629E-004
#     -9   -11       4.9375742234E-005
#     -9   -10       1.8143535178E-005
#     -9    -9       5.1742465173E-005
#     -9    -8       2.2425826694E-005
#     -9    -7       9.2915792187E-005
#     -9    -6       6.0420010025E-006
#     -9    -5       7.1396251068E-005
#     -9    -4       3.4904560734E-005
#     -9    -3       1.5234259774E-004
#     -9    -2       5.0902593017E-005
#     -9    -1       6.3324106361E-005
#     -9     0       1.2432218383E-004
#     -9     1       1.8925235903E-004
#     -9     2       3.4188537937E-005
#     -9     3       1.1819788502E-004
#     -9     4       1.6867786947E-004
#     -9     5       1.3008202685E-004
#     -9     6       7.3110529010E-005
#     -9     7       1.6300767982E-004
#     -9     8       4.1621190641E-005
#     -9     9       2.1458028117E-005
#     -9    10       2.8727901795E-004
#     -9    11       1.7207782270E-006
#     -9    12       2.1308060682E-004
#     -9    13       2.9709023143E-005
#     -9    14       9.5472936087E-005
#     -9    15       7.0177744674E-005
#     -9    16       6.9860816318E-005
#     -9    17       3.7169177364E-005
#     -9    18       4.6119437090E-005
#     -9    19       2.6331892486E-004
#     -9    20       8.7325482776E-005
#     -9    21       3.6306057963E-006
#     -9    22       2.9630820829E-005
#     -9    23       7.4675777953E-005
#     -9    24       1.0059097505E-004
#     -9    25       1.2002006486E-005
#     -9    26       2.6302541957E-005
#     -9    27       2.4303106004E-005
#     -8   -19       9.2513039107E-006
#     -8   -18       1.9768069174E-007
#     -8   -17       1.7733696017E-005
#     -8   -16       4.6049677035E-005
#     -8   -15       1.0622858868E-004
#     -8   -14       5.0020973312E-005
#     -8   -13       5.4978338111E-006
#     -8   -12       4.5881187847E-005
#     -8   -11       3.4200309050E-005
#     -8   -10       1.8706735008E-004
#     -8    -9       2.3930136285E-005
#     -8    -8       1.0819258617E-004
#     -8    -7       3.4687463254E-005
#     -8    -6       1.0722512562E-005
#     -8    -5       1.9323294218E-005
#     -8    -4       5.4679460124E-005
#     -8    -3       7.0436059575E-005
#     -8    -2       3.5552685283E-006
#     -8    -1       9.1653847572E-005
#     -8     0       3.6186022059E-004
#     -8     1       1.5627377857E-004
#     -8     2       5.1250236190E-005
#     -8     3       5.0633388928E-006
#     -8     4       1.6163245020E-004
#     -8     5       2.0042055611E-005
#     -8     6       2.0235492167E-004
#     -8     7       1.2328916853E-004
#     -8     8       1.6955568281E-004
#     -8     9       1.8610266748E-004
#     -8    10       1.3837669652E-005
#     -8    11       6.2307379695E-005
#     -8    12       1.4009166986E-004
#     -8    13       5.0938297584E-005
#     -8    14       3.9415800018E-005
#     -8    15       3.0078530524E-004
#     -8    16       5.4583485672E-005
#     -8    17       1.7007488303E-004
#     -8    18       1.5501976254E-006
#     -8    19       4.0156261733E-005
#     -8    20       3.3428722705E-004
#     -8    21       1.0212966175E-005
#     -8    22       1.3771816361E-004
#     -8    23       8.5828291023E-005
#     -8    24       3.2651365841E-005
#     -8    25       4.6638709737E-005
#     -8    26       1.5094359805E-006
#     -8    27       1.8583853021E-005
#     -7   -20       2.2928828922E-005
#     -7   -19       1.8327657444E-006
#     -7   -18       1.6030808380E-005
#     -7   -17       8.9087541188E-005
#     -7   -16       2.1710017605E-005
#     -7   -15       1.7818223486E-004
#     -7   -14       1.3324266323E-005
#     -7   -13       7.0889303577E-005
#     -7   -12       5.5763133686E-005
#     -7   -11       1.1558739176E-004
#     -7   -10       5.2444203108E-005
#     -7    -9       7.1405036082E-006
#     -7    -8       3.4671253812E-005
#     -7    -7       1.2693372394E-004
#     -7    -6       5.7685061666E-006
#     -7    -5       6.7103312505E-005
#     -7    -4       8.4363566855E-005
#     -7    -3       3.1376768421E-005
#     -7    -2       1.3576007026E-004
#     -7    -1       8.2302159733E-005
#     -7     0       2.4234599759E-004
#     -7     1       6.2622109851E-005
#     -7     2       2.7685349122E-006
#     -7     3       8.7244020652E-005
#     -7     4       1.2379865837E-004
#     -7     5       8.6476194007E-005
#     -7     6       1.2127267444E-004
#     -7     7       8.5395254780E-005
#     -7     8       9.0417262246E-006
#     -7     9       3.7862962325E-005
#     -7    10       8.4010048321E-006
#     -7    11       1.8297314712E-004
#     -7    12       5.5055208613E-005
#     -7    13       7.0637584211E-005
#     -7    14       4.6319940479E-005
#     -7    15       3.6457869489E-004
#     -7    16       2.1374636885E-005
#     -7    17       1.0977059669E-004
#     -7    18       1.1021700715E-004
#     -7    19       6.3388415215E-005
#     -7    20       2.5605227963E-004
#     -7    21       3.8256929638E-005
#     -7    22       1.1412870743E-004
#     -7    23       2.1675268911E-005
#     -7    24       1.6048993631E-004
#     -7    25       1.7593603080E-005
#     -7    26       2.2351939511E-004
#     -7    27       3.9514503316E-005
#     -6   -20       2.3459510143E-006
#     -6   -19       8.0104272743E-005
#     -6   -18       2.2897600916E-005
#     -6   -17       2.6396959627E-006
#     -6   -16       9.7560333151E-005
#     -6   -15       5.8644200430E-005
#     -6   -14       2.6713142017E-005
#     -6   -13       1.6893584768E-005
#     -6   -12       6.2287852997E-005
#     -6   -11       6.9322305924E-005
#     -6   -10       3.3756384665E-005
#     -6    -9       3.2167883828E-006
#     -6    -8       2.0769107965E-005
#     -6    -7       9.2910430381E-005
#     -6    -6       5.7799900422E-005
#     -6    -5       5.1911511186E-005
#     -6    -4       5.2189424498E-005
#     -6    -3       4.6156230684E-005
#     -6    -2       1.8107297425E-005
#     -6    -1       6.0613703235E-005
#     -6     0       1.5475022470E-004
#     -6     1       2.2885204308E-005
#     -6     2       3.7465396702E-006
#     -6     3       4.1208642454E-005
#     -6     4       6.5420915631E-005
#     -6     5       1.3743697329E-004
#     -6     6       9.1924156685E-005
#     -6     7       4.5676915297E-004
#     -6     8       6.1478702798E-005
#     -6     9       8.1647189990E-005
#     -6    10       3.7291189928E-005
#     -6    11       7.2664473837E-005
#     -6    12       3.5969486857E-005
#     -6    13       8.5513771235E-005
#     -6    14       1.1501175549E-004
#     -6    15       8.7231988980E-005
#     -6    16       2.2647187844E-004
#     -6    17       5.5691310789E-005
#     -6    18       7.7988629508E-005
#     -6    19       9.5306055742E-005
#     -6    20       4.1877745260E-005
#     -6    21       4.5882766058E-006
#     -6    22       3.0377639089E-005
#     -6    23       1.7764238264E-004
