 Diffraction intensities for potential:restest_32_15010001.in                  
#    -32   -12       2.0844449969E-005
#    -32   -11       2.2099932279E-005
#    -32   -10       1.9332036451E-005
#    -32    -9       2.1808854045E-005
#    -32    -8       2.1269184253E-005
#    -32    -7       1.9008603098E-005
#    -32    -6       1.6444334334E-005
#    -32    -5       1.9347508987E-005
#    -32    -4       2.2324178085E-005
#    -32    -3       2.3774559078E-005
#    -32    -2       2.5172216667E-005
#    -32    -1       2.2821798638E-005
#    -32     0       2.7027877967E-005
#    -32     1       2.6043544365E-005
#    -32     2       2.2763496558E-005
#    -32     3       2.2193655008E-005
#    -32     4       1.4432808642E-005
#    -32     5       1.0826887462E-005
#    -32     6       7.5858584654E-006
#    -32     7       7.0609677006E-006
#    -32     8       8.0281656805E-006
#    -32     9       6.0466103960E-006
#    -32    10       6.2455629086E-006
#    -32    11       7.1549843611E-006
#    -32    12       6.6473769944E-006
#    -32    13       8.6829341293E-006
#    -32    14       1.1698762094E-005
#    -32    15       1.2723191571E-005
#    -32    16       1.5722152486E-005
#    -32    17       1.2794380618E-005
#    -32    18       3.2083041157E-005
#    -32    19       9.1441202929E-006
#    -32    20       1.0400046361E-005
#    -32    21       1.3814741538E-005
#    -32    22       3.3906959271E-005
#    -32    23       5.4611955221E-005
#    -32    24       4.8571628187E-005
#    -32    25       5.3058180068E-005
#    -32    26       5.0155173864E-005
#    -32    27       4.9585357175E-005
#    -32    28       7.7521475960E-005
#    -31   -14       1.8873636653E-005
#    -31   -13       1.1896705201E-005
#    -31   -12       2.1812322856E-005
#    -31   -11       1.9630155000E-005
#    -31   -10       2.0484716365E-005
#    -31    -9       1.2365088100E-005
#    -31    -8       1.7296783596E-005
#    -31    -7       2.0590935598E-005
#    -31    -6       1.6246000445E-005
#    -31    -5       2.3204230063E-005
#    -31    -4       2.0626511906E-005
#    -31    -3       2.6794415867E-005
#    -31    -2       3.1603610661E-005
#    -31    -1       2.6051856619E-005
#    -31     0       2.5693211306E-005
#    -31     1       2.0509366808E-005
#    -31     2       1.9202212755E-005
#    -31     3       1.4627023442E-005
#    -31     4       1.1684933948E-005
#    -31     5       8.2942936804E-006
#    -31     6       9.4475992139E-006
#    -31     7       6.8890021471E-006
#    -31     8       4.7839742363E-006
#    -31     9       2.2257497874E-006
#    -31    10       3.2277820726E-006
#    -31    11       4.8574176738E-006
#    -31    12       3.8269415092E-006
#    -31    13       3.4668098972E-006
#    -31    14       1.7188267727E-006
#    -31    15       3.1209139920E-006
#    -31    16       8.5951718860E-006
#    -31    17       8.2336217588E-006
#    -31    18       4.5978297973E-006
#    -31    19       5.7700446537E-006
#    -31    20       4.4641840371E-006
#    -31    21       2.4152809396E-005
#    -31    22       4.9474393561E-005
#    -31    23       3.7354781864E-005
#    -31    24       5.4297621955E-005
#    -31    25       4.8216297815E-005
#    -31    26       3.5490879953E-005
#    -31    27       9.4700232193E-006
#    -31    28       4.4011504781E-005
#    -30   -15       1.1370416386E-005
#    -30   -14       2.1919008270E-005
#    -30   -13       1.6209858358E-005
#    -30   -12       2.7799760160E-005
#    -30   -11       3.6840010654E-005
#    -30   -10       3.8256388459E-005
#    -30    -9       2.7625904139E-005
#    -30    -8       1.7710647432E-005
#    -30    -7       2.3766398842E-005
#    -30    -6       2.9191115605E-005
#    -30    -5       2.7095452106E-006
#    -30    -4       2.7783986857E-005
#    -30    -3       3.2102610209E-005
#    -30    -2       2.2781851672E-005
#    -30    -1       2.0515492370E-005
#    -30     0       3.8382934982E-004
#    -30     1       1.7212676567E-005
#    -30     2       1.6243345449E-005
#    -30     3       9.3528137633E-006
#    -30     4       5.7550514239E-006
#    -30     5       8.0560906844E-004
#    -30     6       1.1217978745E-005
#    -30     7       1.1765694257E-005
#    -30     8       4.8994524002E-006
#    -30     9       1.2892123877E-006
#    -30    10       9.0599678619E-004
#    -30    11       5.3510117165E-006
#    -30    12       5.7998783568E-006
#    -30    13       7.2143144635E-006
#    -30    14       2.5485255372E-006
#    -30    15       6.1804062232E-004
#    -30    16       3.9489908184E-006
#    -30    17       4.1045341763E-006
#    -30    18       4.9909840413E-006
#    -30    19       3.7688957744E-007
#    -30    20       4.8574397240E-005
#    -30    21       4.9979216664E-005
#    -30    22       5.2043725797E-005
#    -30    23       1.1511363075E-004
#    -30    24       8.8051492112E-005
#    -30    25       5.3669399216E-005
#    -30    26       2.6929923999E-005
#    -30    27       3.2920835054E-005
#    -30    28       2.2839080454E-006
#    -29   -16       1.2648048482E-005
#    -29   -15       1.3532836867E-005
#    -29   -14       2.2688977775E-005
#    -29   -13       4.0654955479E-005
#    -29   -12       2.3888943426E-005
#    -29   -11       2.5541393469E-005
#    -29   -10       2.4624637857E-005
#    -29    -9       3.0242142167E-005
#    -29    -8       3.2957430308E-005
#    -29    -7       2.4679402277E-005
#    -29    -6       2.4534107824E-005
#    -29    -5       1.9216585163E-005
