 Diffraction intensities for potential:_6x6_07D10011.in                        
#    -43    21       7.1486087018E-007
#    -43    22       2.0742536488E-006
#    -43    23       1.3153556506E-007
#    -43    24       7.2142525978E-007
#    -43    25       7.2020211885E-007
#    -43    26       8.5226874035E-008
#    -43    27       5.9944381085E-007
#    -43    28       6.4605497477E-010
#    -43    29       8.9154249854E-008
#    -43    30       7.9933903966E-008
#    -43    31       1.2133759040E-006
#    -43    32       4.0804492121E-007
#    -42   -11       3.1580552848E-007
#    -42   -10       1.4862729298E-008
#    -42    -9       3.0826391022E-006
#    -42    -8       2.3135264101E-007
#    -42    -7       6.0337152764E-008
#    -42    -6       1.6433688539E-005
#    -42    -5       2.8212408928E-007
#    -42    -4       7.1175631762E-007
#    -42    -3       1.1180106544E-005
#    -42    -2       1.3332078343E-007
#    -42    -1       1.0093577670E-006
#    -42     0       9.5732158336E-005
#    -42     1       9.3567967135E-007
#    -42     2       9.1268547582E-007
#    -42     3       1.0192418933E-005
#    -42     4       1.2982497014E-006
#    -42     5       1.1086610096E-006
#    -42     6       3.6457159068E-004
#    -42     7       3.0404409409E-007
#    -42     8       6.7565645920E-007
#    -42     9       2.7883896081E-006
#    -42    10       1.3856556618E-007
#    -42    11       4.4460347053E-007
#    -42    12       6.2461747975E-004
#    -42    13       2.7087723926E-006
#    -42    14       3.9944116172E-006
#    -42    15       4.7450557130E-005
#    -42    16       9.2739201741E-007
#    -42    17       1.8014704185E-007
#    -42    18       3.9652324281E-004
#    -42    19       4.4541713789E-006
#    -42    20       1.4852797466E-006
#    -42    21       2.6166098868E-005
#    -42    22       7.8895610182E-007
#    -42    23       2.0066113388E-008
#    -42    24       7.9544273926E-005
#    -42    25       5.9451223616E-007
#    -42    26       2.5967759072E-007
#    -42    27       1.3301771032E-006
#    -42    28       3.8184610058E-007
#    -42    29       7.5039085749E-008
#    -42    30       2.3578461942E-005
#    -42    31       2.3172895705E-006
#    -42    32       7.4009110705E-007
#    -42    33       3.6167512944E-006
#    -41   -12       8.4510041777E-008
#    -41   -11       3.2747698479E-007
#    -41   -10       1.3552570383E-006
#    -41    -9       1.1216493208E-007
#    -41    -8       1.3559514829E-006
