 Diffraction intensities for potential:3x3unpristine10001.in                   
#    -15    -2       1.2822803835E-003
#    -15    -1       3.7427148115E-005
#    -15     0       1.1929849169E-003
#    -15     1       3.5831005468E-004
#    -15     2       5.9488425026E-004
#    -15     3       1.0227299946E-003
#    -15     4       6.1038100423E-004
#    -15     5       2.4431213243E-004
#    -15     6       9.5750370176E-004
#    -15     7       7.8869314610E-004
#    -15     8       5.3652547050E-004
#    -15     9       1.3425333689E-003
#    -15    10       2.6398203565E-004
#    -15    11       7.1652691531E-005
#    -15    12       1.2708810814E-003
#    -15    13       7.1245258150E-005
#    -15    14       4.5767369100E-004
#    -15    15       2.4880214322E-004
#    -15    16       5.0808520310E-005
#    -14   -12       7.9085757099E-006
#    -14   -11       2.9032707758E-005
#    -14   -10       8.0501719822E-005
#    -14    -9       6.4941501372E-005
#    -14    -8       1.3837843963E-004
#    -14    -7       4.7255718808E-004
#    -14    -6       1.2307838710E-004
#    -14    -5       4.7352922350E-004
#    -14    -4       8.9880047170E-004
#    -14    -3       1.6382167093E-005
#    -14    -2       1.1752406451E-003
#    -14    -1       7.6623140006E-004
#    -14     0       8.4143577371E-004
#    -14     1       4.2605835024E-005
#    -14     2       3.1225852934E-005
#    -14     3       9.6138430095E-006
#    -14     4       1.0186822876E-004
#    -14     5       9.7029364145E-004
#    -14     6       2.3697328899E-005
#    -14     7       3.8487474023E-004
#    -14     8       4.3671910417E-004
#    -14     9       2.3604695908E-004
#    -14    10       4.8789770006E-004
#    -14    11       6.4853526768E-005
#    -14    12       5.3414664372E-004
#    -14    13       1.1818075980E-003
#    -14    14       7.6344956014E-004
#    -14    15       5.9507354917E-005
#    -14    16       3.8677641653E-004
#    -13   -13       3.0921248362E-006
#    -13   -12       1.7989185285E-005
#    -13   -11       6.1020798473E-005
#    -13   -10       8.7925399108E-005
#    -13    -9       3.8845876017E-004
#    -13    -8       2.5595157048E-004
#    -13    -7       4.5834225131E-004
#    -13    -6       7.3570873168E-004
#    -13    -5       1.0646577726E-004
#    -13    -4       1.2065065474E-003
#    -13    -3       4.3691421526E-004
#    -13    -2       9.4049293773E-004
#    -13    -1       8.5901249056E-004
#    -13     0       1.6015577220E-003
#    -13     1       7.6052365377E-004
#    -13     2       2.2854562609E-004
#    -13     3       1.3938873417E-004
#    -13     4       2.0106229496E-003
#    -13     5       2.2613888532E-004
#    -13     6       6.9018444827E-006
#    -13     7       5.8666264802E-004
#    -13     8       5.2896352993E-004
#    -13     9       4.3633334138E-004
#    -13    10       2.8997707933E-004
#    -13    11       4.7630159346E-004
#    -13    12       3.7613205320E-005
#    -13    13       5.6238018340E-004
#    -13    14       1.5523534795E-003
#    -13    15       1.1190788206E-005
#    -12   -13       1.0864303447E-005
#    -12   -12       9.2166912599E-006
#    -12   -11       1.4937073516E-004
#    -12   -10       3.1185890728E-005
#    -12    -9       3.7332455140E-004
#    -12    -8       1.2263991642E-003
#    -12    -7       1.6032034498E-004
#    -12    -6       5.9028220003E-004
#    -12    -5       9.0227829894E-004
#    -12    -4       2.2169129429E-004
#    -12    -3       5.9021673120E-004
#    -12    -2       1.9174474733E-003
#    -12    -1       2.1923774419E-004
#    -12     0       3.5469551323E-003
#    -12     1       5.2492405408E-004
#    -12     2       6.4928228152E-004
#    -12     3       4.2057548082E-003
#    -12     4       1.0078402751E-003
#    -12     5       6.5031955819E-004
#    -12     6       3.0587616152E-003
#    -12     7       5.1732385527E-004
#    -12     8       5.1177771618E-004
#    -12     9       2.0407336578E-003
#    -12    10       1.2894829882E-005
#    -12    11       3.2248643381E-004
#    -12    12       2.2464568043E-003
#    -12    13       4.2421875115E-004
#    -12    14       1.0441707708E-003
#    -12    15       7.4875169946E-005
#    -11   -14       1.8601237722E-005
#    -11   -13       4.3782188505E-005
#    -11   -12       2.4392276801E-005
#    -11   -11       1.3374052388E-004
#    -11   -10       4.1388484592E-004
#    -11    -9       2.2790604550E-005
#    -11    -8       6.2595697629E-004
#    -11    -7       1.5215260675E-003
#    -11    -6       3.0841187339E-004
#    -11    -5       5.5948567132E-004
#    -11    -4       3.9362014805E-004
#    -11    -3       3.1361307602E-004
#    -11    -2       1.2511792050E-003
#    -11    -1       1.4507235363E-003
#    -11     0       5.6997809767E-004
#    -11     1       3.0737674972E-004
#    -11     2       1.2357615120E-003
#    -11     3       9.0365098659E-004
#    -11     4       3.0571132099E-004
