 Diffraction intensities for potential:smallensembletest10001.in               
#     -7     2       3.7441137952E-004
#     -7     3       4.2509569946E-005
#     -7     4       2.5007193465E-005
#     -7     5       1.0670005804E-006
#     -7     6       1.3730315153E-003
#     -7     7       1.7028150921E-003
#     -7     8       1.2919315289E-004
#     -7     9       1.8917591892E-004
#     -7    10       7.4140480527E-005
#     -7    11       9.8209553721E-005
#     -7    12       4.0761878269E-004
#     -7    13       9.3563946359E-004
#     -7    14       3.4695356321E-003
#     -7    15       1.4435605667E-003
#     -6    -9       5.5958565631E-005
#     -6    -8       1.2696836137E-003
#     -6    -7       1.1384489776E-003
#     -6    -6       9.0319181011E-005
#     -6    -5       7.4593138389E-005
#     -6    -4       3.2896531862E-004
#     -6    -3       1.4240732964E-004
#     -6    -2       7.8040118300E-006
#     -6    -1       8.8078862831E-004
#     -6     0       5.6334989978E-004
#     -6     1       1.7229673175E-004
#     -6     2       1.0930479808E-004
#     -6     3       6.0303278896E-005
#     -6     4       6.2128117526E-005
#     -6     5       1.2769260394E-004
#     -6     6       4.5482746249E-006
#     -6     7       8.8871816674E-004
#     -6     8       2.3313020851E-004
#     -6     9       6.4880956607E-007
#     -6    10       2.4332243885E-005
#     -6    11       1.9556010568E-004
#     -6    12       1.6347800690E-003
#     -6    13       1.5053433720E-003
#     -6    14       3.5659650041E-006
#     -6    15       1.5778996239E-003
#     -5    -9       6.7629499725E-005
#     -5    -8       1.0199961541E-004
#     -5    -7       6.6716486665E-004
#     -5    -6       1.2226528766E-004
#     -5    -5       1.2931246847E-004
#     -5    -4       2.4368296877E-005
#     -5    -3       1.1609339069E-003
#     -5    -2       3.7480674346E-004
#     -5    -1       1.7214717854E-004
#     -5     0       2.6196448556E-004
#     -5     1       1.8188872476E-004
#     -5     2       1.0399821679E-003
#     -5     3       1.7212705083E-004
#     -5     4       2.6344953343E-006
#     -5     5       2.7268838084E-004
#     -5     6       1.5392843843E-004
#     -5     7       3.8897968884E-004
#     -5     8       3.9470127895E-006
#     -5     9       3.0521592043E-004
#     -5    10       3.0005222895E-004
#     -5    11       6.2507323195E-005
#     -5    12       2.2079582045E-004
#     -5    13       1.4428107683E-003
#     -5    14       4.6034833514E-004
#     -4   -10       1.4513138794E-005
#     -4    -9       1.1211786721E-003
#     -4    -8       5.1629766438E-003
#     -4    -7       2.4651365258E-005
#     -4    -6       7.9081624117E-005
#     -4    -5       2.0182527132E-004
#     -4    -4       2.8940359238E-002
#     -4    -3       4.2405057806E-005
#     -4    -2       1.0925201023E-004
#     -4    -1       1.8241003487E-004
#     -4     0       3.2228394955E-003
#     -4     1       6.6725341077E-004
#     -4     2       5.6403343510E-006
#     -4     3       4.3684469931E-005
#     -4     4       3.9884377682E-003
#     -4     5       2.3168827229E-004
#     -4     6       5.5282877984E-005
#     -4     7       4.9701163371E-004
#     -4     8       2.6640035917E-002
#     -4     9       4.6157970826E-004
#     -4    10       1.5701641527E-005
#     -4    11       9.9965423690E-005
#     -4    12       1.7609338820E-002
#     -4    13       1.2944023684E-003
#     -4    14       4.9758290737E-005
#     -3   -11       5.9946816166E-004
#     -3   -10       6.1186913259E-004
#     -3    -9       5.6570364206E-004
#     -3    -8       1.1292532827E-004
#     -3    -7       2.1778647617E-004
#     -3    -6       1.7253146873E-004
#     -3    -5       4.6037566009E-004
#     -3    -4       2.4928085335E-005
#     -3    -3       6.0486317227E-005
#     -3    -2       1.0409896431E-003
#     -3    -1       6.6719601528E-004
#     -3     0       1.5015366815E-005
#     -3     1       5.9666301103E-004
#     -3     2       2.4650178952E-004
#     -3     3       8.9567273751E-005
#     -3     4       8.0049004358E-005
#     -3     5       4.9891003155E-004
#     -3     6       4.9892858865E-004
#     -3     7       3.1048634230E-004
#     -3     8       2.7072105818E-005
#     -3     9       1.9597471853E-005
#     -3    10       1.1154270771E-004
#     -3    11       3.6430052231E-004
#     -3    12       1.6153939122E-004
#     -3    13       7.1172231718E-004
#     -3    14       1.9464153551E-003
#     -2   -12       3.6688086655E-004
#     -2   -11       1.1614002264E-003
#     -2   -10       4.2190067211E-006
#     -2    -9       1.4180685935E-003
#     -2    -8       8.6094416969E-004
#     -2    -7       3.2783444809E-004
#     -2    -6       1.4579147216E-004
#     -2    -5       1.0962286232E-006
#     -2    -4       6.2009977786E-005
#     -2    -3       1.7219230194E-004
#     -2    -2       5.6479494376E-006
#     -2    -1       5.9712368175E-004
#     -2     0       1.6655582216E-003
#     -2     1       7.5004104589E-004
#     -2     2       2.3469173283E-005
#     -2     3       1.5470160131E-004
#     -2     4       3.9750339939E-004
#     -2     5       4.8226204028E-004
#     -2     6       7.9494380548E-005
#     -2     7       3.6973725590E-004
#     -2     8       5.5881150300E-004
#     -2     9       1.7539724655E-004
#     -2    10       1.8237910015E-005
#     -2    11       1.7492383889E-003
#     -2    12       2.6952628826E-003
#     -2    13       4.1585309167E-004
#     -2    14       5.7242143359E-005
#     -1   -12       2.1304180539E-004
#     -1   -11       1.1001705350E-003
#     -1   -10       1.8985493705E-003
#     -1    -9       8.9793745044E-004
#     -1    -8       9.7379098462E-005
#     -1    -7       1.5064196543E-004
#     -1    -6       1.3709322158E-003
#     -1    -5       1.2746244899E-004
#     -1    -4       2.6053710463E-006
#     -1    -3       4.3489784988E-005
#     -1    -2       2.4629757021E-004
#     -1    -1       7.4965940279E-004
#     -1     0       4.7614941318E-005
#     -1     1       2.6394914555E-003
#     -1     2       1.0899559332E-003
#     -1     3       1.1571473539E-004
#     -1     4       3.4938785884E-005
#     -1     5       6.4769064356E-004
#     -1     6       3.4810375369E-004
#     -1     7       6.2396828661E-004
#     -1     8       2.1895070858E-004
#     -1     9       1.1494299089E-004
#     -1    10       1.3879184450E-003
#     -1    11       2.9580622982E-004
#     -1    12       4.1917726914E-004
#     -1    13       2.1635546646E-003
#      0   -13       5.5029721997E-004
#      0   -12       5.0672177798E-003
#      0   -11       2.9899065346E-004
#      0   -10       1.0053869057E-004
#      0    -9       1.6007049868E-004
#      0    -8       4.1666749120E-002
#      0    -7       1.7013941487E-003
#      0    -6       4.5199169409E-006
#      0    -5       2.7238914684E-004
#      0    -4       3.9873419971E-003
#      0    -3       8.9516580910E-005
#      0    -2       2.3448976457E-005
#      0    -1       2.6404786341E-003
#      0     0       7.5756891305E-002
#      0     1       2.5798398474E-003
#      0     2       2.9014785673E-005
#      0     3       5.6759528366E-004
#      0     4       4.0632257321E-003
#      0     5       1.1158404804E-004
#      0     6       5.2074916819E-005
#      0     7       1.5831142175E-003
#      0     8       3.0747294882E-002
#      0     9       8.2416401854E-004
#      0    10       5.7364344785E-005
#      0    11       9.4699352433E-004
#      0    12       7.8230781204E-003
#      0    13       1.5990367771E-003
#      1   -13       9.7058881949E-004
#      1   -12       5.1828538311E-005
#      1   -11       4.0564412316E-004
#      1   -10       8.5423230230E-004
#      1    -9       2.7983227432E-004
#      1    -8       1.2941790766E-004
#      1    -7       8.8757864764E-004
#      1    -6       1.5351108050E-004
#      1    -5       2.3172807050E-004
#      1    -4       7.9901191779E-005
#      1    -3       1.5446477095E-004
#      1    -2       1.0904990758E-003
#      1    -1       2.5814127695E-003
#      1     0       5.8907626890E-005
#      1     1       7.5182229629E-004
#      1     2       4.6535554044E-004
#      1     3       3.0688821053E-004
#      1     4       5.3120535933E-006
#      1     5       1.4983353995E-004
#      1     6       1.0693590412E-003
#      1     7       3.5092155113E-004
#      1     8       6.7416005465E-005
#      1     9       8.3582586404E-004
#      1    10       9.0869658885E-004
#      1    11       1.8535479314E-003
#      1    12       4.3160848502E-004
#      2   -14       3.1161762468E-005
#      2   -13       3.2534448819E-005
#      2   -12       1.7429855841E-003
#      2   -11       1.8738979931E-003
#      2   -10       4.7944723495E-005
#      2    -9       1.8866855271E-004
#      2    -8       2.3322022111E-004
#      2    -7       3.8890491405E-004
#      2    -6       5.5419656009E-005
#      2    -5       4.9914484401E-004
#      2    -4       3.9782417652E-004
#      2    -3       1.1561553937E-004
#      2    -2       2.9099570589E-005
#      2    -1       7.5152135400E-004
#      2     0       1.8288736126E-003
#      2     1       3.9567597787E-004
#      2     2       6.2978076071E-006
#      2     3       3.3022607761E-004
#      2     4       1.3094509873E-005
#      2     5       8.4629640907E-006
#      2     6       6.5761124115E-005
#      2     7       9.2084306115E-005
#      2     8       4.4032683282E-004
#      2     9       1.3153345473E-003
#      2    10       7.1215521089E-006
#      2    11       2.6926802908E-003
#      2    12       9.3688790588E-004
#      3   -14       6.3879211512E-004
#      3   -13       2.7083767255E-004
#      3   -12       2.0327618047E-004
#      3   -11       6.0819024327E-004
#      3   -10       7.4211005106E-005
#      3    -9       6.2684066570E-007
#      3    -8       3.9116786717E-006
#      3    -7       4.9706319898E-004
#      3    -6       4.9866257155E-004
#      3    -5       4.8197172278E-004
#      3    -4       3.4861692987E-005
#      3    -3       5.6762140636E-004
#      3    -2       4.6504958028E-004
#      3    -1       3.9545466943E-004
#      3     0       4.8808150936E-005
#      3     1       1.5631903725E-004
#      3     2       5.8600533275E-004
#      3     3       6.6665478220E-005
#      3     4       1.5480114811E-005
#      3     5       7.2299755216E-004
#      3     6       1.7590561295E-004
#      3     7       2.4546915261E-005
#      3     8       1.0576951313E-004
#      3     9       8.4933723981E-004
#      3    10       1.2013442222E-003
#      3    11       9.9191425783E-004
#      4   -14       9.1453892080E-006
#      4   -13       1.3069507627E-003
#      4   -12       5.2365111539E-003
#      4   -11       9.8515185983E-005
#      4   -10       2.4264057843E-005
#      4    -9       3.0541125634E-004
#      4    -8       2.6639180406E-002
#      4    -7       3.1079358785E-004
#      4    -6       7.9575500896E-005
#      4    -5       6.4705241758E-004
#      4    -4       4.0645673744E-003
#      4    -3       3.0697065681E-004
#      4    -2       6.3275319599E-006
#      4    -1       1.5643162728E-004
#      4     0       5.7332428843E-003
#      4     1       2.2655074546E-004
#      4     2       8.3641054928E-005
#      4     3       1.7060755032E-004
#      4     4       2.7752287815E-002
#      4     5       1.6090550856E-004
#      4     6       1.7879088984E-004
#      4     7       1.0962083347E-004
#      4     8       1.7367322833E-002
#      4     9       9.2844967286E-004
#      4    10       9.0969728011E-006
#      5   -14       1.3592283491E-004
#      5   -13       8.9406481227E-004
#      5   -12       4.0768507402E-004
#      5   -11       1.9530025351E-004
#      5   -10       2.9990315772E-004
#      5    -9       4.6208666059E-004
#      5    -8       2.7040867381E-005
#      5    -7       3.7001946003E-004
#      5    -6       3.4725184213E-004
#      5    -5       1.1155271340E-004
#      5    -4       5.2549598352E-006
#      5    -3       3.2945446480E-004
#      5    -2       5.8553083806E-004
#      5    -1       2.2663739027E-004
#      5     0       1.2361817910E-004
#      5     1       4.1040231192E-005
#      5     2       4.6819029498E-004
#      5     3       7.9577089103E-004
#      5     4       4.6373377715E-005
#      5     5       8.3236836811E-005
#      5     6       2.9493341648E-005
#      5     7       9.6658235282E-004
#      5     8       2.1972195125E-004
#      5     9       7.6954583810E-004
#      6   -15       5.1215102366E-004
#      6   -14       3.6601151411E-006
#      6   -13       9.3495336780E-004
#      6   -12       1.6355004768E-003
#      6   -11       6.2529079345E-005
#      6   -10       1.5753496897E-005
#      6    -9       1.9538436838E-005
#      6    -8       5.5892199001E-004
#      6    -7       6.2470187619E-004
#      6    -6       5.2236725355E-005
#      6    -5       1.4974742550E-004
#      6    -4       1.3020624714E-005
#      6    -3       6.6404981136E-005
#      6    -2       8.3676405574E-005
#      6    -1       4.1044937345E-005
#      6     0       1.1296621520E-003
#      6     1       1.1164262580E-003
#      6     2       1.1998678030E-005
#      6     3       7.2692517445E-005
#      6     4       2.4685021330E-004
#      6     5       5.8024533508E-005
#      6     6       1.6262069715E-004
#      6     7       2.0767616834E-003
#      6     8       2.4537892983E-003
#      6     9       6.4888432232E-004
#      7   -15       9.1145279764E-004
#      7   -14       3.4704179992E-003
#      7   -13       1.5051391669E-003
#      7   -12       2.2122114439E-004
#      7   -11       1.0005840992E-004
#      7   -10       1.1144143899E-004
#      7    -9       1.7549711327E-004
#      7    -8       2.1880497318E-004
#      7    -7       1.5830446929E-003
#      7    -6       1.0695180484E-003
#      7    -5       8.4228919718E-006
#      7    -4       1.5324358835E-005
#      7    -3       1.7083974196E-004
#      7    -2       4.6773457338E-004
#      7    -1       1.1158696444E-003
#      7     0       4.3864781664E-005
#      7     1       9.8544328287E-004
#      7     2       5.2778463136E-004
#      7     3       7.5296460146E-006
#      7     4       2.4026682664E-004
#      7     5       2.9690717652E-004
#      7     6       1.6075431849E-003
#      7     7       2.2364330368E-003
#      7     8       2.1475368586E-004
#      8   -15       1.4435878004E-003
#      8   -14       3.4860706293E-006
#      8   -13       1.4431896892E-003
#      8   -12       1.7610696483E-002
#      8   -11       3.6390289086E-004
#      8   -10       1.8315418515E-005
#      8    -9       1.1519586795E-004
#      8    -8       3.0742809926E-002
#      8    -7       3.5084616510E-004
#      8    -6       6.5859163096E-005
#      8    -5       7.2328134902E-004
#      8    -4       2.7748473988E-002
#      8    -3       7.9578880426E-004
#      8    -2       1.2023178071E-005
#      8    -1       9.8578582292E-004
#      8     0       4.0092413957E-002
#      8     1       2.2937076905E-005
#      8     2       1.2648666999E-005
#      8     3       4.1352551966E-004
#      8     4       4.9128528963E-003
#      8     5       1.7109205303E-003
#      8     6       2.0195337287E-004
#      8     7       1.4053616874E-003
#      9   -15       1.5785919702E-003
#      9   -14       4.6094220609E-004
#      9   -13       1.2945032189E-003
#      9   -12       1.6129026466E-004
#      9   -11       1.7507541977E-003
#      9   -10       1.3886722612E-003
#      9    -9       8.2423020630E-004
#      9    -8       6.7307846485E-005
#      9    -7       9.2292573651E-005
#      9    -6       1.7629326756E-004
#      9    -5       1.6091310512E-004
#      9    -4       4.6242767733E-005
#      9    -3       7.2584254327E-005
#      9    -2       5.2772447531E-004
#      9    -1       2.2945477092E-005
#      9     0       2.9439357279E-004
#      9     1       6.5330079030E-004
#      9     2       1.5438978062E-003
#      9     3       7.3356948158E-004
#      9     4       3.4057787174E-004
#      9     5       7.0910101082E-004
#      9     6       3.8234989901E-004
#     10   -14       4.9851770707E-005
#     10   -13       7.1159360854E-004
#     10   -12       2.6961543349E-003
#     10   -11       2.9584083950E-004
#     10   -10       5.7215976711E-005
#     10    -9       8.3548591713E-004
#     10    -8       4.3993841023E-004
#     10    -7       2.4658452942E-005
#     10    -6       1.7880907090E-004
#     10    -5       8.2866475071E-005
#     10    -4       2.4657767466E-004
#     10    -3       7.5457376709E-006
#     10    -2       1.2591983479E-005
#     10    -1       6.5284300801E-004
#     10     0       1.2591013625E-003
#     10     1       6.1609712147E-004
#     10     2       7.5505683152E-005
#     10     3       3.4706341732E-004
#     10     4       1.6517215739E-003
#     11   -14       1.9454797295E-003
#     11   -13       4.1529837063E-004
#     11   -12       4.1897218274E-004
#     11   -11       9.4741835960E-004
#     11   -10       9.0799994846E-004
#     11    -9       1.3151421960E-003
#     11    -8       1.0573611265E-004
#     11    -7       1.0961644959E-004
#     11    -6       2.9604236247E-005
#     11    -5       5.8354063908E-005
#     11    -4       2.3993263330E-004
#     11    -3       4.1361956800E-004
#     11    -2       1.5430364110E-003
#     11    -1       6.1610701191E-004
#     11     0       4.2983076734E-004
#     11     1       4.8321934491E-004
#     11     2       6.6865560672E-005
#     11     3       3.0851131977E-004
#     12   -14       5.7199946707E-005
#     12   -13       2.1639495045E-003
#     12   -12       7.8216911395E-003
#     12   -11       1.8540196719E-003
#     12   -10       7.1304066642E-006
#     12    -9       8.4949840793E-004
#     12    -8       1.7369383163E-002
#     12    -7       9.6690255023E-004
#     12    -6       1.6267733404E-004
#     12    -5       2.9695349268E-004
#     12    -4       4.9133070680E-003
#     12    -3       7.3336569398E-004
#     12    -2       7.5330201438E-005
#     12    -1       4.8332722034E-004
#     12     0       6.0347043962E-003
#     12     1       8.7344477515E-004
#     12     2       1.4837623040E-004
#     13   -13       1.5993811826E-003
#     13   -12       4.3160803258E-004
#     13   -11       2.6922131996E-003
#     13   -10       1.2008284602E-003
#     13    -9       9.2857256601E-004
#     13    -8       2.1996741394E-004
#     13    -7       2.0762116651E-003
#     13    -6       1.6068593078E-003
#     13    -5       1.7108236632E-003
#     13    -4       3.4079184500E-004
#     13    -3       3.4719852229E-004
#     13    -2       6.6899004649E-005
#     13    -1       8.7349985443E-004
#     13     0       1.0654904842E-003
#     14   -12       9.3664089614E-004
#     14   -11       9.9183298586E-004
#     14   -10       9.0588664824E-006
#     14    -9       7.6942315034E-004
#     14    -8       2.4536596326E-003
#     14    -7       2.2362617583E-003
#     14    -6       2.0188241463E-004
#     14    -5       7.0912124328E-004
#     14    -4       1.6508008120E-003
#     14    -3       3.0820719434E-004
#     14    -2       1.4835344092E-004
#     15    -9       6.4894898060E-004
#     15    -8       2.1453333217E-004
#     15    -7       1.4056547155E-003
#     15    -6       3.8217250385E-004
#    -22     8       1.9183143548E-004
#    -22     9       4.5208030026E-004
#    -22    10       1.4547426538E-005
#    -22    11       7.6482271225E-005
#    -22    12       7.6553544774E-004
#    -22    13       7.0503977333E-005
#    -22    14       7.6733460119E-005
#    -21     4       2.1890455543E-005
#    -21     5       1.9634369753E-005
#    -21     6       2.0121666106E-005
#    -21     7       6.5479325371E-006
#    -21     8       1.7455089777E-005
#    -21     9       2.9340191321E-005
#    -21    10       1.3277606901E-004
#    -21    11       7.9285918354E-005
#    -21    12       3.5773810201E-005
#    -21    13       6.4192533044E-005
#    -21    14       2.5578356421E-004
#    -21    15       3.6544848158E-004
#    -21    16       5.4903673511E-006
#    -21    17       6.6035518569E-005
#    -20     2       5.0191043531E-006
#    -20     3       2.9848874947E-004
#    -20     4       1.2956736380E-003
#    -20     5       2.5206664301E-004
#    -20     6       1.7537125891E-006
#    -20     7       2.2765552489E-004
#    -20     8       1.6374482542E-003
#    -20     9       1.5143003609E-004
#    -20    10       5.8392582461E-005
#    -20    11       3.3468914945E-004
#    -20    12       8.2046798751E-004
#    -20    13       1.1847845394E-004
#    -20    14       4.9704104334E-005
#    -20    15       3.6121220267E-004
#    -20    16       1.5492788336E-003
#    -20    17       2.4546696859E-004
#    -20    18       3.9921814231E-005
#    -19     0       4.6084054046E-005
#    -19     1       2.6696069955E-004
#    -19     2       9.1138962038E-004
#    -19     3       6.5785300142E-005
#    -19     4       6.6262254098E-005
#    -19     5       2.8227888172E-005
#    -19     6       2.9502317936E-004
#    -19     7       4.5837908837E-004
#    -19     8       1.8485261389E-005
#    -19     9       2.8843090485E-004
#    -19    10       6.3703326648E-004
#    -19    11       5.2423530525E-004
#    -19    12       1.4539199811E-006
#    -19    13       5.4276249025E-005
#    -19    14       2.7197067038E-005
#    -19    15       1.3199715505E-004
#    -19    16       3.8253943067E-006
#    -19    17       2.0673021036E-004
#    -19    18       1.1321058277E-003
#    -19    19       3.4024249731E-004
#    -18    -2       5.0226787779E-006
#    -18    -1       2.6701201509E-004
#    -18     0       2.8329045802E-004
#    -18     1       2.8520710283E-005
#    -18     2       1.0110147448E-005
#    -18     3       2.4984370958E-004
#    -18     4       4.9534822864E-004
#    -18     5       2.4349843286E-004
#    -18     6       5.6377056151E-006
#    -18     7       6.8691198171E-004
#    -18     8       1.8063112173E-003
#    -18     9       7.9146054884E-004
#    -18    10       4.1733691467E-005
#    -18    11       4.0134479509E-004
#    -18    12       3.7206156498E-004
#    -18    13       9.6854096844E-005
#    -18    14       2.4995918578E-005
#    -18    15       1.9718613696E-004
#    -18    16       1.6647952884E-005
#    -18    17       5.5448535363E-006
#    -18    18       6.3861604297E-005
#    -18    19       1.9255137023E-004
#    -18    20       2.9278404195E-004
#    -17    -4       2.1915214790E-005
#    -17    -3       2.9849554712E-004
#    -17    -2       9.1145231179E-004
#    -17    -1       2.8443138235E-005
#    -17     0       5.7989021018E-006
#    -17     1       1.8777486579E-005
#    -17     2       1.5886764815E-004
#    -17     3       1.3801201094E-004
#    -17     4       4.2589555376E-006
#    -17     5       4.1262094324E-004
#    -17     6       1.2849041826E-003
#    -17     7       6.3801405669E-004
#    -17     8       1.6707526687E-005
#    -17     9       4.2817214696E-004
#    -17    10       8.8777852235E-004
#    -17    11       1.3393281279E-004
#    -17    12       1.9981224500E-006
#    -17    13       7.6121708130E-005
#    -17    14       4.1420205849E-005
#    -17    15       5.9055021846E-005
#    -17    16       1.9954778970E-005
#    -17    17       6.5292538384E-006
#    -17    18       1.6156361351E-004
#    -17    19       2.8026097334E-004
#    -17    20       2.8385041817E-005
#    -17    21       7.7531465597E-005
#    -16    -5       1.9675394590E-005
#    -16    -4       1.2962052555E-003
#    -16    -3       6.5873792516E-005
#    -16    -2       1.0075930597E-005
#    -16    -1       1.8850394492E-005
#    -16     0       8.9756997130E-003
#    -16     1       7.0216215471E-005
#    -16     2       1.0569721688E-005
#    -16     3       3.6145531900E-004
#    -16     4       8.0770006334E-003
#    -16     5       3.3094296364E-004
#    -16     6       9.8629784129E-006
#    -16     7       9.0791183648E-005
#    -16     8       5.0082312357E-003
#    -16     9       1.1783822966E-004
#    -16    10       1.3706212562E-005
#    -16    11       4.4174514530E-005
#    -16    12       6.7697188153E-003
#    -16    13       1.1809702359E-005
#    -16    14       4.7954750138E-005
#    -16    15       9.0322100151E-005
#    -16    16       2.8978738188E-003
#    -16    17       2.5642281856E-005
#    -16    18       3.5641093066E-005
#    -16    19       3.7290009841E-005
#    -16    20       1.4561183138E-003
#    -16    21       1.5860010995E-004
#    -15    -6       2.0085764193E-005
#    -15    -5       2.5199694574E-004
#    -15    -4       6.6219470553E-005
#    -15    -3       2.4950395977E-004
#    -15    -2       1.5891869242E-004
#    -15    -1       7.0020076115E-005
#    -15     0       2.4787988790E-005
#    -15     1       3.6053361772E-004
#    -15     2       1.0840624942E-003
#    -15     3       9.6115041668E-005
#    -15     4       3.9079245648E-007
#    -15     5       1.0502743394E-004
#    -15     6       2.9823930992E-004
#    -15     7       1.8559428497E-004
#    -15     8       4.4642568485E-006
#    -15     9       1.0699440578E-004
#    -15    10       2.2301864591E-004
#    -15    11       1.4335660867E-004
#    -15    12       1.3381737115E-005
#    -15    13       5.2442561418E-004
#    -15    14       5.5277520854E-004
#    -15    15       2.5927182858E-004
#    -15    16       2.0796437738E-005
#    -15    17       1.2771850487E-004
#    -15    18       3.4393685716E-004
#    -15    19       4.1249429552E-005
#    -15    20       5.6477964995E-005
#    -15    21       6.1248426167E-004
#    -14    -8       1.9172290116E-004
#    -14    -7       6.5940895142E-006
#    -14    -6       1.7480171594E-006
#    -14    -5       2.8272584547E-005
#    -14    -4       4.9541069148E-004
#    -14    -3       1.3806849746E-004
#    -14    -2       1.0596802846E-005
#    -14    -1       3.6107016789E-004
#    -14     0       9.7043473057E-004
#    -14     1       7.3987480892E-004
#    -14     2       2.8133290589E-007
#    -14     3       5.1419272560E-005
#    -14     4       1.5174544996E-004
#    -14     5       1.8497253150E-004
#    -14     6       4.5968399020E-006
#    -14     7       4.4707121372E-004
#    -14     8       2.9906206630E-004
#    -14     9       1.3767844274E-004
#    -14    10       5.6252952768E-005
#    -14    11       1.1796070999E-004
#    -14    12       8.5852454198E-004
