 Diffraction intensities for potential:pot10001.in                             
#     -4     2       5.0424120320E-004
#     -4     3       8.5996510381E-004
#     -4     4       7.4151041856E-004
#     -4     5       1.7864167570E-004
#     -4     6       1.6946988746E-003
#     -4     7       1.5528151453E-003
#     -4     8       1.4677229944E-004
#     -4     9       2.5355850431E-003
#     -4    10       1.5679114944E-003
#     -3   -16       6.1842213221E-005
#     -3   -15       4.2844573035E-004
#     -3   -14       3.4706401959E-004
#     -3   -13       6.3612190316E-005
#     -3   -12       9.0780390281E-004
#     -3   -11       9.6630281832E-005
#     -3   -10       1.8626545864E-004
#     -3    -9       1.5498245161E-003
#     -3    -8       4.7832573744E-004
#     -3    -7       7.1660551231E-005
#     -3    -6       1.2258015180E-002
#     -3    -5       5.4897040096E-004
#     -3    -4       1.4955476236E-003
#     -3    -3       1.5734311697E-002
#     -3    -2       7.3806618785E-004
#     -3    -1       4.3979016421E-005
#     -3     0       1.0345493337E-002
#     -3     1       1.0391118016E-003
#     -3     2       1.7126120272E-003
#     -3     3       1.1239770177E-003
#     -3     4       7.5565932191E-005
#     -3     5       1.9164241583E-003
#     -3     6       5.2713925493E-002
#     -3     7       2.8815865049E-003
#     -3     8       6.8080450566E-005
#     -3     9       2.1854593550E-002
#     -2   -16       1.6226903207E-004
#     -2   -15       5.9325905938E-004
#     -2   -14       2.1505389412E-004
#     -2   -13       1.5607127877E-004
#     -2   -12       2.9409140077E-004
#     -2   -11       1.3775397861E-004
#     -2   -10       3.7116896647E-004
#     -2    -9       7.0444835375E-004
#     -2    -8       2.1860678537E-004
#     -2    -7       3.9121609596E-004
#     -2    -6       9.5806852874E-004
#     -2    -5       6.4312289913E-004
#     -2    -4       1.0675224294E-003
#     -2    -3       3.1236373137E-004
#     -2    -2       5.0408275939E-004
#     -2    -1       1.0390549957E-003
#     -2     0       2.8821915343E-004
#     -2     1       3.9488668782E-005
#     -2     2       3.8689381568E-004
#     -2     3       4.3719332774E-004
#     -2     4       1.2263208274E-003
#     -2     5       1.8854610509E-003
#     -2     6       2.0587184140E-003
#     -2     7       7.8588484320E-004
#     -2     8       1.8683932112E-004
#     -1   -16       9.5548106292E-005
#     -1   -15       1.1173489511E-004
#     -1   -14       3.3597359078E-004
#     -1   -13       2.1283017290E-004
#     -1   -12       8.0517476360E-005
#     -1   -11       3.7336359611E-004
#     -1   -10       2.9285885827E-004
#     -1    -9       1.8880249991E-004
#     -1    -8       2.0096989134E-004
#     -1    -7       6.6277488835E-004
#     -1    -6       8.8675778685E-004
#     -1    -5       8.1610910258E-004
#     -1    -4       2.0706140012E-004
#     -1    -3       8.5995978426E-004
#     -1    -2       1.7126878007E-003
#     -1    -1       3.9503769908E-005
#     -1     0       1.0325290292E-003
#     -1     1       1.4282899331E-003
#     -1     2       3.2299042430E-004
#     -1     3       8.0917369333E-004
#     -1     4       3.3544203641E-004
#     -1     5       5.5231600262E-004
#     -1     6       1.9239112272E-003
#     -1     7       9.1788719497E-004
#      0   -16       2.5056607798E-004
#      0   -15       3.6460714871E-004
#      0   -14       4.2309470958E-004
#      0   -13       4.6631626894E-004
#      0   -12       1.7404699695E-003
#      0   -11       7.2488521276E-005
#      0   -10       1.7080204686E-004
#      0    -9       1.5033385317E-002
#      0    -8       3.2865726375E-004
#      0    -7       5.1205695728E-004
#      0    -6       1.4900698764E-002
#      0    -5       1.4715643390E-004
#      0    -4       7.4171411195E-004
#      0    -3       1.1237129206E-003
#      0    -2       3.8703758779E-004
#      0    -1       1.4281170069E-003
#      0     0       3.7604340574E-002
#      0     1       4.1389916654E-003
#      0     2       4.5103314317E-004
#      0     3       7.8063687015E-003
#      0     4       1.1647807338E-003
#      0     5       2.0155072298E-004
#      0     6       1.3864346088E-002
#      1   -16       2.0556653457E-004
#      1   -15       4.1425016123E-004
#      1   -14       8.7731263809E-004
#      1   -13       2.4399721248E-004
#      1   -12       2.1232369555E-004
#      1   -11       1.7012508626E-004
#      1   -10       3.5931723095E-004
#      1    -9       8.5701571394E-004
#      1    -8       1.1362239493E-003
#      1    -7       3.7707016774E-004
#      1    -6       5.2332825368E-004
#      1    -5       1.7848928134E-004
#      1    -4       7.5615754537E-005
#      1    -3       4.3738314619E-004
#      1    -2       3.2285323982E-004
#      1    -1       4.1387174877E-003
#      1     0       5.2827682935E-003
#      1     1       5.1963333060E-004
#      1     2       5.2661058447E-004
#      1     3       2.1129154802E-003
#      1     4       3.4437284572E-004
#      1     5       7.1063050077E-004
#      2   -16       1.6125420217E-004
#      2   -15       5.6363218107E-004
#      2   -14       1.7552938000E-004
#      2   -13       2.3384926800E-004
#      2   -12       5.9017993104E-004
#      2   -11       2.7624909287E-004
#      2   -10       5.3959329917E-004
#      2    -9       6.5648440849E-004
#      2    -8       3.9870816332E-004
#      2    -7       8.0268012210E-004
#      2    -6       1.6942630018E-003
#      2    -5       1.9159923903E-003
#      2    -4       1.2262786669E-003
#      2    -3       8.0943240917E-004
#      2    -2       4.5105910806E-004
#      2    -1       5.1956618751E-004
#      2     0       7.3100755502E-004
#      2     1       2.5584859822E-003
#      2     2       2.7619647939E-003
#      2     3       2.6936801476E-004
#      3   -15       2.4194672265E-003
#      3   -14       5.3771482774E-004
#      3   -13       2.4014598391E-004
#      3   -12       7.3621451488E-004
