 Diffraction intensities for potential:g-5x5_00D10001.in                       
#    -23     2       2.9942107293E-049
#    -23     3       1.5701331484E-033
#    -23     4       8.3113893503E-050
#    -23     5       7.2060356825E-023
#    -23     6       2.8885832854E-055
#    -23     7       5.9240454533E-050
#    -23     8       6.7212230895E-029
#    -23     9       4.6961182317E-049
#    -23    10       2.0936511414E-023
#    -23    11       7.9618770161E-055
#    -23    12       5.7561174964E-051
#    -23    13       2.0577006041E-025
#    -23    14       5.2705086877E-049
#    -23    15       7.0965966559E-023
#    -23    16       3.9485541025E-053
#    -23    17       3.2086661055E-052
#    -23    18       4.3494263240E-023
#    -23    19       1.9555004512E-049
#    -23    20       6.8963723577E-024
#    -23    21       1.0186558075E-050
#    -23    22       1.5930050805E-053
#    -23    23       1.1846513188E-022
#    -23    24       2.1573917352E-050
#    -23    25       8.6016512344E-025
#    -22    -4       2.6583717779E-026
#    -22    -3       1.5382553258E-042
#    -22    -2       2.2488006046E-054
#    -22    -1       2.1283111170E-054
#    -22     0       7.3584366102E-025
#    -22     1       5.2180632950E-022
#    -22     2       1.4064108629E-043
#    -22     3       1.5314357062E-054
#    -22     4       4.0451289134E-054
#    -22     5       5.4385947490E-024
#    -22     6       3.5781269443E-022
#    -22     7       1.1097338360E-044
#    -22     8       3.1850586854E-054
#    -22     9       1.7018798593E-053
#    -22    10       1.0492260395E-023
#    -22    11       2.2074149608E-022
#    -22    12       5.6381140720E-046
#    -22    13       6.5180903661E-052
#    -22    14       1.9597013208E-053
#    -22    15       6.0058173214E-024
#    -22    16       4.3710906533E-020
#    -22    17       3.9037428086E-047
#    -22    18       2.2465525721E-051
#    -22    19       1.6895565873E-053
#    -22    20       1.7247713381E-024
#    -22    21       6.9608040364E-020
#    -22    22       1.8281465055E-048
#    -22    23       1.3760531441E-051
#    -22    24       5.8053369072E-053
#    -22    25       1.2989518102E-025
#    -22    26       4.0314808628E-021
#    -21    -5       1.5388280607E-026
#    -21    -4       1.7337672721E-055
#    -21    -3       5.3058061065E-044
#    -21    -2       1.0821306409E-048
#    -21    -1       1.2799449690E-022
#    -21     0       8.7368682223E-025
#    -21     1       5.3106296576E-056
#    -21     2       4.5673684729E-040
#    -21     3       3.3871770999E-047
#    -21     4       1.9867756484E-023
#    -21     5       5.0760935415E-024
#    -21     6       6.7758120150E-055
#    -21     7       1.9317500946E-036
#    -21     8       2.0290860068E-049
#    -21     9       1.8273652008E-024
#    -21    10       7.1855217709E-024
#    -21    11       3.1900612387E-053
#    -21    12       2.9921451243E-033
#    -21    13       1.8114183559E-046
#    -21    14       1.2220060946E-025
#    -21    15       3.5772099152E-024
#    -21    16       3.7544692447E-053
#    -21    17       2.1755107199E-029
#    -21    18       1.8179290583E-047
#    -21    19       8.1794791364E-027
#    -21    20       1.0577456308E-024
#    -21    21       8.8186992695E-054
#    -21    22       6.9710306639E-025
#    -21    23       4.2182219934E-047
#    -21    24       2.3176194963E-028
#    -21    25       1.7401582007E-025
#    -21    26       5.6460631604E-058
#    -20    -7       6.7424232354E-028
#    -20    -6       3.8714656326E-027
#    -20    -5       1.4177452362E-003
#    -20    -4       1.5488976529E-026
#    -20    -3       2.3820966594E-025
#    -20    -2       3.9680551351E-024
#    -20    -1       2.1759735254E-025
#    -20     0       9.4134643394E-003
#    -20     1       2.2815203422E-025
#    -20     2       3.3755099119E-024
#    -20     3       1.2529798826E-024
#    -20     4       1.4859029485E-024
#    -20     5       1.6033963576E-002
#    -20     6       8.1982466572E-025
#    -20     7       1.1965896186E-023
#    -20     8       1.0905677489E-024
#    -20     9       3.3332449644E-024
#    -20    10       3.8747316994E-003
#    -20    11       9.9499561961E-025
#    -20    12       1.6570869436E-023
#    -20    13       3.5264877290E-025
#    -20    14       3.2949114965E-024
#    -20    15       1.1774110887E-002
#    -20    16       4.0542454250E-025
#    -20    17       4.0371659913E-024
#    -20    18       2.1088680792E-025
#    -20    19       1.3434331337E-024
#    -20    20       3.2993844576E-003
#    -20    21       6.4775232999E-026
#    -20    22       3.8655201431E-025
#    -20    23       1.4211848665E-025
#    -20    24       1.8931150300E-025
#    -20    25       5.2090910296E-004
#    -20    26       2.8183862269E-027
#    -20    27       7.8675014281E-027
#    -19    -8       3.3133558869E-055
#    -19    -7       7.2181011305E-039
#    -19    -6       3.5178592110E-055
#    -19    -5       7.3143445099E-026
#    -19    -4       1.7021579864E-051
#    -19    -3       2.1157773875E-054
#    -19    -2       5.1521615706E-039
#    -19    -1       2.2884977912E-054
#    -19     0       1.6009481538E-024
#    -19     1       2.9889210771E-048
#    -19     2       3.6452291167E-053
#    -19     3       7.5453782297E-039
#    -19     4       2.2090859341E-053
#    -19     5       7.9195360527E-024
#    -19     6       7.2716083303E-046
#    -19     7       1.1903334431E-052
#    -19     8       7.8650557895E-039
#    -19     9       4.1742253664E-053
#    -19    10       1.1594055191E-023
#    -19    11       5.0139924096E-044
#    -19    12       1.3819720694E-052
#    -19    13       5.1800477767E-039
#    -19    14       3.2383525869E-053
#    -19    15       6.8862257763E-024
#    -19    16       1.4785234023E-041
#    -19    17       4.3750597826E-053
#    -19    18       1.5734689090E-039
#    -19    19       1.0869619674E-053
#    -19    20       1.7248956894E-024
#    -19    21       4.4976882210E-039
#    -19    22       6.4547029231E-054
#    -19    23       1.9051947118E-040
#    -19    24       1.3028031068E-054
#    -19    25       1.1822091447E-025
#    -19    26       3.3447611547E-038
#    -19    27       4.1109040714E-054
#    -18    -9       3.5524801715E-054
#    -18    -8       9.4052793604E-047
#    -18    -7       2.8977882254E-038
#    -18    -6       1.0237474821E-048
#    -18    -5       2.6175757464E-022
#    -18    -4       1.2709850138E-054
#    -18    -3       9.3324343181E-048
#    -18    -2       3.1909128998E-034
#    -18    -1       1.0192003915E-046
#    -18     0       1.3139680308E-023
#    -18     1       6.2021514746E-054
#    -18     2       7.4810501730E-049
#    -18     3       1.6562917134E-029
#    -18     4       1.4939386872E-045
#    -18     5       2.0725515702E-023
#    -18     6       1.8501351483E-053
#    -18     7       3.9298189276E-050
#    -18     8       3.7433601588E-026
#    -18     9       5.1396260951E-045
#    -18    10       4.1967431782E-023
#    -18    11       1.8215421362E-054
#    -18    12       2.2479396430E-051
#    -18    13       6.3319251475E-024
#    -18    14       4.4855543544E-045
#    -18    15       3.3708556709E-023
#    -18    16       1.8045310226E-051
#    -18    17       1.4594209404E-052
#    -18    18       2.6370286323E-023
#    -18    19       1.2964698040E-045
#    -18    20       1.3767328134E-023
#    -18    21       7.9131015184E-050
#    -18    22       7.7719847685E-054
#    -18    23       6.1392580684E-022
#    -18    24       1.5176710203E-046
#    -18    25       2.8475828868E-024
#    -18    26       8.3035427065E-047
#    -18    27       2.6961454858E-055
#    -17   -10       2.9680129026E-026
#    -17    -9       1.4278047009E-026
#    -17    -8       1.0027254661E-043
#    -17    -7       2.1695768740E-055
#    -17    -6       3.5406261229E-054
#    -17    -5       5.4387173664E-024
#    -17    -4       8.0994245451E-023
#    -17    -3       4.8302452382E-044
#    -17    -2       4.2674971015E-054
#    -17    -1       8.0768546378E-053
#    -17     0       1.0672705010E-022
#    -17     1       1.0811686215E-022
#    -17     2       1.3923917537E-044
#    -17     3       2.4855487666E-053
#    -17     4       6.6784861002E-052
#    -17     5       4.5589572744E-022
#    -17     6       1.1306388076E-022
#    -17     7       2.5180315463E-045
#    -17     8       2.2537068618E-052
#    -17     9       1.1336829777E-051
#    -17    10       6.1899955207E-022
#    -17    11       7.4005983201E-021
#    -17    12       5.1099120013E-046
#    -17    13       1.6315163206E-051
#    -17    14       6.8786530878E-052
#    -17    15       3.0619574775E-022
#    -17    16       2.2562580743E-020
#    -17    17       8.6429341162E-047
#    -17    18       1.0711620192E-051
#    -17    19       2.2876114625E-052
#    -17    20       6.7131770684E-023
#    -17    21       2.1572746908E-021
#    -17    22       6.0892518359E-048
#    -17    23       7.8513489394E-053
#    -17    24       9.3750491759E-055
#    -17    25       5.9229757585E-024
#    -17    26       1.5503880137E-021
#    -17    27       5.7682994433E-050
#    -16   -11       2.7285953277E-022
#    -16   -10       3.9165669613E-026
#    -16    -9       1.7707359010E-055
#    -16    -8       1.8216952077E-044
#    -16    -7       2.1240084321E-049
#    -16    -6       8.7618427928E-023
#    -16    -5       5.0761006987E-024
#    -16    -4       4.3867697354E-055
#    -16    -3       6.6892461187E-040
#    -16    -2       2.6868876084E-048
#    -16    -1       2.6535320144E-023
#    -16     0       8.4273692199E-023
#    -16     1       3.1475880651E-053
#    -16     2       2.2815712076E-036
#    -16     3       2.3346002970E-048
#    -16     4       6.3540712702E-024
#    -16     5       3.0467201611E-022
#    -16     6       2.5637305572E-052
#    -16     7       3.0120026494E-033
#    -16     8       1.9694868658E-047
#    -16     9       1.1954264246E-024
#    -16    10       3.6903457279E-022
#    -16    11       5.6956642467E-052
#    -16    12       2.1822708927E-029
#    -16    13       1.7267950693E-047
#    -16    14       2.0564118163E-025
#    -16    15       1.7681613247E-022
#    -16    16       2.0285985405E-052
#    -16    17       2.3110185815E-025
#    -16    18       5.9380937130E-048
#    -16    19       2.5024930955E-026
#    -16    20       3.9549257700E-023
#    -16    21       2.4190001296E-052
#    -16    22       4.4499871966E-022
#    -16    23       2.9705850781E-048
#    -16    24       1.2682627573E-027
#    -16    25       3.8797126981E-024
#    -16    26       5.9693770026E-053
#    -16    27       1.7710571399E-021
#    -15   -13       4.8341435769E-027
#    -15   -12       7.1519375272E-028
#    -15   -11       8.3946595768E-027
#    -15   -10       1.1851246532E-003
#    -15    -9       4.3740366906E-026
#    -15    -8       9.3530037668E-025
#    -15    -7       5.4107144006E-025
#    -15    -6       1.0557379488E-024
#    -15    -5       1.6033956706E-002
#    -15    -4       1.5036843070E-024
#    -15    -3       3.2031841967E-023
#    -15    -2       1.7298887827E-024
#    -15    -1       1.8480085400E-023
#    -15     0       4.4448144169E-002
#    -15     1       1.1703700529E-023
#    -15     2       2.0995686447E-022
#    -15     3       5.4316043153E-024
#    -15     4       7.4813647492E-023
#    -15     5       9.6438237005E-003
#    -15     6       3.0948325867E-023
#    -15     7       5.3036172146E-022
#    -15     8       1.1008594769E-023
#    -15     9       1.2189214517E-022
#    -15    10       1.5071475423E-002
#    -15    11       2.9262692833E-023
#    -15    12       5.0228966342E-022
#    -15    13       1.0334795655E-023
#    -15    14       9.7874678817E-023
#    -15    15       2.9060090289E-002
#    -15    16       1.0820974399E-023
#    -15    17       1.7556050346E-022
#    -15    18       3.0753599727E-024
#    -15    19       3.1995199930E-023
#    -15    20       1.1774101658E-002
#    -15    21       1.3081073680E-024
#    -15    22       2.5845176369E-023
#    -15    23       4.2059397722E-025
#    -15    24       4.2549261374E-024
#    -15    25       5.1205376190E-004
#    -15    26       5.4090219356E-026
#    -15    27       7.9837656392E-025
#    -15    28       8.1115188017E-025
#    -14   -14       3.2765176362E-052
#    -14   -13       3.2885221852E-055
#    -14   -12       3.3320789462E-035
#    -14   -11       2.6209369929E-055
#    -14   -10       1.6474753531E-025
#    -14    -9       1.3589575098E-050
#    -14    -8       1.1183904594E-053
#    -14    -7       2.1834445600E-035
#    -14    -6       9.9481658582E-054
#    -14    -5       7.9189949198E-024
#    -14    -4       4.3930693510E-047
#    -14    -3       2.3278814945E-052
#    -14    -2       2.5787631690E-035
#    -14    -1       1.3177427547E-052
#    -14     0       7.4204044987E-023
#    -14     1       3.1260529356E-044
#    -14     2       1.2143085603E-051
#    -14     3       3.2385614693E-035
#    -14     4       5.0013443139E-052
#    -14     5       2.3389720896E-022
#    -14     6       5.6289499341E-042
#    -14     7       2.8042050007E-051
#    -14     8       3.2537176646E-035
#    -14     9       7.9799846859E-052
#    -14    10       2.6744961846E-022
#    -14    11       3.2981038467E-040
#    -14    12       2.4780033644E-051
#    -14    13       1.9518774082E-035
#    -14    14       5.3751963362E-052
#    -14    15       1.2578910364E-022
#    -14    16       1.1628208006E-037
#    -14    17       8.6838102303E-052
#    -14    18       5.3329020593E-036
#    -14    19       1.2772008784E-052
#    -14    20       2.5264117906E-023
#    -14    21       6.6024028666E-035
#    -14    22       1.0797943630E-052
#    -14    23       5.0373290185E-037
#    -14    24       1.5007194352E-053
#    -14    25       1.8609730683E-024
#    -14    26       3.0685594813E-034
#    -14    27       4.1608030753E-054
#    -14    28       3.4987171230E-039
#    -13   -15       3.0696986542E-022
#    -13   -14       1.3532940317E-053
#    -13   -13       5.5233646113E-047
#    -13   -12       9.1618636326E-039
#    -13   -11       9.0510037869E-047
#    -13   -10       7.4565686518E-023
#    -13    -9       3.3627254084E-053
#    -13    -8       5.6402684796E-050
#    -13    -7       1.9065269102E-034
#    -13    -6       2.4746553046E-044
#    -13    -5       1.2781888344E-022
#    -13    -4       4.9670141875E-054
#    -13    -3       6.6114033434E-049
#    -13    -2       4.4432477712E-030
#    -13    -1       1.0634860720E-042
#    -13     0       5.9612810414E-022
#    -13     1       1.7910334234E-052
#    -13     2       2.7242400127E-049
#    -13     3       8.1215634310E-027
#    -13     4       8.1486091945E-042
#    -13     5       2.1810730872E-021
#    -13     6       5.1733919816E-052
#    -13     7       7.5451425725E-050
#    -13     8       1.1723350022E-024
#    -13     9       1.8665582729E-041
#    -13    10       2.6670923889E-021
#    -13    11       9.3677251864E-052
#    -13    12       1.7873738550E-050
#    -13    13       6.3001430139E-024
#    -13    14       1.2935723605E-041
#    -13    15       1.4055109186E-021
#    -13    16       8.7453452006E-050
#    -13    17       2.7534012038E-051
#    -13    18       9.3628853406E-023
#    -13    19       3.3668552369E-042
#    -13    20       2.9469095258E-022
#    -13    21       1.3017876710E-047
#    -13    22       1.6789288704E-052
#    -13    23       7.6731367406E-021
#    -13    24       3.0326464536E-043
#    -13    25       2.0626961579E-023
#    -13    26       2.5403943588E-046
#    -13    27       2.2154457547E-053
#    -13    28       1.3081954633E-020
#    -12   -15       2.6166402219E-026
#    -12   -14       2.3645084248E-027
#    -12   -13       8.5774820926E-044
#    -12   -12       6.5895176999E-054
#    -12   -11       1.0503465679E-052
#    -12   -10       1.0492553313E-023
#    -12    -9       7.4491431894E-024
#    -12    -8       1.6895827445E-044
#    -12    -7       1.7791401669E-053
#    -12    -6       7.4211950948E-052
#    -12    -5       4.5590190236E-022
#    -12    -4       2.5845461887E-023
#    -12    -3       1.1048032465E-045
#    -12    -2       7.5415949060E-053
#    -12    -1       6.0957389955E-051
#    -12     0       3.8915400278E-021
#    -12     1       4.1896124783E-023
#    -12     2       1.5855220499E-046
#    -12     3       1.2320683718E-052
#    -12     4       1.9445927952E-050
#    -12     5       1.0850654883E-020
#    -12     6       1.4637000052E-021
#    -12     7       1.8021986700E-046
#    -12     8       4.7191434236E-052
#    -12     9       2.6060456770E-050
#    -12    10       1.2224528270E-020
#    -12    11       6.9597766596E-021
#    -12    12       1.4381751266E-046
#    -12    13       1.5192691921E-051
#    -12    14       1.6001815338E-050
#    -12    15       5.9871492462E-021
#    -12    16       2.0683366491E-021
#    -12    17       5.0568670237E-047
#    -12    18       3.6540183125E-052
#    -12    19       3.5854811576E-051
#    -12    20       1.2363526696E-021
#    -12    21       2.7245583567E-022
#    -12    22       5.5783592709E-048
#    -12    23       1.4489629943E-053
#    -12    24       2.9981093285E-052
#    -12    25       9.2317928082E-023
#    -12    26       2.7473310618E-022
#    -12    27       1.1781347023E-049
#    -11   -16       3.8272477400E-024
#    -11   -15       2.4740085253E-026
#    -11   -14       4.7727201261E-055
#    -11   -13       4.2374038172E-044
#    -11   -12       2.0476432644E-050
#    -11   -11       4.2343573569E-023
#    -11   -10       7.1855608595E-024
#    -11    -9       5.0683044374E-054
#    -11    -8       6.9728572409E-040
#    -11    -7       1.3753419000E-049
#    -11    -6       2.3447785347E-023
#    -11    -5       3.0467350342E-022
#    -11    -4       2.5899441495E-052
#    -11    -3       2.8653711752E-036
#    -11    -2       8.4435883711E-049
#    -11    -1       8.9195277704E-024
#    -11     0       2.5166107089E-021
#    -11     1       2.2443967101E-051
#    -11     2       7.0589928501E-033
#    -11     3       1.8247239706E-048
#    -11     4       3.0505249824E-024
#    -11     5       6.4071739387E-021
#    -11     6       5.0760567939E-051
#    -11     7       2.3198400405E-029
#    -11     8       6.7605636534E-048
#    -11     9       9.5767575317E-025
#    -11    10       6.3665618153E-021
#    -11    11       4.1981482865E-051
#    -11    12       7.3975676849E-026
#    -11    13       1.6364020166E-049
#    -11    14       2.4535851609E-025
#    -11    15       2.8569284431E-021
#    -11    16       9.5157602744E-052
#    -11    17       7.7287682697E-023
#    -11    18       2.1283500700E-048
#    -11    19       3.6492727696E-026
#    -11    20       5.7975680944E-022
#    -11    21       6.1659359604E-052
#    -11    22       3.8587819449E-022
#    -11    23       2.6899196279E-049
#    -11    24       1.9096799305E-027
#    -11    25       4.2557301331E-023
#    -11    26       1.4917293222E-053
#    -11    27       7.7965691032E-024
#    -10   -17       1.1416124208E-028
#    -10   -16       4.6369619516E-027
#    -10   -15       5.1205481208E-004
#    -10   -14       5.1093549069E-026
#    -10   -13       9.6037574424E-024
#    -10   -12       1.3685544665E-025
#    -10   -11       1.4821930696E-024
#    -10   -10       3.8747338884E-003
#    -10    -9       3.0819351036E-024
#    -10    -8       1.0506221608E-022
#    -10    -7       3.8452334738E-024
#    -10    -6       5.9266206805E-023
#    -10    -5       9.6438134099E-003
#    -10    -4       4.8465825321E-023
#    -10    -3       1.1619179014E-021
#    -10    -2       2.9980001129E-023
#    -10    -1       4.8996838941E-022
#    -10     0       9.6233916406E-003
#    -10     1       2.1852233127E-022
#    -10     2       4.5915064730E-021
#    -10     3       1.0759218929E-022
#    -10     4       1.4020798771E-021
#    -10     5       9.8770986479E-003
#    -10     6       4.5527368852E-022
#    -10     7       8.7729398585E-021
#    -10     8       1.8278492425E-022
#    -10     9       1.8625952949E-021
#    -10    10       3.0737066104E-002
#    -10    11       3.8930550324E-022
#    -10    12       7.1766472319E-021
#    -10    13       1.4103277082E-022
#    -10    14       1.2416797660E-021
#    -10    15       1.5071478682E-002
#    -10    16       1.3483305177E-022
#    -10    17       2.5803860000E-021
#    -10    18       3.8942485625E-023
#    -10    19       3.2138046742E-022
#    -10    20       3.8747154447E-003
#    -10    21       1.5689276766E-023
#    -10    22       3.1413638382E-022
#    -10    23       2.4863220499E-024
#    -10    24       2.7253563272E-023
#    -10    25       1.1851027947E-003
#    -10    26       5.1125439123E-025
#    -10    27       6.2494121724E-024
#     -9   -18       4.6351638170E-055
#     -9   -17       1.8374389154E-031
#     -9   -16       7.8199621732E-055
#     -9   -15       1.5341380811E-025
#     -9   -14       1.4677503218E-050
#     -9   -13       1.5081335722E-053
#     -9   -12       3.3886752798E-032
#     -9   -11       1.1753442220E-053
#     -9   -10       1.1593188544E-023
#     -9    -9       1.5113651157E-046
#     -9    -8       4.4207321782E-052
#     -9    -7       3.4116098898E-032
#     -9    -6       3.4656443298E-052
#     -9    -5       2.3389219150E-022
#     -9    -4       2.3956589529E-043
#     -9    -3       4.7962851064E-051
#     -9    -2       7.9951111163E-032
#     -9    -1       2.2667835639E-051
#     -9     0       1.1989771505E-021
#     -9     1       1.3677607771E-040
#     -9     2       1.8858200698E-050
#     -9     3       9.5363463779E-032
#     -9     4       5.7840310200E-051
#     -9     5       2.5716594648E-021
#     -9     6       2.3626990971E-038
#     -9     7       3.3036207370E-050
#     -9     8       6.4885366396E-032
#     -9     9       6.7997607151E-051
#     -9    10       2.3965825309E-021
#     -9    11       1.1966063826E-036
#     -9    12       2.4205437056E-050
#     -9    13       2.7498717676E-032
#     -9    14       3.8093023817E-051
#     -9    15       9.3604305682E-022
#     -9    16       6.5189401830E-034
#     -9    17       7.5887787602E-051
#     -9    18       5.9743036996E-033
#     -9    19       8.9119867090E-052
#     -9    20       1.5274950008E-022
#     -9    21       9.7017299333E-031
#     -9    22       8.7616249462E-052
#     -9    23       4.4080608631E-034
#     -9    24       6.7935487922E-053
#     -9    25       8.9544148374E-024
#     -9    26       1.8197672249E-030
#     -9    27       1.1113554999E-053
#     -8   -19       7.0233887095E-054
#     -8   -18       3.1509241232E-046
#     -8   -17       6.1125635807E-039
#     -8   -16       2.6238759977E-044
#     -8   -15       1.3512629317E-022
#     -8   -14       9.7050582494E-054
#     -8   -13       4.9868724705E-047
#     -8   -12       6.6982227165E-035
#     -8   -11       1.6856381327E-042
#     -8   -10       1.2906924163E-022
#     -8    -9       8.8541883397E-053
#     -8    -8       5.4392267214E-048
#     -8    -7       1.1052503885E-030
#     -8    -6       1.9180660836E-040
#     -8    -5       2.1675912816E-021
#     -8    -4       6.3296522215E-052
#     -8    -3       4.2458567582E-049
#     -8    -2       1.9245000767E-027
#     -8    -1       4.6605115184E-039
#     -8     0       1.2678369692E-020
#     -8     1       2.5635278620E-051
#     -8     2       1.2596756283E-051
#     -8     3       2.7221991655E-025
#     -8     4       2.2952105056E-038
#     -8     5       2.8047237790E-020
#     -8     6       4.2094945535E-051
#     -8     7       2.3666222664E-050
#     -8     8       2.2081532621E-024
#     -8     9       3.3936290954E-038
#     -8    10       2.6828925509E-020
#     -8    11       4.4291846415E-050
#     -8    12       2.2704583234E-050
#     -8    13       2.0247676567E-023
#     -8    14       1.6593315995E-038
#     -8    15       1.0957358543E-020
#     -8    16       1.3603685204E-048
#     -8    17       6.8870676504E-051
#     -8    18       1.4249742391E-021
#     -8    19       3.9481817181E-039
#     -8    20       1.7197655433E-021
#     -8    21       2.4656223216E-049
#     -8    22       5.9356600682E-052
#     -8    23       6.1854879929E-021
#     -8    24       9.7788675347E-041
#     -8    25       7.8797434203E-023
#     -8    26       7.5355638582E-045
#     -8    27       1.1478041866E-052
#     -7   -20       3.8833321902E-027
#     -7   -19       2.5319614867E-028
#     -7   -18       4.1967092809E-044
#     -7   -17       8.4015295408E-054
#     -7   -16       2.0729306588E-052
#     -7   -15       6.0060628930E-024
#     -7   -14       4.9809114246E-025
#     -7   -13       5.8419852488E-046
#     -7   -12       1.2880564072E-053
#     -7   -11       6.6276023627E-052
#     -7   -10       6.1901336252E-022
#     -7    -9       4.8596851731E-024
#     -7    -8       3.4557178972E-046
#     -7    -7       1.5383784377E-052
#     -7    -6       1.8689087567E-050
#     -7    -5       1.0850760638E-020
#     -7    -4       1.4167795231E-023
#     -7    -3       1.4318035193E-045
#     -7    -2       9.3145852570E-052
#     -7    -1       1.0136542462E-049
#     -7     0       5.4403194999E-020
#     -7     1       3.3123839915E-022
#     -7     2       8.0571234944E-046
#     -7     3       1.6076930840E-051
#     -7     4       2.2117834864E-049
#     -7     5       1.1288314880E-019
#     -7     6       2.4937904971E-021
#     -7     7       2.0081845565E-046
#     -7     8       2.8529712459E-051
#     -7     9       2.4087877430E-049
#     -7    10       1.0602978820E-019
#     -7    11       2.0566882169E-021
#     -7    12       7.8729717154E-047
#     -7    13       3.1853551208E-051
#     -7    14       1.2180704455E-049
#     -7    15       4.5028014096E-020
#     -7    16       2.5177524985E-022
#     -7    17       2.4165124411E-047
#     -7    18       1.4914132775E-051
#     -7    19       2.3166354883E-050
#     -7    20       7.2868053269E-021
#     -7    21       1.7392712842E-022
#     -7    22       1.2023799703E-047
#     -7    23       5.3263524510E-052
#     -7    24       1.2787533717E-051
#     -7    25       4.1324443937E-022
#     -7    26       6.1482754396E-023
#     -7    27       6.0650966376E-048
#     -6   -20       7.6979598671E-027
#     -6   -19       4.2438961552E-055
#     -6   -18       1.6657383539E-044
#     -6   -17       1.2129846492E-051
#     -6   -16       7.3477038599E-021
#     -6   -15       3.5772610652E-024
#     -6   -14       7.5838111159E-054
#     -6   -13       4.5924437863E-040
#     -6   -12       1.0477763043E-050
#     -6   -11       1.2139571983E-021
#     -6   -10       3.6903640666E-022
#     -6    -9       4.2709191123E-052
#     -6    -8       2.8788133031E-036
#     -6    -7       1.8779548458E-049
#     -6    -6       2.3099575751E-022
#     -6    -5       6.4071863167E-021
#     -6    -4       5.2657059684E-051
#     -6    -3       8.4206105529E-033
#     -6    -2       1.3232257147E-049
#     -6    -1       5.0001693464E-023
#     -6     0       2.8676029153E-020
#     -6     1       1.7562003621E-050
#     -6     2       1.8462811537E-029
#     -6     3       2.3910422683E-048
#     -6     4       1.1703864982E-023
#     -6     5       5.2397545764E-020
#     -6     6       2.5098135779E-050
#     -6     7       2.7659368682E-026
#     -6     8       2.9539711549E-049
#     -6     9       2.5880947269E-024
#     -6    10       4.4487595671E-020
#     -6    11       1.3262993219E-050
#     -6    12       1.5646839392E-023
#     -6    13       9.9051534182E-049
#     -6    14       4.7968574555E-025
#     -6    15       1.8053109656E-020
#     -6    16       3.2071400815E-051
#     -6    17       9.3496449885E-023
#     -6    18       2.2887295857E-049
#     -6    19       4.9466495038E-026
#     -6    20       2.8529378390E-021
#     -6    21       1.4680775263E-052
#     -6    22       1.2029053840E-022
#     -6    23       1.0935285181E-050
#     -6    24       1.7792102025E-027
#     -6    25       1.3137159237E-022
